dataset,scenario,constraint_tag,model,slice,oa_f1,h_f1,f1_diff,oa_accuracy,h_accuracy,acc_diff,oa_adj,h_adj
dermmnist,multi_MEL_BCC,L20_G50,ConvNeXtTiny,slice_1,0.6654241333528956,0.6312090663320211,0.03421506702087451,0.8302546180728907,0.8242636045931103,0.005991013479780372,41,0
dermmnist,multi_MEL_BCC,L20_G50,ConvNeXtTiny,slice_2,0.6479943434425295,0.6309650495623942,0.0170292938801353,0.8262606090863704,0.8297553669495756,-0.003494757863205189,57,0
dermmnist,multi_MEL_BCC,L20_G50,ConvNeXtTiny,slice_3,0.6163606040936974,0.605249782039421,0.011110822054276381,0.8297553669495756,0.8252621068397404,0.004493260109835195,49,0
dermmnist,multi_MEL_BCC,L20_G50,ConvNeXtTiny,slice_4,0.6536859720342318,0.6448159271968229,0.008870044837408941,0.8277583624563155,0.8202695956065901,0.007488766849725437,129,0
dermmnist,multi_MEL_BCC,L20_G50,ConvNeXtTiny,slice_5,0.6341585310069847,0.6219947816114875,0.012163749395497248,0.8267598602096855,0.8212680978532202,0.005491762356465313,76,0
dermmnist,multi_MEL_BCC,L20_G50,EfficientNetB0,slice_1,0.6209072582518721,0.6182089419763775,0.00269831627549455,0.8222666000998502,0.8162755866200699,0.0059910134797802606,100,0
dermmnist,multi_MEL_BCC,L20_G50,EfficientNetB0,slice_2,0.6100142410818111,0.5921805759168051,0.017833665165006063,0.8167748377433849,0.8137793310034948,0.0029955067398901303,82,0
dermmnist,multi_MEL_BCC,L20_G50,EfficientNetB0,slice_3,0.643519496439081,0.622494417597694,0.021025078841387046,0.8247628557164254,0.8212680978532202,0.003494757863205189,115,0
dermmnist,multi_MEL_BCC,L20_G50,EfficientNetB0,slice_4,0.6410669410079651,0.6148191907476204,0.02624775026034476,0.8212680978532202,0.8167748377433849,0.0044932601098353064,122,0
dermmnist,multi_MEL_BCC,L20_G50,EfficientNetB0,slice_5,0.6158594054256652,0.5788572821162578,0.03700212330940744,0.8212680978532202,0.8137793310034948,0.007488766849725437,88,0
dermmnist,multi_MEL_BCC,L20_G50,MobileNetV3,slice_1,0.5952822133663276,0.5769974033916124,0.018284809974715155,0.8107838242636046,0.8057913130304544,0.004992511233150254,93,0
dermmnist,multi_MEL_BCC,L20_G50,MobileNetV3,slice_2,0.6019118320424335,0.6001305649367664,0.0017812671056670615,0.8087868197703445,0.8092860708936596,-0.0004992511233150587,43,0
dermmnist,multi_MEL_BCC,L20_G50,MobileNetV3,slice_3,0.609632816082677,0.6027262253853973,0.006906590697279724,0.8117823265102346,0.8117823265102346,0.0,35,0
dermmnist,multi_MEL_BCC,L20_G50,MobileNetV3,slice_4,0.6101803115572721,0.5739118621137606,0.0362684494435116,0.8142785821268098,0.8037943085371942,0.010484273589615567,95,0
dermmnist,multi_MEL_BCC,L20_G50,MobileNetV3,slice_5,0.6045613085310215,0.5955930767387903,0.008968231792231274,0.8042935596605092,0.8047928107838243,-0.0004992511233150587,43,0
dermmnist,multi_MEL_BCC,L20_G80,ConvNeXtTiny,slice_1,0.6485248769548517,0.6312090663320211,0.017315810622830607,0.8292561158262606,0.8242636045931103,0.004992511233150254,138,0
