label,n,oa_mean,h_mean,mean_diff,std_diff,oa_wins,h_wins,ties,win_rate,t_stat,t_pval,w_stat,w_pval,cohens_d,effect_size
Overall,360,0.5800698376858241,0.5636985653956064,0.0163712722902177,0.016415752618702786,309,50,1,0.8583333333333333,18.92225467856012,6.947627797382116e-56,4516.0,1.6777175292966155e-45,0.998678405412941,large
dermmnist,180,0.71611078537436,0.6977737733857983,0.018337011988561653,0.012143369031261215,168,12,0,0.9333333333333333,20.259355639327325,3.3757076264137555e-48,231.0,1.2388216839141153e-29,1.5142553361375073,large
tissuemnist,180,0.4440288899972881,0.42962335740541435,0.014405532591873747,0.019627187128846948,141,38,1,0.7833333333333333,9.847080964599984,1.4846215761013802e-18,2291.0,6.147252378975268e-17,0.7360053874111612,medium
dermmnist/multi_MEL_BCC,90,0.6831351941031799,0.6649366951744795,0.018198498928700468,0.011969081770393325,85,5,0,0.9444444444444444,14.42434124391562,5.099385765905825e-25,59.0,1.2330743120758458e-15,1.528977113903886,large
dermmnist/single_MEL,90,0.74908637664554,0.7306108515971173,0.018475525048422835,0.012380709646266964,83,7,0,0.9222222222222223,14.15704150806697,1.634696467577336e-24,58.0,1.1934165830846856e-15,1.500643398571303,large
tissuemnist/multi_GE_PTC,90,0.4359034783796174,0.42382509519607275,0.012078383183544676,0.018942145124998803,67,22,1,0.7444444444444445,6.049241159366184,3.362940270291889e-08,726.0,1.0531560936880664e-07,0.641218280457537,medium
tissuemnist/single_GE,90,0.45215430161495873,0.4354216196147559,0.016732682000202816,0.020125196308076073,74,16,0,0.8222222222222222,7.887632846996262,7.382566491261368e-12,451.0,1.3289708658159215e-10,0.8360874096084567,large
L20_G50,60,0.5515425179593973,0.5356947257935357,0.01584779216586153,0.015254565828302398,55,5,0,0.9166666666666666,8.04719528872603,4.5534044964929486e-11,113.0,3.5478009505865107e-09,1.0476555910892584,large
L20_G80,60,0.5513577979597459,0.5356947257935357,0.01566307216621027,0.015989690860530446,48,12,0,0.8,7.5877411488823325,2.7305153065041645e-10,127.0,6.594295010534827e-09,0.9878397569773762,large
L30_G30,60,0.5729318013435308,0.5567611501929144,0.01617065115061639,0.01743200722594997,51,9,0,0.85,7.185479192601022,1.3125447519495859e-09,168.0,3.8169685741811265e-08,0.9354697109600966,large
L50_G50,60,0.605098438906742,0.5872509371470744,0.017847501759667643,0.015695684175094413,56,4,0,0.9333333333333333,8.807908762114801,2.390655635055846e-12,72.0,5.440850916847441e-10,1.1466920497581823,large
L80_G30,60,0.5705441073712901,0.5571403031342262,0.013403804237063935,0.01753091930381792,44,15,1,0.7333333333333333,5.9224173799793105,1.738942767934784e-07,280.0,2.9450140373804704e-06,0.7710330690734107,medium
L80_G80,60,0.6289443625742378,0.6096495503123512,0.019294812261886438,0.01652486656956559,55,5,0,0.9166666666666666,9.044367921991556,9.636152983164968e-13,46.0,1.5821779595052358e-10,1.1774764102739776,large
ConvNeXtTiny,120,0.6090918463558744,0.5946368506084373,0.014454995747437166,0.010180977828435368,110,10,0,0.9166666666666666,15.553176468766233,1.900258557368793e-30,160.0,1.0136498149133917e-19,1.425757349293255,large
EfficientNetB0,120,0.5828126606380655,0.5716421458667907,0.011170514771274754,0.016962046596667227,85,34,1,0.7083333333333334,7.214156480827025,5.481316967360161e-11,1348.0,2.28319507488715e-09,0.6613206403300464,medium
MobileNetV3,120,0.5483050060635322,0.524816699711591,0.023488306351941178,0.018426625404474622,114,6,0,0.95,13.96357167322235,7.830902585647933e-27,96.0,2.1406323251272318e-20,1.2800385165988637,large
L20_G50/ConvNeXtTiny,20,0.5779155869849777,0.5634879969053921,0.014427590079585653,0.009497877783972701,19,1,0,0.95,6.793322235393347,1.7361110709883887e-06,3.0,9.5367431640625e-06,1.5584950060519698,large
L20_G50/EfficientNetB0,20,0.5549326135573197,0.5442504810437527,0.010682132513566964,0.016932545283366122,16,4,0,0.8,2.8213093832338467,0.010905010127619618,40.0,0.013616561889648438,0.6472527626304949,medium
L20_G50/MobileNetV3,20,0.5217793533358945,0.4993456994314626,0.022433653904431975,0.016425939847719694,20,0,0,1.0,6.107799685017999,7.147881719766354e-06,0.0,1.9073486328125e-06,1.4012253470727902,large
L20_G80/ConvNeXtTiny,20,0.5766386392837581,0.5634879969053921,0.013150642378366129,0.010808978099737233,17,3,0,0.85,5.440982493346162,2.9977838943950257e-05,10.0,8.20159912109375e-05,1.2482469916878884,large
L20_G80/EfficientNetB0,20,0.5551367803688245,0.5442504810437527,0.0108862993250718,0.01584589378667318,12,8,0,0.6,3.0724054625108397,0.006268754521997065,41.0,0.01531219482421875,0.704858153929847,medium
L20_G80/MobileNetV3,20,0.5222979742266554,0.4993456994314626,0.022952274795192882,0.0184229477608199,19,1,0,0.95,5.571621582671444,2.2543704051501917e-05,3.0,9.5367431640625e-06,1.27821765423763,large
L30_G30/ConvNeXtTiny,20,0.6019565040621283,0.5863195459871756,0.015636958074952797,0.009039072359385404,20,0,0,1.0,7.736479989697995,2.7462612994921715e-07,0.0,1.9073486328125e-06,1.7748702344114813,large
L30_G30/EfficientNetB0,20,0.5750118549430566,0.5654101620013696,0.009601692941687178,0.019610798456943676,13,7,0,0.65,2.189613866445144,0.04123483240447485,54.0,0.058258056640625,0.5023318720636709,medium
L30_G30/MobileNetV3,20,0.5418270450254074,0.5185537425901983,0.023273302435209187,0.019455031969431543,18,2,0,0.9,5.349843309207342,3.661284831736618e-05,6.0,2.6702880859375e-05,1.2273382288743169,large
L50_G50/ConvNeXtTiny,20,0.6369644278237153,0.6211538479077993,0.015810579915916095,0.009229815226976983,19,1,0,0.95,7.6607235543241865,3.1706178621729934e-07,1.0,3.814697265625e-06,1.7574905161947814,large
L50_G50/EfficientNetB0,20,0.6071359779779125,0.594171135645602,0.012964842332310522,0.015447935593813947,17,3,0,0.85,3.753287110314243,0.0013458487493690963,24.0,0.0014324188232421875,0.8610631168396621,large
L50_G50/MobileNetV3,20,0.5711949109185984,0.5464278278878221,0.024767083030776314,0.019008002978388387,20,0,0,1.0,5.827112014256731,1.2984647607883262e-05,0.0,1.9073486328125e-06,1.3368311790966756,large
L80_G30/ConvNeXtTiny,20,0.5992511570583376,0.5873119296314981,0.011939227426839477,0.012430209151915825,15,5,0,0.75,4.295490735347484,0.0003903677188978881,25.0,0.001689910888671875,0.9854531593839421,large
L80_G30/EfficientNetB0,20,0.5723100551868191,0.5652509600455773,0.007059095141241756,0.02025467188279333,11,8,1,0.55,1.5586148901147423,0.13558886173543502,72.0,0.2305126190185547,0.3575707788372586,small
L80_G30/MobileNetV3,20,0.5400711098687138,0.5188580197256033,0.021213090143110562,0.01675594889537046,18,2,0,0.9,5.661739823750786,1.854099152605563e-05,5.0,1.9073486328125e-05,1.2988921966499716,large
L80_G80/ConvNeXtTiny,20,0.6618247629223302,0.6460597863133672,0.015764976608962842,0.010347828002096042,20,0,0,1.0,6.813325338263166,1.6674444480493464e-06,0.0,1.9073486328125e-06,1.5630840325765376,large
L80_G80/EfficientNetB0,20,0.6323486817944602,0.6165196554206899,0.015829026373770295,0.01355540477612092,16,4,0,0.8,5.222238593972273,4.851187347122955e-05,16.0,0.0003223419189453125,1.1980636994833196,large
L80_G80/MobileNetV3,20,0.5926596430059228,0.5663692092029966,0.02629043380292615,0.021905652635292566,19,1,0,0.95,5.3673084404331455,3.5234129575465946e-05,5.0,1.9073486328125e-05,1.2313450047716306,large
