dataset,model,method,n,macro_f1_mean,macro_f1_std,satisfaction_rate,flips_mean,ece_mean
aider,MobileNetV2,danits_lp,20,0.8769,0.0623,0.000,49.25,0.0095
aider,MobileNetV2,fioretto_ldf,25,0.8684,0.0553,0.840,9.72,0.0517
aider,MobileNetV2,heuristic,20,0.8768,0.0624,0.000,49.25,0.0095
aider,MobileNetV2,hounie_rcl,25,0.8549,0.0655,1.000,28.00,0.0753
aider,MobileNetV2,tralo,25,0.8712,0.0550,1.000,2.68,0.0454
aider,MobileNetV3,danits_lp,164,0.8428,0.0621,0.000,64.29,0.0196
aider,MobileNetV3,fioretto_ldf,175,0.8328,0.0665,0.983,5.43,0.0701
aider,MobileNetV3,heuristic,164,0.8426,0.0622,0.000,64.29,0.0196
aider,MobileNetV3,hounie_rcl,169,0.8036,0.0747,1.000,22.69,0.0939
aider,MobileNetV3,tralo,195,0.8288,0.0861,0.985,2.34,0.0671
aider,RegNetY400MF,danits_lp,20,0.8762,0.0646,0.000,47.25,0.0098
aider,RegNetY400MF,fioretto_ldf,21,0.8760,0.0572,0.905,6.67,0.0465
aider,RegNetY400MF,heuristic,20,0.8761,0.0646,0.000,47.25,0.0098
aider,RegNetY400MF,hounie_rcl,21,0.8698,0.0638,1.000,23.14,0.0619
aider,RegNetY400MF,tralo,21,0.8777,0.0569,1.000,1.43,0.0428
aider,ShuffleNetV2,danits_lp,20,0.8822,0.0561,0.000,48.25,0.0124
aider,ShuffleNetV2,fioretto_ldf,21,0.8641,0.0641,0.571,6.43,0.0670
aider,ShuffleNetV2,heuristic,20,0.8822,0.0561,0.000,48.25,0.0124
aider,ShuffleNetV2,hounie_rcl,21,0.8548,0.0685,0.762,12.62,0.1001
aider,ShuffleNetV2,tralo,21,0.8662,0.0627,0.762,4.67,0.0633
cifar100,MobileNetV3,fioretto_ldf,16,0.5446,0.1729,0.875,5.12,0.2090
cifar100,MobileNetV3,hounie_rcl,16,0.5526,0.1822,0.500,26.12,0.2007
cifar100,MobileNetV3,tralo,16,0.5457,0.1729,1.000,4.06,0.2088
dermmnist,MobileNetV2,danits_lp,20,0.7064,0.0231,0.000,80.35,0.1096
dermmnist,MobileNetV2,fioretto_ldf,25,0.6859,0.0400,0.920,17.88,0.1204
dermmnist,MobileNetV2,heuristic,20,0.7063,0.0232,0.000,81.10,0.1096
dermmnist,MobileNetV2,hounie_rcl,25,0.6819,0.0429,1.000,47.40,0.1325
dermmnist,MobileNetV2,tralo,26,0.6875,0.0361,0.962,9.35,0.1196
dermmnist,MobileNetV3,danits_lp,260,0.6828,0.0980,0.008,100.21,0.1235
dermmnist,MobileNetV3,fioretto_ldf,279,0.6867,0.1062,0.878,10.79,0.1389
dermmnist,MobileNetV3,heuristic,260,0.6829,0.0980,0.008,100.77,0.1235
dermmnist,MobileNetV3,hounie_rcl,243,0.6962,0.1010,1.000,19.09,0.1367
dermmnist,MobileNetV3,tralo,312,0.6767,0.1205,0.981,5.15,0.1402
dermmnist,RegNetY400MF,danits_lp,20,0.7190,0.0235,0.050,67.25,0.1087
dermmnist,RegNetY400MF,fioretto_ldf,21,0.7107,0.0392,0.952,15.29,0.1216
dermmnist,RegNetY400MF,heuristic,20,0.7195,0.0242,0.050,70.30,0.1087
dermmnist,RegNetY400MF,hounie_rcl,21,0.7075,0.0417,1.000,26.29,0.1248
dermmnist,RegNetY400MF,tralo,22,0.7112,0.0363,0.955,9.50,0.1208
dermmnist,ShuffleNetV2,danits_lp,26,0.6745,0.0242,0.038,101.58,0.1213
dermmnist,ShuffleNetV2,fioretto_ldf,27,0.6002,0.1473,0.778,19.41,0.1206
dermmnist,ShuffleNetV2,heuristic,26,0.6745,0.0242,0.038,102.77,0.1213
dermmnist,ShuffleNetV2,hounie_rcl,21,0.5860,0.1678,0.762,24.67,0.1166
dermmnist,ShuffleNetV2,tralo,28,0.5911,0.1502,0.786,13.79,0.1185
octmnist,MobileNetV3,danits_lp,12,0.6805,0.0328,0.000,91.50,0.1843
octmnist,MobileNetV3,fioretto_ldf,16,0.6721,0.0432,0.812,8.12,0.2364
octmnist,MobileNetV3,heuristic,12,0.6811,0.0330,0.000,91.50,0.1843
octmnist,MobileNetV3,hounie_rcl,16,0.6421,0.0602,1.000,33.31,0.2748
octmnist,MobileNetV3,tralo,16,0.6709,0.0357,1.000,3.75,0.2359
retinamnist,MobileNetV3,fioretto_ldf,4,0.3253,0.0328,1.000,3.25,0.4008
retinamnist,MobileNetV3,hounie_rcl,4,0.3164,0.0329,1.000,6.25,0.4142
retinamnist,MobileNetV3,tralo,4,0.3255,0.0390,1.000,2.25,0.4020
tissuemnist,MobileNetV2,danits_lp,20,0.3330,0.0219,0.150,99.90,0.4413
tissuemnist,MobileNetV2,fioretto_ldf,20,0.3703,0.0334,0.900,10.95,0.3785
tissuemnist,MobileNetV2,heuristic,20,0.3337,0.0216,0.150,108.40,0.4413
tissuemnist,MobileNetV2,hounie_rcl,20,0.3697,0.0328,0.950,23.25,0.3821
tissuemnist,MobileNetV2,tralo,20,0.3716,0.0352,0.950,7.30,0.3775
tissuemnist,MobileNetV3,danits_lp,198,0.3498,0.0226,0.126,98.57,0.4194
tissuemnist,MobileNetV3,fioretto_ldf,208,0.3650,0.0176,0.966,11.51,0.3968
tissuemnist,MobileNetV3,heuristic,198,0.3503,0.0228,0.126,106.42,0.4194
tissuemnist,MobileNetV3,hounie_rcl,208,0.3645,0.0171,1.000,15.38,0.3974
tissuemnist,MobileNetV3,tralo,251,0.3624,0.0297,0.972,7.91,0.3902
tissuemnist,RegNetY400MF,danits_lp,20,0.3344,0.0162,0.000,160.35,0.4586
tissuemnist,RegNetY400MF,fioretto_ldf,20,0.4040,0.0316,0.900,8.90,0.3761
tissuemnist,RegNetY400MF,heuristic,20,0.3343,0.0165,0.000,160.35,0.4586
tissuemnist,RegNetY400MF,hounie_rcl,20,0.4045,0.0342,1.000,14.50,0.3761
tissuemnist,RegNetY400MF,tralo,20,0.4050,0.0309,1.000,11.15,0.3765
tissuemnist,ShuffleNetV2,danits_lp,20,0.4138,0.0155,0.000,93.40,0.3524
tissuemnist,ShuffleNetV2,fioretto_ldf,20,0.3977,0.0389,0.750,10.50,0.3408
tissuemnist,ShuffleNetV2,heuristic,20,0.4144,0.0156,0.000,93.60,0.3524
tissuemnist,ShuffleNetV2,hounie_rcl,20,0.3954,0.0389,1.000,14.75,0.3426
tissuemnist,ShuffleNetV2,tralo,20,0.3994,0.0382,0.950,7.15,0.3390
