baseline,dataset,asym,n,wins,losses,ties,mean_d_macro_f1,median_d_macro_f1
fioretto_ldf,tissuemnist,sym,172,99,68,5,+0.0012,+0.0008
fioretto_ldf,tissuemnist,asym,80,42,35,3,+0.0011,+0.0011
fioretto_ldf,dermmnist,sym,260,134,118,8,+0.0009,+0.0004
fioretto_ldf,dermmnist,asym,80,36,42,2,-0.0000,-0.0007
fioretto_ldf,aider,sym,157,93,40,24,+0.0016,+0.0013
fioretto_ldf,aider,asym,80,69,9,2,+0.0077,+0.0030
hounie_rcl,tissuemnist,sym,172,111,59,2,+0.0024,+0.0017
hounie_rcl,tissuemnist,asym,80,39,39,2,+0.0002,+0.0000
hounie_rcl,dermmnist,sym,218,157,61,0,+0.0076,+0.0053
hounie_rcl,dermmnist,asym,80,47,32,1,+0.0022,+0.0025
hounie_rcl,aider,sym,151,136,13,2,+0.0195,+0.0117
hounie_rcl,aider,asym,80,80,0,0,+0.0516,+0.0443
danits_lp,tissuemnist,sym,154,117,35,2,+0.0215,+0.0185
danits_lp,tissuemnist,asym,68,54,14,0,+0.0154,+0.0196
danits_lp,dermmnist,sym,209,124,84,1,+0.0032,+0.0051
danits_lp,dermmnist,asym,68,49,19,0,+0.0110,+0.0128
danits_lp,aider,sym,109,43,65,1,-0.0025,-0.0028
danits_lp,aider,asym,68,1,67,0,-0.0082,-0.0077
heuristic,tissuemnist,sym,154,114,37,3,+0.0210,+0.0186
heuristic,tissuemnist,asym,68,54,14,0,+0.0152,+0.0195
heuristic,dermmnist,sym,209,121,88,0,+0.0030,+0.0048
heuristic,dermmnist,asym,68,51,17,0,+0.0112,+0.0128
heuristic,aider,sym,109,44,65,0,-0.0025,-0.0030
heuristic,aider,asym,68,4,64,0,-0.0079,-0.0081
