sweep,dataset,model,constraint_tag,data_dir,constrained_class,seed,tight_L_pct,tight_G_pct,is_asymmetric,sigma,tralo_macro_f1,heuristic_macro_f1,d_macro_f1,d_f1_cstr,d_f1_unc,d_acc,d_flips,d_ece,tralo_sat,heuristic_sat,tralo_path,heuristic_path
contamination_clean,aider,MobileNetV3,L20_G20,data/aider/slice_1,0,1,20,20,0,0.0,0.7818,0.7961,-0.01429999999999998,0.0,-0.019000000000000017,-0.013399999999999967,-87.0,0.0724,1,0,results/pending_runs/contamination_clean/aider/L20_G20/tralo/seed_1,results/pending_runs/contamination_clean/aider/L20_G20/heuristic/seed_1
contamination_clean,aider,MobileNetV3,L20_G20,data/aider/slice_1,0,2,20,20,0,0.0,0.7849,0.7977,-0.012799999999999923,0.0,-0.017000000000000126,-0.01429999999999998,-83.0,0.07079999999999999,1,0,results/pending_runs/contamination_clean/aider/L20_G20/tralo/seed_2,results/pending_runs/contamination_clean/aider/L20_G20/heuristic/seed_2
contamination_clean,aider,MobileNetV3,L70_G70,data/aider/slice_1,0,1,70,70,0,0.0,0.9292,0.9311,-0.0019000000000000128,0.0,-0.0025333333333333874,-0.0033999999999999586,-40.0,0.0199,1,0,results/pending_runs/contamination_clean/aider/L70_G70/tralo/seed_1,results/pending_runs/contamination_clean/aider/L70_G70/heuristic/seed_1
contamination_clean,aider,MobileNetV3,L70_G70,data/aider/slice_1,0,2,70,70,0,0.0,0.9261,0.9337,-0.00759999999999994,0.0,-0.010200000000000098,-0.005899999999999905,-30.0,0.021400000000000002,1,0,results/pending_runs/contamination_clean/aider/L70_G70/tralo/seed_2,results/pending_runs/contamination_clean/aider/L70_G70/heuristic/seed_2
contamination_clean,aider,MobileNetV3,L30_G30,data/aider/slice_1,0,1,30,30,0,0.0,0.8212,0.8321,-0.01089999999999991,0.0,-0.014499999999999957,-0.01090000000000002,-74.0,0.06149999999999999,1,0,results/pending_runs/contamination_clean/aider/L30_G30/tralo/seed_1,results/pending_runs/contamination_clean/aider/L30_G30/heuristic/seed_1
contamination_clean,aider,MobileNetV3,L30_G30,data/aider/slice_1,0,2,30,30,0,0.0,0.8271,0.8337,-0.00660000000000005,0.0,-0.008733333333333482,-0.010099999999999998,-69.0,0.059500000000000004,1,0,results/pending_runs/contamination_clean/aider/L30_G30/tralo/seed_2,results/pending_runs/contamination_clean/aider/L30_G30/heuristic/seed_2
contamination_clean,aider,MobileNetV3,L50_G50,data/aider/slice_1,0,1,50,50,0,0.0,0.8811,0.8878,-0.006700000000000039,0.0,-0.008933333333333349,-0.006699999999999928,-60.0,0.0375,1,0,results/pending_runs/contamination_clean/aider/L50_G50/tralo/seed_1,results/pending_runs/contamination_clean/aider/L50_G50/heuristic/seed_1
contamination_clean,aider,MobileNetV3,L50_G50,data/aider/slice_1,0,2,50,50,0,0.0,0.8855,0.8895,-0.0040000000000000036,0.0,-0.005233333333333312,-0.006700000000000039,-52.0,0.037200000000000004,1,0,results/pending_runs/contamination_clean/aider/L50_G50/tralo/seed_2,results/pending_runs/contamination_clean/aider/L50_G50/heuristic/seed_2
contamination_clean,dermmnist,MobileNetV3,L20_G20,data/dermmnist/slice_1,4,1,20,20,0,0.0,0.6905,0.7142,-0.023699999999999943,0.0,-0.027616666666666845,-0.008399999999999963,-149.0,0.0412,1,0,results/pending_runs/contamination_clean/dermmnist/L20_G20/tralo/seed_1,results/pending_runs/contamination_clean/dermmnist/L20_G20/heuristic/seed_1
contamination_clean,dermmnist,MobileNetV3,L20_G20,data/dermmnist/slice_1,4,2,20,20,0,0.0,0.7105,0.6876,0.02290000000000003,0.015000000000000013,0.02413333333333334,-0.0020000000000000018,-149.0,0.03849999999999999,1,0,results/pending_runs/contamination_clean/dermmnist/L20_G20/tralo/seed_2,results/pending_runs/contamination_clean/dermmnist/L20_G20/heuristic/seed_2
