dataset,model,method,n_cells
aider,MobileNetV2,danits_lp,20
aider,MobileNetV2,fioretto_ldf,25
aider,MobileNetV2,heuristic,20
aider,MobileNetV2,hounie_rcl,25
aider,MobileNetV2,tralo,25
aider,MobileNetV3,danits_lp,164
aider,MobileNetV3,fioretto_ldf,175
aider,MobileNetV3,heuristic,164
aider,MobileNetV3,hounie_rcl,169
aider,MobileNetV3,tralo,195
aider,RegNetY400MF,danits_lp,20
aider,RegNetY400MF,fioretto_ldf,21
aider,RegNetY400MF,heuristic,20
aider,RegNetY400MF,hounie_rcl,21
aider,RegNetY400MF,tralo,21
aider,ShuffleNetV2,danits_lp,20
aider,ShuffleNetV2,fioretto_ldf,21
aider,ShuffleNetV2,heuristic,20
aider,ShuffleNetV2,hounie_rcl,21
aider,ShuffleNetV2,tralo,21
cifar100,MobileNetV3,fioretto_ldf,16
cifar100,MobileNetV3,hounie_rcl,16
cifar100,MobileNetV3,tralo,16
dermmnist,MobileNetV2,danits_lp,20
dermmnist,MobileNetV2,fioretto_ldf,25
dermmnist,MobileNetV2,heuristic,20
dermmnist,MobileNetV2,hounie_rcl,25
dermmnist,MobileNetV2,tralo,26
dermmnist,MobileNetV3,danits_lp,260
dermmnist,MobileNetV3,fioretto_ldf,279
dermmnist,MobileNetV3,heuristic,260
dermmnist,MobileNetV3,hounie_rcl,243
dermmnist,MobileNetV3,tralo,312
dermmnist,RegNetY400MF,danits_lp,20
dermmnist,RegNetY400MF,fioretto_ldf,21
dermmnist,RegNetY400MF,heuristic,20
dermmnist,RegNetY400MF,hounie_rcl,21
dermmnist,RegNetY400MF,tralo,22
dermmnist,ShuffleNetV2,danits_lp,26
dermmnist,ShuffleNetV2,fioretto_ldf,27
dermmnist,ShuffleNetV2,heuristic,26
dermmnist,ShuffleNetV2,hounie_rcl,21
dermmnist,ShuffleNetV2,tralo,28
octmnist,MobileNetV3,danits_lp,12
octmnist,MobileNetV3,fioretto_ldf,16
octmnist,MobileNetV3,heuristic,12
octmnist,MobileNetV3,hounie_rcl,16
octmnist,MobileNetV3,tralo,16
retinamnist,MobileNetV3,fioretto_ldf,4
retinamnist,MobileNetV3,hounie_rcl,4
retinamnist,MobileNetV3,tralo,4
tissuemnist,MobileNetV2,danits_lp,20
tissuemnist,MobileNetV2,fioretto_ldf,20
tissuemnist,MobileNetV2,heuristic,20
tissuemnist,MobileNetV2,hounie_rcl,20
tissuemnist,MobileNetV2,tralo,20
tissuemnist,MobileNetV3,danits_lp,198
tissuemnist,MobileNetV3,fioretto_ldf,208
tissuemnist,MobileNetV3,heuristic,198
tissuemnist,MobileNetV3,hounie_rcl,208
tissuemnist,MobileNetV3,tralo,251
tissuemnist,RegNetY400MF,danits_lp,20
tissuemnist,RegNetY400MF,fioretto_ldf,20
tissuemnist,RegNetY400MF,heuristic,20
tissuemnist,RegNetY400MF,hounie_rcl,20
tissuemnist,RegNetY400MF,tralo,20
tissuemnist,ShuffleNetV2,danits_lp,20
tissuemnist,ShuffleNetV2,fioretto_ldf,20
tissuemnist,ShuffleNetV2,heuristic,20
tissuemnist,ShuffleNetV2,hounie_rcl,20
tissuemnist,ShuffleNetV2,tralo,20
