dataset,constraint_tag,method,n_cells
aider,L20_G20,danits_lp,28
aider,L20_G20,fioretto_ldf,28
aider,L20_G20,heuristic,28
aider,L20_G20,hounie_rcl,28
aider,L20_G20,tralo,28
aider,L20_G30,danits_lp,4
aider,L20_G30,fioretto_ldf,4
aider,L20_G30,heuristic,4
aider,L20_G30,hounie_rcl,4
aider,L20_G30,tralo,4
aider,L20_G50,danits_lp,4
aider,L20_G50,fioretto_ldf,4
aider,L20_G50,heuristic,4
aider,L20_G50,hounie_rcl,4
aider,L20_G50,tralo,4
aider,L20_G70,danits_lp,4
aider,L20_G70,fioretto_ldf,4
aider,L20_G70,heuristic,4
aider,L20_G70,hounie_rcl,4
aider,L20_G70,tralo,4
aider,L20_G80,danits_lp,4
aider,L20_G80,fioretto_ldf,4
aider,L20_G80,heuristic,4
aider,L20_G80,hounie_rcl,4
aider,L20_G80,tralo,4
aider,L30_G20,danits_lp,4
aider,L30_G20,fioretto_ldf,4
aider,L30_G20,heuristic,4
aider,L30_G20,hounie_rcl,4
aider,L30_G20,tralo,4
aider,L30_G30,danits_lp,40
aider,L30_G30,fioretto_ldf,40
aider,L30_G30,heuristic,40
aider,L30_G30,hounie_rcl,34
aider,L30_G30,tralo,60
aider,L30_G50,danits_lp,4
aider,L30_G50,fioretto_ldf,4
aider,L30_G50,heuristic,4
aider,L30_G50,hounie_rcl,4
aider,L30_G50,tralo,4
aider,L30_G70,danits_lp,4
aider,L30_G70,fioretto_ldf,4
aider,L30_G70,heuristic,4
aider,L30_G70,hounie_rcl,4
aider,L30_G70,tralo,4
aider,L30_G80,danits_lp,4
aider,L30_G80,fioretto_ldf,4
aider,L30_G80,heuristic,4
aider,L30_G80,hounie_rcl,4
aider,L30_G80,tralo,4
aider,L50_G20,danits_lp,4
aider,L50_G20,fioretto_ldf,4
aider,L50_G20,heuristic,4
aider,L50_G20,hounie_rcl,4
aider,L50_G20,tralo,4
aider,L50_G30,danits_lp,4
aider,L50_G30,fioretto_ldf,4
aider,L50_G30,heuristic,4
aider,L50_G30,hounie_rcl,4
aider,L50_G30,tralo,4
aider,L50_G50,danits_lp,28
aider,L50_G50,fioretto_ldf,46
aider,L50_G50,heuristic,28
aider,L50_G50,hounie_rcl,46
aider,L50_G50,tralo,46
aider,L50_G70,danits_lp,4
aider,L50_G70,fioretto_ldf,4
aider,L50_G70,heuristic,4
aider,L50_G70,hounie_rcl,4
aider,L50_G70,tralo,4
aider,L50_G80,danits_lp,4
aider,L50_G80,fioretto_ldf,4
aider,L50_G80,heuristic,4
aider,L50_G80,hounie_rcl,4
aider,L50_G80,tralo,4
aider,L70_G20,danits_lp,4
aider,L70_G20,fioretto_ldf,4
aider,L70_G20,heuristic,4
aider,L70_G20,hounie_rcl,4
aider,L70_G20,tralo,4
aider,L70_G30,danits_lp,4
aider,L70_G30,fioretto_ldf,4
aider,L70_G30,heuristic,4
aider,L70_G30,hounie_rcl,4
aider,L70_G30,tralo,4
aider,L70_G50,danits_lp,4
aider,L70_G50,fioretto_ldf,4
aider,L70_G50,heuristic,4
aider,L70_G50,hounie_rcl,4
aider,L70_G50,tralo,4
aider,L70_G70,danits_lp,28
aider,L70_G70,fioretto_ldf,28
aider,L70_G70,heuristic,28
aider,L70_G70,hounie_rcl,28
aider,L70_G70,tralo,28
aider,L70_G80,danits_lp,4
aider,L70_G80,fioretto_ldf,4
aider,L70_G80,heuristic,4
aider,L70_G80,hounie_rcl,4
aider,L70_G80,tralo,4
aider,L80_G20,danits_lp,4
aider,L80_G20,fioretto_ldf,4
aider,L80_G20,heuristic,4
aider,L80_G20,hounie_rcl,4
aider,L80_G20,tralo,4
aider,L80_G30,danits_lp,4
aider,L80_G30,fioretto_ldf,4
aider,L80_G30,heuristic,4
aider,L80_G30,hounie_rcl,4
aider,L80_G30,tralo,4
aider,L80_G50,danits_lp,4
aider,L80_G50,fioretto_ldf,4
aider,L80_G50,heuristic,4
aider,L80_G50,hounie_rcl,4
aider,L80_G50,tralo,4
