path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_balanced,BasicNN,0.5_0.3,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,384,TRUE,TRUE,0.5814,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_combined,BasicNN,0.5_0.3,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,433,TRUE,TRUE,0.5701,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_linear,BasicNN,0.5_0.3,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,480,TRUE,TRUE,0.5701,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_transfer,BasicNN,0.5_0.3,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,408,TRUE,TRUE,0.5792,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_balanced,BasicNN,0.5_0.3,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,228,TRUE,TRUE,0.6041,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_combined,BasicNN,0.5_0.3,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,186,TRUE,TRUE,0.6018,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_linear,BasicNN,0.5_0.3,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,220,TRUE,TRUE,0.5973,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_transfer,BasicNN,0.5_0.3,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,187,TRUE,TRUE,0.6154,,,"0.9, 0.8",0.6975
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_balanced,BasicNN,0.5_0.3,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,148,TRUE,TRUE,0.5724,,,"0.8, 0.2",0.5304
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_combined,BasicNN,0.5_0.3,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,199,TRUE,TRUE,0.5611,,," 0.5, 0.3",0.5801
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_linear,BasicNN,0.5_0.3,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,165,TRUE,TRUE,0.5928,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_transfer,BasicNN,0.5_0.3,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,165,TRUE,TRUE,0.5566,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_balanced,BasicNN,0.5_0.3,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,514,TRUE,TRUE,0.5724,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_combined,BasicNN,0.5_0.3,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,510,TRUE,TRUE,0.5679,,,,
BasicNN\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_linear,BasicNN,0.5_0.3,5.00E-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,585,TRUE,TRUE,0.5747,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_balanced,BasicNN,0.8_0.2,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,654,TRUE,TRUE,0.5633,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_combined,BasicNN,0.8_0.2,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,702,TRUE,TRUE,0.5837,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_linear,BasicNN,0.8_0.2,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,834,TRUE,TRUE,0.5701,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_transfer,BasicNN,0.8_0.2,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,526,TRUE,TRUE,0.5566,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_balanced,BasicNN,0.8_0.2,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,309,TRUE,TRUE,0.5769,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_combined,BasicNN,0.8_0.2,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,234,TRUE,TRUE,0.5588,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_linear,BasicNN,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,312,TRUE,TRUE,0.5769,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_transfer,BasicNN,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,305,TRUE,TRUE,0.5701,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_balanced,BasicNN,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,228,TRUE,TRUE,0.5656,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_combined,BasicNN,0.8_0.2,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,166,TRUE,TRUE,0.5656,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_linear,BasicNN,0.8_0.2,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,222,TRUE,TRUE,0.5498,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_transfer,BasicNN,0.8_0.2,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,177,TRUE,TRUE,0.5475,,,,
BasicNN\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_transfer,BasicNN,0.8_0.2,5.00E-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,985,TRUE,TRUE,0.5747,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_balanced,BasicNN,0.9_0.8,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,270,TRUE,TRUE,0.7195,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_combined,BasicNN,0.9_0.8,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,174,TRUE,TRUE,0.7262,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_linear,BasicNN,0.9_0.8,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,277,TRUE,TRUE,0.7217,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.0001_lambda_transfer,BasicNN,0.9_0.8,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,171,TRUE,TRUE,0.7285,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_balanced,BasicNN,0.9_0.8,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,135,TRUE,TRUE,0.7014,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_combined,BasicNN,0.9_0.8,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,101,TRUE,TRUE,0.7308,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_linear,BasicNN,0.9_0.8,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,132,TRUE,TRUE,0.7262,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.0005_lambda_transfer,BasicNN,0.9_0.8,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,121,TRUE,TRUE,0.7172,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_balanced,BasicNN,0.9_0.8,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,104,TRUE,TRUE,0.7195,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_combined,BasicNN,0.9_0.8,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,94,TRUE,TRUE,0.7353,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_linear,BasicNN,0.9_0.8,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,98,TRUE,TRUE,0.7217,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_0.001_lambda_transfer,BasicNN,0.9_0.8,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,93,TRUE,TRUE,0.7217,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_balanced,BasicNN,0.9_0.8,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,220,TRUE,TRUE,0.7262,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_combined,BasicNN,0.9_0.8,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,159,TRUE,TRUE,0.7127,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_linear,BasicNN,0.9_0.8,5.00E-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,198,TRUE,TRUE,0.733,,,,
BasicNN\constraint_0.9_0.8\lr_lambda_test\lr_5e-05_lambda_transfer,BasicNN,0.9_0.8,5.00E-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,174,TRUE,TRUE,0.7059,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_balanced,FTTransformer,0.5_0.3,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,216,TRUE,TRUE,0.586,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_combined,FTTransformer,0.5_0.3,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,184,TRUE,TRUE,0.586,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_linear,FTTransformer,0.5_0.3,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,217,TRUE,TRUE,0.6041,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.0001_lambda_transfer,FTTransformer,0.5_0.3,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,201,TRUE,TRUE,0.5882,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_balanced,FTTransformer,0.5_0.3,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,171,TRUE,TRUE,0.5566,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_combined,FTTransformer,0.5_0.3,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,198,TRUE,TRUE,0.5792,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_linear,FTTransformer,0.5_0.3,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,171,TRUE,TRUE,0.5633,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.0005_lambda_transfer,FTTransformer,0.5_0.3,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,178,TRUE,TRUE,0.5475,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_balanced,FTTransformer,0.5_0.3,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,156,TRUE,TRUE,0.5995,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_combined,FTTransformer,0.5_0.3,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,178,TRUE,TRUE,0.5407,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_linear,FTTransformer,0.5_0.3,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,182,TRUE,TRUE,0.552,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_0.001_lambda_transfer,FTTransformer,0.5_0.3,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,163,TRUE,TRUE,0.5724,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_balanced,FTTransformer,0.5_0.3,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,195,TRUE,TRUE,0.5995,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_combined,FTTransformer,0.5_0.3,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,329,TRUE,TRUE,0.5882,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_linear,FTTransformer,0.5_0.3,5.00E-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,261,TRUE,TRUE,0.6131,,,,
FTTransformer\constraint_0.5_0.3\lr_lambda_test\lr_5e-05_lambda_transfer,FTTransformer,0.5_0.3,5.00E-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,303,TRUE,TRUE,0.6063,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_combined,FTTransformer,0.8_0.2,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,408,TRUE,TRUE,0.5792,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_linear,FTTransformer,0.8_0.2,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,584,TRUE,TRUE,0.5747,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0001_lambda_transfer,FTTransformer,0.8_0.2,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,638,TRUE,TRUE,0.5633,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_balanced,FTTransformer,0.8_0.2,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,283,TRUE,TRUE,0.5611,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_combined,FTTransformer,0.8_0.2,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,204,TRUE,TRUE,0.5498,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_linear,FTTransformer,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,336,TRUE,TRUE,0.543,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.0005_lambda_transfer,FTTransformer,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,258,TRUE,TRUE,0.5498,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_balanced,FTTransformer,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,291,TRUE,TRUE,0.5452,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_combined,FTTransformer,0.8_0.2,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,285,TRUE,TRUE,0.5181,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_linear,FTTransformer,0.8_0.2,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,260,TRUE,TRUE,0.5339,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_0.001_lambda_transfer,FTTransformer,0.8_0.2,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,311,TRUE,TRUE,0.5588,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_balanced,FTTransformer,0.8_0.2,5.00E-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,837,TRUE,TRUE,0.5633,,,,
FTTransformer\constraint_0.8_0.2\lr_lambda_test\lr_5e-05_lambda_combined,FTTransformer,0.8_0.2,5.00E-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,TRUE,342,TRUE,TRUE,0.5611,,,,
