path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,details
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,BasicNN,0.8_0.2,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,654,True,True,0.5633,"Converged at epoch 654. Global loss: 0.255267, Local loss: 0.000000"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,BasicNN,0.8_0.2,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,702,True,True,0.5837,Both constraints satisfied at epoch 702
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,BasicNN,0.8_0.2,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,834,True,True,0.5701,Both constraints satisfied at epoch 834
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,BasicNN,0.8_0.2,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,526,True,True,0.5566,"Converged at epoch 526. Global loss: 0.382303, Local loss: 0.000000"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_balanced,BasicNN,0.8_0.2,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,309,True,True,0.5769,"Converged at epoch 309. Global loss: 0.397394, Local loss: 0.000000"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_combined,BasicNN,0.8_0.2,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,234,True,True,0.5588,"Converged at epoch 234. Global loss: 0.293051, Local loss: 0.005523"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_linear,BasicNN,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,312,True,True,0.5769,"Converged at epoch 312. Global loss: 0.210837, Local loss: 0.000460"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_transfer,BasicNN,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,305,True,True,0.5701,"Converged at epoch 305. Global loss: 0.270503, Local loss: 0.003636"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_balanced,BasicNN,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,228,True,True,0.5656,"Converged at epoch 228. Global loss: 0.211416, Local loss: 0.005309"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_combined,BasicNN,0.8_0.2,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,166,True,True,0.5656,"Converged at epoch 166. Global loss: 0.366703, Local loss: 0.008195"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_linear,BasicNN,0.8_0.2,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,222,True,True,0.5498,"Converged at epoch 222. Global loss: 0.187815, Local loss: 0.000000"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_transfer,BasicNN,0.8_0.2,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,177,True,True,0.5475,"Converged at epoch 177. Global loss: 0.297325, Local loss: 0.000642"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,BasicNN,0.8_0.2,5e-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,failed,False,1000,False,False,,"Reached max epochs without both constraints satisfied. Global loss: 0.609820, Local loss: 0.004383"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,BasicNN,0.8_0.2,5e-05,combined,0.1,0.1,0.005,64,50,1000,0.02,failed,False,1000,False,True,,"Reached max epochs without both constraints satisfied. Global loss: 0.566048, Local loss: 0.000591"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,BasicNN,0.8_0.2,5e-05,linear,0.1,0.1,0.005,64,50,1000,0.02,failed,False,1000,False,True,,"Reached max epochs without both constraints satisfied. Global loss: 0.520213, Local loss: 0.003371"
BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,BasicNN,0.8_0.2,5e-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,985,True,True,0.5747,"Converged at epoch 985. Global loss: 0.347429, Local loss: 0.005036"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,FTTransformer,0.8_0.2,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,failed,False,1000,False,True,,"Reached max epochs without both constraints satisfied. Global loss: 0.224546, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,FTTransformer,0.8_0.2,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,408,True,True,0.5792,Both constraints satisfied at epoch 408
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,FTTransformer,0.8_0.2,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,584,True,True,0.5747,"Converged at epoch 584. Global loss: 0.019488, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,FTTransformer,0.8_0.2,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,638,True,True,0.5633,"Converged at epoch 638. Global loss: 0.018910, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_balanced,FTTransformer,0.8_0.2,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,283,True,True,0.5611,"Converged at epoch 283. Global loss: 0.115854, Local loss: 0.004942"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_combined,FTTransformer,0.8_0.2,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,204,True,True,0.5498,"Converged at epoch 204. Global loss: 0.325672, Local loss: 0.002455"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_linear,FTTransformer,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,336,True,True,0.543,"Converged at epoch 336. Global loss: 0.085616, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_transfer,FTTransformer,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,258,True,True,0.5498,"Converged at epoch 258. Global loss: 0.121717, Local loss: 0.000035"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_balanced,FTTransformer,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,291,True,True,0.5452,"Converged at epoch 291. Global loss: 0.183968, Local loss: 0.000728"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_combined,FTTransformer,0.8_0.2,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,285,True,True,0.5181,"Converged at epoch 285. Global loss: 0.220880, Local loss: 0.001339"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_linear,FTTransformer,0.8_0.2,0.001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,260,True,True,0.5339,"Converged at epoch 260. Global loss: 0.204257, Local loss: 0.005843"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_transfer,FTTransformer,0.8_0.2,0.001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,311,True,True,0.5588,"Converged at epoch 311. Global loss: 0.262962, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,FTTransformer,0.8_0.2,5e-05,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,837,True,True,0.5633,"Converged at epoch 837. Global loss: 0.032409, Local loss: 0.000000"
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,FTTransformer,0.8_0.2,5e-05,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,342,True,True,0.5611,Both constraints satisfied at epoch 342
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,FTTransformer,0.8_0.2,5e-05,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,762,True,True,0.5701,Both constraints satisfied at epoch 762
FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,FTTransformer,0.8_0.2,5e-05,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,875,True,True,0.5724,"Converged at epoch 875. Global loss: 0.024966, Local loss: 0.000000"
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,TabularResNet,0.8_0.2,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,336,True,True,0.5837,Both constraints satisfied at epoch 336
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,TabularResNet,0.8_0.2,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,405,True,True,0.5701,Both constraints satisfied at epoch 405
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,TabularResNet,0.8_0.2,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,445,True,True,0.5611,"Converged at epoch 445. Global loss: 0.177232, Local loss: 0.008722"
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,TabularResNet,0.8_0.2,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,448,True,True,0.5701,"Converged at epoch 448. Global loss: 0.230417, Local loss: 0.007038"
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_balanced,TabularResNet,0.8_0.2,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,142,True,True,0.5792,"Converged at epoch 142. Global loss: 0.116320, Local loss: 0.003635"
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_combined,TabularResNet,0.8_0.2,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,141,True,True,0.586,"Converged at epoch 141. Global loss: 0.325160, Local loss: 0.001509"
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_linear,TabularResNet,0.8_0.2,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,162,True,True,0.6335,"Converged at epoch 162. Global loss: 0.209053, Local loss: 0.002201"
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.0005_lambda_transfer,TabularResNet,0.8_0.2,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,141,True,True,0.6674,"Converged at epoch 141. Global loss: 0.403360, Local loss: 0.008601"
TabularResNet/constraint_0.8_0.2/lr_lambda_test/lr_0.001_lambda_balanced,TabularResNet,0.8_0.2,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,118,True,True,0.638,"Converged at epoch 118. Global loss: 0.276978, Local loss: 0.000000"
