path,model,constraint,learning_rate,lambda_strategy,lambda_global,lambda_local,lambda_step,batch_size,warmup_epochs,max_epochs,constraint_threshold,status,converged,final_epoch,global_constraint_satisfied,local_constraint_satisfied,test_accuracy,details
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,BasicNN,0.5_0.3,0.0001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,384,True,True,0.5814,"Converged at epoch 384. Global loss: 0.064896, Local loss: 0.626225"
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,BasicNN,0.5_0.3,0.0001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,433,True,True,0.5701,"Converged at epoch 433. Global loss: 0.052532, Local loss: 0.806013"
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,BasicNN,0.5_0.3,0.0001,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,480,True,True,0.5701,Both constraints satisfied at epoch 480
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,BasicNN,0.5_0.3,0.0001,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,408,True,True,0.5792,"Converged at epoch 408. Global loss: 0.042150, Local loss: 0.664833"
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_balanced,BasicNN,0.5_0.3,0.0005,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,228,True,True,0.6041,"Converged at epoch 228. Global loss: 0.075935, Local loss: 0.831135"
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_combined,BasicNN,0.5_0.3,0.0005,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,186,True,True,0.6018,"Converged at epoch 186. Global loss: 0.068781, Local loss: 0.724891"
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_linear,BasicNN,0.5_0.3,0.0005,linear,0.1,0.1,0.005,64,50,1000,0.02,converged,True,220,True,True,0.5973,"Converged at epoch 220. Global loss: 0.061361, Local loss: 0.760995"
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0005_lambda_transfer,BasicNN,0.5_0.3,0.0005,transfer,0.1,0.1,0.005,64,50,1000,0.02,converged,True,187,True,True,0.6154,"Converged at epoch 187. Global loss: 0.075113, Local loss: 0.694097"
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_balanced,BasicNN,0.5_0.3,0.001,balanced,0.1,0.1,0.005,64,50,1000,0.02,converged,True,148,True,True,0.5724,"Converged at epoch 148. Global loss: 0.083824, Local loss: 0.702330"
BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.001_lambda_combined,BasicNN,0.5_0.3,0.001,combined,0.1,0.1,0.005,64,50,1000,0.02,converged,True,199,True,True,0.5611,"Converged at epoch 199. Global loss: 0.044790, Local loss: 0.829030"
