label,class_name,filename,location
1,c1,ISIC_0053454.jpg,anterior torso|50s
1,c1,ISIC_0053456.jpg,anterior torso|50s
5,c5,ISIC_0053457.jpg,head/neck|80+
0,c0,ISIC_0053459.jpg,anterior torso|60s
2,c2,ISIC_0053463.jpg,anterior torso|30s
0,c0,ISIC_0053464.jpg,anterior torso|<30
1,c1,ISIC_0053469.jpg,head/neck|80+
2,c2,ISIC_0053472.jpg,head/neck|50s
1,c1,ISIC_0053473.jpg,head/neck|80+
1,c1,ISIC_0053479.jpg,lower extremity|60s
3,c3,ISIC_0053484.jpg,head/neck|50s
2,c2,ISIC_0053487.jpg,anterior torso|50s
1,c1,ISIC_0053491.jpg,head/neck|80+
1,c1,ISIC_0053492.jpg,upper extremity|40s
0,c0,ISIC_0053497.jpg,anterior torso|60s
2,c2,ISIC_0053500.jpg,anterior torso|50s
2,c2,ISIC_0053501.jpg,anterior torso|80+
2,c2,ISIC_0053504.jpg,lower extremity|80+
0,c0,ISIC_0053505.jpg,head/neck|30s
4,c4,ISIC_0053506.jpg,head/neck|50s
1,c1,ISIC_0053507.jpg,anterior torso|60s
1,c1,ISIC_0053508.jpg,oral/genital|60s
1,c1,ISIC_0053509.jpg,palms/soles|60s
1,c1,ISIC_0053510.jpg,head/neck|40s
2,c2,ISIC_0053514.jpg,head/neck|80+
4,c4,ISIC_0053515.jpg,anterior torso|60s
6,c6,ISIC_0053519.jpg,anterior torso|<30
0,c0,ISIC_0053521.jpg,head/neck|40s
3,c3,ISIC_0053522.jpg,lower extremity|60s
3,c3,ISIC_0053523.jpg,anterior torso|60s
0,c0,ISIC_0053529.jpg,head/neck|60s
0,c0,ISIC_0053530.jpg,palms/soles|<30
1,c1,ISIC_0053531.jpg,anterior torso|<30
0,c0,ISIC_0053532.jpg,anterior torso|50s
2,c2,ISIC_0053535.jpg,head/neck|80+
2,c2,ISIC_0053537.jpg,anterior torso|50s
0,c0,ISIC_0053539.jpg,anterior torso|30s
0,c0,ISIC_0053540.jpg,lower extremity|40s
1,c1,ISIC_0053541.jpg,lower extremity|80+
2,c2,ISIC_0053543.jpg,anterior torso|50s
0,c0,ISIC_0053544.jpg,head/neck|<30
1,c1,ISIC_0053545.jpg,lower extremity|60s
