age,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,days_since_joining,last_visit_hour,membership_tier,has_referral,gender,region_category,preferred_offer_types,medium_of_operation,internet_option,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
48.0,3.0,259.62,12549.93,36.204800566565154,765.97,737.0,16.0,2.0,0.0,F,Village,Without Offers,Smartphone,Mobile_Data,Yes,No,No,Not Applicable,Poor Product Quality,3
28.0,16.0,160.24,25494.34,14.0,663.76,987.0,12.0,0.0,1.0,M,Town,Credit/Debit Card Offers,Smartphone,Wi-Fi,No,Yes,Yes,Solved in Follow-up,Poor Website,5
44.0,14.0,1025.9131998701207,4578.77,11.2,663.69,262.0,23.0,1.0,1.0,F,Town,Gift Vouchers/Coupons,Smartphone,Mobile_Data,No,Yes,No,Not Applicable,Poor Customer Service,4
12.0,11.0,1079.7555528192563,1436.2,21.2,617.71,180.0,13.0,1.0,1.0,M,City,Without Offers,Smartphone,Mobile_Data,Yes,No,No,Not Applicable,Poor Customer Service,5
38.0,3.0,47.16,19773.32,18.4,126.6907717806546,817.0,13.0,0.0,1.0,M,Town,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No,No,Not Applicable,No reason specified,5
59.0,23.0,32.16,16625.03,7.0,756.22,693.0,11.0,3.0,1.0,F,Town,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,Yes,No,Yes,No Information Available,Reasonable Price,1
16.0,12.0,122.78,3516.71,17.0,726.65,45.0,14.0,2.0,1.0,M,City,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No,No,Not Applicable,Poor Customer Service,3
58.0,12.0,206.44,4191.0,13.6,716.35,492.0,15.0,0.0,0.0,M,Town,Gift Vouchers/Coupons,Desktop,Wi-Fi,Yes,No,No,Not Applicable,Poor Website,4
47.0,21.0,1072.92,30336.53,17.0,762.16,964.0,11.0,2.0,1.0,F,City,Gift Vouchers/Coupons,Both,Mobile_Data,Yes,Yes,Yes,Solved in Follow-up,Poor Website,3
62.0,3.0,49.3,35287.43,28.0,553.27,525.0,15.0,1.0,0.0,M,Town,Credit/Debit Card Offers,Smartphone,Fiber_Optic,Yes,No,Yes,Solved in Follow-up,Too many ads,5
38.0,11.0,400.01,16758.33,23.0,656.67,673.0,5.0,0.0,1.0,M,Town,Without Offers,Both,Mobile_Data,No,Yes,Yes,No Information Available,Poor Product Quality,4
54.0,13.0,33.24,32270.42,18.0,711.41,822.0,20.0,2.0,0.0,M,City,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No,No,Not Applicable,Too many ads,3
44.0,11.6,111.26,26821.38,16.0,698.78,76.0,6.0,0.0,0.0,F,Village,Gift Vouchers/Coupons,Smartphone,Wi-Fi,No,Yes,No,Not Applicable,Poor Product Quality,4
52.0,2.0,296.24,39146.44,14.0,706.95,1044.0,2.0,4.0,0.0,M,Village,Gift Vouchers/Coupons,Desktop,Fiber_Optic,Yes,No,No,Not Applicable,Poor Customer Service,3
15.0,13.0,33.88,48657.08,7.0,588.73,631.0,21.0,0.0,0.0,M,Town,Credit/Debit Card Offers,Desktop,Fiber_Optic,Yes,No,No,Not Applicable,Poor Website,5
49.0,9.0,76.11,28870.14,28.0,683.65,179.0,13.0,0.0,0.0,M,City,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No,Yes,No Information Available,Poor Product Quality,5
62.0,20.0,34.03,47033.73,18.0,689.55,231.0,18.0,2.0,0.0,M,City,Gift Vouchers/Coupons,Smartphone,Mobile_Data,Yes,No,No,Not Applicable,Poor Website,4
57.0,14.0,734.74,35186.24,18.0,616.96,179.0,6.0,1.0,1.0,F,Town,Credit/Debit Card Offers,Desktop,Mobile_Data,Yes,No,No,Not Applicable,Poor Product Quality,5
40.0,19.0,508.7,45150.96,28.0,595.61,438.0,16.0,1.0,1.0,F,City,Without Offers,Smartphone,Mobile_Data,No,Yes,No,Not Applicable,Too many ads,5
58.0,15.0,117.83,42067.27,23.0,581.83,1045.0,19.0,0.0,1.0,M,City,Gift Vouchers/Coupons,Smartphone,Wi-Fi,Yes,No,Yes,Unsolved,No reason specified,5
22.0,20.0,282.53,14328.05,24.0,896.8259716482721,862.0,21.0,1.0,0.0,M,City,Credit/Debit Card Offers,Smartphone,Mobile_Data,Yes,Yes,Yes,Solved,Poor Website,4
44.0,15.0,1378.665581598223,12813.07,9.0,147.0856046586356,265.0,9.0,0.0,0.0,M,Village,Gift Vouchers/Coupons,Both,Wi-Fi,No,Yes,Yes,Solved,No reason specified,5
57.0,19.0,826.0853878230797,34196.17,21.0,701.51,962.0,21.0,3.0,1.0,M,Town,Gift Vouchers/Coupons,Desktop,Mobile_Data,Yes,No,No,Not Applicable,Poor Customer Service,4
30.0,2.0,204.7,4335.67,5.0,542.1,417.0,8.0,1.0,1.0,F,Town,Without Offers,Both,Wi-Fi,Yes,No,No,Not Applicable,Too many ads,5
