label,class_name,city_id
10,LCZB,3
10,LCZB,2
7,LCZ8,6
16,LCZH,6
16,LCZH,4
3,LCZ4,0
15,LCZG,9
2,LCZ3,6
7,LCZ8,3
12,LCZD,7
2,LCZ3,9
13,LCZE,7
4,LCZ5,0
5,LCZ6,1
13,LCZE,4
1,LCZ2,4
2,LCZ3,6
16,LCZH,1
7,LCZ8,9
13,LCZE,9
13,LCZE,0
8,LCZ9,8
8,LCZ9,9
12,LCZD,5
13,LCZE,3
0,LCZ1,0
16,LCZH,1
7,LCZ8,1
4,LCZ5,2
7,LCZ8,8
7,LCZ8,5
9,LCZA,1
16,LCZH,3
5,LCZ6,5
5,LCZ6,5
4,LCZ5,4
16,LCZH,8
4,LCZ5,2
8,LCZ9,5
5,LCZ6,9
5,LCZ6,8
1,LCZ2,9
10,LCZB,6
10,LCZB,4
7,LCZ8,0
13,LCZE,1
7,LCZ8,0
2,LCZ3,5
9,LCZA,2
13,LCZE,9
5,LCZ6,5
7,LCZ8,5
8,LCZ9,7
2,LCZ3,1
13,LCZE,4
16,LCZH,1
8,LCZ9,4
13,LCZE,0
9,LCZA,3
7,LCZ8,0
4,LCZ5,4
7,LCZ8,1
2,LCZ3,8
12,LCZD,7
14,LCZF,6
5,LCZ6,5
16,LCZH,8
2,LCZ3,6
6,LCZ7,3
16,LCZH,0
7,LCZ8,0
5,LCZ6,1
7,LCZ8,8
8,LCZ9,3
4,LCZ5,4
2,LCZ3,6
10,LCZB,2
1,LCZ2,4
7,LCZ8,6
10,LCZB,3
8,LCZ9,3
13,LCZE,9
5,LCZ6,5
9,LCZA,0
8,LCZ9,2
2,LCZ3,7
7,LCZ8,6
2,LCZ3,1
11,LCZC,2
13,LCZE,0
5,LCZ6,0
12,LCZD,5
7,LCZ8,4
16,LCZH,8
7,LCZ8,1
7,LCZ8,5
2,LCZ3,9
10,LCZB,3
8,LCZ9,1
8,LCZ9,6
2,LCZ3,1
9,LCZA,2
3,LCZ4,9
