tight,method,F1_c0_collapsed_building,P_c0_collapsed_building,R_c0_collapsed_building,F1_c1_fire,P_c1_fire,R_c1_fire,F1_c2_flooded_areas,P_c2_flooded_areas,R_c2_flooded_areas,F1_c3_normal,P_c3_normal,R_c3_normal
L20_G20,tralo,0.3279,1.0000,0.1961,0.9494,0.9898,0.9134,0.9477,0.9898,0.9095,0.9464,0.8988,0.9994
L20_G20,tralo_bounded,0.3279,1.0000,0.1961,0.9481,0.9897,0.9111,0.9451,0.9921,0.9024,0.9458,0.8976,0.9994
L20_G20,fioretto_ldf,0.3279,1.0000,0.1961,0.9481,0.9897,0.9111,0.9424,0.9921,0.8976,0.9456,0.8972,0.9994
L20_G20,hounie_rcl,0.2951,0.9000,0.1765,0.9300,1.0000,0.8702,0.9073,0.9947,0.8357,0.9392,0.8861,0.9992
L20_G20,danits_lp,0.3279,1.0000,0.1961,0.9618,0.9551,0.9688,0.9649,0.9571,0.9738,0.9548,0.9157,0.9974
L20_G20,heuristic,0.3279,1.0000,0.1961,0.9585,0.9487,0.9688,0.9660,0.9591,0.9738,0.9551,0.9162,0.9974
L30_G30,tralo,0.4662,1.0000,0.3039,0.9630,0.9849,0.9423,0.9607,0.9900,0.9333,0.9549,0.9144,0.9992
L30_G30,tralo_bounded,0.4662,1.0000,0.3039,0.9494,0.9898,0.9134,0.9529,0.9923,0.9167,0.9523,0.9094,0.9994
L30_G30,fioretto_ldf,0.4662,1.0000,0.3039,0.9484,0.9845,0.9159,0.9529,0.9923,0.9167,0.9527,0.9102,0.9994
L30_G30,hounie_rcl,0.4135,0.8871,0.2696,0.9357,1.0000,0.8798,0.9256,0.9947,0.8667,0.9464,0.8994,0.9986
L30_G30,danits_lp,0.4662,1.0000,0.3039,0.9630,0.9574,0.9688,0.9671,0.9612,0.9738,0.9601,0.9256,0.9974
L30_G30,heuristic,0.4662,1.0000,0.3039,0.9630,0.9575,0.9688,0.9660,0.9591,0.9738,0.9603,0.9259,0.9974
L50_G50,tralo,0.6667,1.0000,0.5000,0.9528,0.9798,0.9279,0.9622,0.9875,0.9381,0.9653,0.9336,0.9992
L50_G50,tralo_bounded,0.6667,1.0000,0.5000,0.9540,0.9822,0.9279,0.9595,0.9899,0.9309,0.9646,0.9323,0.9992
L50_G50,fioretto_ldf,0.6667,1.0000,0.5000,0.9515,0.9797,0.9254,0.9594,0.9925,0.9285,0.9646,0.9321,0.9994
L50_G50,hounie_rcl,0.6209,0.9314,0.4657,0.9440,0.9945,0.8991,0.9392,0.9949,0.8905,0.9585,0.9222,0.9977
L50_G50,danits_lp,0.6667,1.0000,0.5000,0.9665,0.9644,0.9688,0.9694,0.9655,0.9738,0.9701,0.9443,0.9974
L50_G50,heuristic,0.6667,1.0000,0.5000,0.9665,0.9644,0.9688,0.9694,0.9655,0.9738,0.9701,0.9443,0.9974
L70_G70,tralo,0.8208,1.0000,0.6961,0.9594,0.9825,0.9375,0.9708,0.9926,0.9500,0.9768,0.9554,0.9992
L70_G70,tralo_bounded,0.8208,1.0000,0.6961,0.9577,0.9874,0.9303,0.9683,0.9926,0.9453,0.9758,0.9536,0.9992
L70_G70,fioretto_ldf,0.8208,1.0000,0.6961,0.9555,0.9825,0.9303,0.9683,0.9926,0.9453,0.9761,0.9541,0.9992
L70_G70,hounie_rcl,0.8179,0.9965,0.6937,0.9560,0.9947,0.9206,0.9593,0.9950,0.9262,0.9737,0.9495,0.9992
L70_G70,danits_lp,0.8208,1.0000,0.6961,0.9699,0.9713,0.9688,0.9716,0.9699,0.9738,0.9803,0.9637,0.9974
L70_G70,heuristic,0.8208,1.0000,0.6961,0.9699,0.9713,0.9688,0.9716,0.9699,0.9738,0.9803,0.9637,0.9974
L80_G80,tralo,0.8913,1.0000,0.8039,0.9667,0.9899,0.9447,0.9721,0.9901,0.9548,0.9832,0.9678,0.9992
L80_G80,tralo_bounded,0.8913,1.0000,0.8039,0.9653,0.9924,0.9399,0.9720,0.9950,0.9500,0.9822,0.9659,0.9992
L80_G80,fioretto_ldf,0.8913,1.0000,0.8039,0.9666,0.9924,0.9423,0.9720,0.9950,0.9500,0.9824,0.9661,0.9992
L80_G80,hounie_rcl,0.8831,0.9909,0.7965,0.9587,0.9947,0.9255,0.9670,0.9950,0.9405,0.9805,0.9627,0.9989
L80_G80,danits_lp,0.8913,1.0000,0.8039,0.9734,0.9783,0.9688,0.9750,0.9765,0.9738,0.9855,0.9739,0.9974
L80_G80,heuristic,0.8913,1.0000,0.8039,0.9734,0.9783,0.9688,0.9750,0.9765,0.9738,0.9855,0.9739,0.9974
