ds,model,cls,grp,tight,L,G,method,seed,f1m,f1w,acc,ece,brier,flips,sat,sat_epoch,phase
aider,MobileNetV3,0,synth_group,L20_G20,20,20,danits_lp,1,0.7961,0.9003,0.9218,0.0134,0.0309,91.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G20,20,20,danits_lp,2,0.7967,0.9027,0.9244,0.0123,0.0225,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G20,20,20,danits_lp,3,0.8036,0.902,0.9235,0.0101,0.0206,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G20,20,20,danits_lp,4,0.813,0.9054,0.9269,0.0106,0.0207,81.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,fioretto_ldf,1,0.7789,0.8854,0.9067,0.0905,0.1815,7.0,1.0,30.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,fioretto_ldf,2,0.7834,0.888,0.9092,0.0883,0.1762,8.0,1.0,19.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,fioretto_ldf,3,0.7982,0.8971,0.9185,0.0748,0.1533,4.0,1.0,18.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,fioretto_ldf,4,0.8034,0.8997,0.921,0.0775,0.1598,7.0,1.0,22.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,heuristic,1,0.7961,0.9003,0.9218,0.0134,0.0309,91.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G20,20,20,heuristic,2,0.7977,0.9027,0.9244,0.0123,0.0225,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G20,20,20,heuristic,3,0.8007,0.902,0.9235,0.0101,0.0206,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G20,20,20,heuristic,4,0.813,0.9054,0.9269,0.0106,0.0207,81.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,hounie_rcl,1,0.7687,0.8805,0.9025,0.1027,0.2082,15.0,1.0,105.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,hounie_rcl,2,0.7404,0.8671,0.8916,0.109,0.2248,18.0,1.0,48.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,hounie_rcl,3,0.7875,0.8911,0.9134,0.0947,0.1913,18.0,1.0,50.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,hounie_rcl,4,0.775,0.8827,0.9042,0.1027,0.2041,16.0,1.0,107.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,tralo,1,0.7818,0.8871,0.9084,0.0858,0.1718,4.0,1.0,84.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,tralo,2,0.7849,0.8888,0.9101,0.0831,0.1684,0.0,1.0,70.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,tralo,3,0.7995,0.898,0.9193,0.0711,0.1445,1.0,1.0,71.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,tralo,4,0.8052,0.9013,0.9227,0.0724,0.1496,0.0,1.0,77.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,tralo_bounded,1,0.7789,0.8854,0.9067,0.0951,0.1909,9.0,1.0,84.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,tralo_bounded,2,0.7864,0.8897,0.9109,0.0809,0.1657,0.0,1.0,70.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,tralo_bounded,3,0.7982,0.8971,0.9185,0.0769,0.1571,6.0,1.0,71.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G20,20,20,tralo_bounded,4,0.8034,0.8997,0.921,0.0794,0.1637,8.0,1.0,77.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L20_G50,20,50,danits_lp,1,0.7961,0.9003,0.9218,0.0134,0.0309,91.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G50,20,50,danits_lp,2,0.7967,0.9027,0.9244,0.0123,0.0225,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G50,20,50,danits_lp,3,0.8036,0.902,0.9235,0.0101,0.0206,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G50,20,50,heuristic,1,0.7961,0.9003,0.9218,0.0134,0.0309,91.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G50,20,50,heuristic,2,0.7977,0.9027,0.9244,0.0123,0.0225,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L20_G50,20,50,heuristic,3,0.8007,0.902,0.9235,0.0101,0.0206,83.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,danits_lp,1,0.8331,0.9164,0.9311,0.0134,0.0309,80.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,danits_lp,2,0.8347,0.9188,0.9336,0.0123,0.0225,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,danits_lp,3,0.8396,0.9181,0.9328,0.0101,0.0206,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,danits_lp,4,0.8491,0.9215,0.9361,0.0106,0.0207,70.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,fioretto_ldf,1,0.8182,0.9039,0.9185,0.0832,0.1681,14.0,1.0,29.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,fioretto_ldf,2,0.8257,0.9082,0.9227,0.0752,0.1552,7.0,1.0,18.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,fioretto_ldf,3,0.8355,0.914,0.9286,0.0621,0.1313,3.0,1.0,17.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,fioretto_ldf,4,0.8408,0.9165,0.9311,0.0676,0.1444,8.0,1.0,21.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,heuristic,1,0.8321,0.9164,0.9311,0.0134,0.0309,80.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,heuristic,2,0.8337,0.9188,0.9336,0.0123,0.0225,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,heuristic,3,0.8396,0.9181,0.9328,0.0101,0.0206,72.0,0.0,,expansion_aider_baselines
aider,MobileNetV3,0,synth_group,L30_G30,30,30,heuristic,4,0.8501,0.9215,0.9361,0.0106,0.0207,70.0,0.0,,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,hounie_rcl,1,0.8149,0.9014,0.916,0.1001,0.2004,23.0,1.0,109.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,hounie_rcl,2,0.7828,0.8863,0.9034,0.1058,0.2185,28.0,1.0,49.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,hounie_rcl,3,0.8256,0.9082,0.9235,0.0934,0.1873,29.0,1.0,51.0,paperv2_phase1
aider,MobileNetV3,0,synth_group,L30_G30,30,30,hounie_rcl,4,0.7979,0.8959,0.9134,0.0902,0.1859,26.0,1.0,81.0,paperv2_phase1
