ds,tight,method,n,F1m_mean,F1m_std,Acc_mean,Acc_std,ECE_mean,ECE_std,Brier_mean,Brier_std,Flips_mean,Flips_std,Sat%_mean,Sat%_std,SatEp_mean,SatEp_std,Time_mean,Time_std
aider,L20_G20,danits_lp,4,0.80235,0.007873372847769856,0.92415,0.002126812952126565,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,84.5,4.43471156521669,0.0,0.0,,0.0,0.3009,0.06963375618189788
aider,L20_G20,fioretto_ldf,4,0.790975,0.01168713680362588,0.91385,0.0069639548150937204,0.082775,0.0077809061168992374,0.1677,0.013322412193993499,6.5,1.7320508075688772,1.0,0.0,22.25,5.439056290693573,14.763325,2.20008011577609
aider,L20_G20,heuristic,4,0.801875,0.007657839120796389,0.92415,0.002126812952126565,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,84.5,4.43471156521669,0.0,0.0,,0.0,0.2742,0.06633897798428914
aider,L20_G20,hounie_rcl,4,0.7679,0.019928706263411436,0.902925,0.00894031132940386,0.102275,0.005858540773947039,0.2071,0.013821963198716262,16.75,1.5,1.0,0.0,77.5,32.929217016706204,39.926825,14.506238885016566
aider,L20_G20,tralo,4,0.79285,0.011284945724282397,0.915125,0.0069591067434453474,0.0781,0.007433707016018319,0.158575,0.013541141015438843,1.25,1.8929694486000912,1.0,0.0,75.5,6.454972243679028,43.4079,28.142530982956504
aider,L20_G20,tralo_bounded,4,0.791725,0.011121563139535131,0.914275,0.006629416766704818,0.083075,0.008184690993963468,0.16935,0.014829137983488224,5.75,4.031128874149275,1.0,0.0,75.5,6.454972243679028,17.471474999999998,3.0571979669571063
aider,L30_G30,danits_lp,4,0.839125,0.00720202517814723,0.9334,0.002080064101576367,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,73.5,4.43471156521669,0.0,0.0,,0.0,0.293025,0.06044597450065087
aider,L30_G30,fioretto_ldf,4,0.83005,0.010076540411602903,0.925225,0.005701096385784075,0.072025,0.009184180239230209,0.14975,0.015657266683556235,8.0,4.546060565661952,1.0,0.0,21.25,5.439056290693573,14.1456,2.195788071133763
aider,L30_G30,heuristic,4,0.838875,0.008148772913758243,0.9334,0.002080064101576367,0.0116,0.0015253414918196737,0.023675,0.004895150661624216,73.5,4.43471156521669,0.0,0.0,,0.0,0.27495,0.06403590138872622
aider,L30_G30,hounie_rcl,4,0.8053,0.018843743435598602,0.914075,0.008305570419904951,0.097375,0.006968679932383178,0.198025,0.015131727154117822,26.5,2.6457513110645907,1.0,0.0,72.5,28.396009109262756,39.3991,13.06161182371201
aider,L30_G30,tralo,4,0.831275,0.008619503079257731,0.926075,0.005061208683045323,0.067525,0.007297202660380665,0.140175,0.011093954810315986,2.25,2.8722813232690143,1.0,0.0,71.0,5.656854249492381,21.39425,6.064217989980241
aider,L30_G30,tralo_bounded,4,0.830225,0.010588791243574496,0.924975,0.0063657285521769155,0.0723,0.009546028842752711,0.149125,0.017057232092771275,8.0,4.242640687119285,1.0,0.0,71.0,5.656854249492381,15.02505,2.5969447966151815
