dataset,sigma,tight,method,n,f1_mean,f1_std,flips_mean,sat_pct,acc_mean
aider,0.00,L20_G20,danits_lp,2,0.7964,0.0003,87.00,0,0.9231
aider,0.00,L20_G20,fioretto_ldf,2,0.7812,0.0022,7.50,100,0.9080
aider,0.00,L20_G20,heuristic,2,0.7969,0.0008,87.00,0,0.9231
aider,0.00,L20_G20,hounie_rcl,2,0.7198,0.0272,17.50,100,0.8858
aider,0.00,L20_G20,tralo,2,0.7833,0.0015,2.00,100,0.9093
aider,0.00,L30_G30,danits_lp,2,0.8339,0.0008,76.00,0,0.9324
aider,0.00,L30_G30,fioretto_ldf,2,0.8219,0.0037,10.50,100,0.9206
aider,0.00,L30_G30,heuristic,2,0.8329,0.0008,76.00,0,0.9324
aider,0.00,L30_G30,hounie_rcl,2,0.7623,0.0388,28.00,100,0.8975
aider,0.00,L30_G30,tralo,2,0.8241,0.0029,4.50,100,0.9219
aider,0.00,L50_G50,danits_lp,2,0.8886,0.0008,56.00,0,0.9491
aider,0.00,L50_G50,fioretto_ldf,2,0.8805,0.0008,5.50,100,0.9407
aider,0.00,L50_G50,heuristic,2,0.8886,0.0008,56.00,0,0.9491
aider,0.00,L50_G50,hounie_rcl,2,0.8259,0.0394,43.50,100,0.9181
aider,0.00,L50_G50,tralo,2,0.8833,0.0022,0.00,100,0.9425
aider,0.00,L70_G70,danits_lp,2,0.9324,0.0013,36.00,0,0.9659
aider,0.00,L70_G70,fioretto_ldf,2,0.9255,0.0006,3.00,100,0.9601
aider,0.00,L70_G70,heuristic,2,0.9324,0.0013,36.00,0,0.9659
aider,0.00,L70_G70,hounie_rcl,2,0.9071,0.0115,41.00,100,0.9500
aider,0.00,L70_G70,tralo,2,0.9277,0.0015,1.00,100,0.9613
aider,0.10,L20_G20,danits_lp,2,0.7864,0.0032,82.00,0,0.9139
aider,0.10,L20_G20,fioretto_ldf,2,0.7691,0.0005,5.00,100,0.9025
aider,0.10,L20_G20,heuristic,2,0.7864,0.0032,82.00,0,0.9139
aider,0.10,L20_G20,hounie_rcl,2,0.7028,0.0075,18.50,100,0.8756
aider,0.10,L20_G20,tralo,2,0.7713,0.0003,3.50,100,0.9038
