dataset,lr,method,n,f1_mean,f1_std,flips_mean,sat_pct
aider,5e-05,danits_lp,2,0.7837,0.0086,75.50,0
aider,5e-05,fioretto_ldf,2,0.7668,0.0049,7.50,100
aider,5e-05,heuristic,2,0.7837,0.0086,75.50,0
aider,5e-05,hounie_rcl,2,0.7347,0.0135,27.00,100
aider,5e-05,tralo,2,0.7685,0.0067,4.00,100
aider,0.0001,danits_lp,2,0.7769,0.0037,72.00,0
aider,0.0001,fioretto_ldf,2,0.7806,0.0072,6.00,100
aider,0.0001,heuristic,2,0.7769,0.0037,72.00,0
aider,0.0001,hounie_rcl,2,0.7649,0.0165,23.00,100
aider,0.0001,tralo,2,0.7854,0.0056,1.50,100
aider,0.0005,danits_lp,2,0.7990,0.0038,66.00,0
aider,0.0005,fioretto_ldf,2,0.7960,0.0045,3.00,100
aider,0.0005,heuristic,2,0.7985,0.0042,66.00,0
aider,0.0005,hounie_rcl,2,0.7685,0.0025,20.50,100
aider,0.0005,tralo,2,0.7982,0.0035,0.50,100
dermmnist,5e-05,danits_lp,2,0.5017,0.0077,72.00,0
dermmnist,5e-05,fioretto_ldf,2,0.4798,0.0044,20.50,100
dermmnist,5e-05,heuristic,2,0.5011,0.0071,72.00,0
dermmnist,5e-05,hounie_rcl,2,0.4675,0.0219,44.50,100
dermmnist,5e-05,tralo,2,0.4880,0.0124,9.00,100
dermmnist,0.0001,danits_lp,2,0.4738,0.0186,64.00,0
dermmnist,0.0001,fioretto_ldf,2,0.4717,0.0119,18.50,50
dermmnist,0.0001,heuristic,2,0.4727,0.0176,64.00,0
dermmnist,0.0001,hounie_rcl,2,0.4668,0.0033,42.00,100
dermmnist,0.0001,tralo,2,0.4755,0.0049,6.50,100
dermmnist,0.0005,danits_lp,2,0.4926,0.0083,64.00,0
dermmnist,0.0005,fioretto_ldf,2,0.5041,0.0232,19.00,100
dermmnist,0.0005,heuristic,2,0.4921,0.0091,64.00,0
dermmnist,0.0005,hounie_rcl,2,0.4891,0.0086,31.50,100
dermmnist,0.0005,tralo,2,0.5027,0.0219,13.00,100
tissuemnist,5e-05,danits_lp,2,0.3089,0.0383,146.50,0
tissuemnist,5e-05,fioretto_ldf,2,0.3311,0.0138,7.50,100
tissuemnist,5e-05,heuristic,2,0.3095,0.0377,146.50,0
tissuemnist,5e-05,hounie_rcl,2,0.3183,0.0102,21.50,100
tissuemnist,5e-05,tralo,2,0.3266,0.0197,4.00,100
tissuemnist,0.0001,danits_lp,2,0.3353,0.0211,205.50,0
tissuemnist,0.0001,fioretto_ldf,2,0.3547,0.0096,9.50,100
tissuemnist,0.0001,heuristic,2,0.3359,0.0204,205.50,0
tissuemnist,0.0001,hounie_rcl,2,0.3561,0.0069,20.50,100
tissuemnist,0.0001,tralo,2,0.3559,0.0083,4.00,100
tissuemnist,0.0005,danits_lp,2,0.2933,0.0151,138.50,0
tissuemnist,0.0005,fioretto_ldf,2,0.3896,0.0010,7.50,100
tissuemnist,0.0005,heuristic,2,0.2939,0.0157,138.50,0
tissuemnist,0.0005,hounie_rcl,2,0.3904,0.0035,18.00,100
tissuemnist,0.0005,tralo,2,0.3879,0.0007,4.50,100
