binding_gap,cls_cstr,d_conf_gap,d_f1_cstr,d_f1_uncstr,d_flips,d_macro_f1,d_pre_cstr,d_rec_cstr,data_dir,dataset,model,n_classes,ph_acc,ph_conf_gap,ph_f1_cstr,ph_f1_uncstr_mean,ph_macro_f1,ph_mean_entropy,ph_pre_cstr,ph_rec_cstr,ph_sup_cstr,pretrained,seed,sweep,tight,tight_pct
81.6,0,-0.10900000000000001,0.0,-0.019000000000000017,-87.0,-0.01429999999999998,0.0,0.0,data/aider/slice_1,aider,MobileNetV3,4,0.9218,0.1698,0.3279,0.9521333333333333,0.7961,0.0136,1.0,0.1961,102.0,True,1,contamination_clean,L20_G20,20
81.6,0,-0.05820000000000001,0.0,-0.015666666666666718,-83.0,-0.011799999999999922,0.0,0.0,data/aider/slice_1,aider,MobileNetV3,4,0.9244,0.101,0.3279,0.9529333333333333,0.7967,0.0069,1.0,0.1961,102.0,True,2,contamination_clean,L20_G20,20
30.599999999999994,0,-0.0863,0.0,-0.0025333333333333874,-40.0,-0.0019000000000000128,0.0,0.0,data/aider/slice_1,aider,MobileNetV3,4,0.9647,0.1698,0.8208,0.9679333333333333,0.9311,0.0136,1.0,0.6961,102.0,True,1,contamination_clean,L70_G70,70
30.599999999999994,0,-0.021600000000000008,0.0,-0.010200000000000098,-30.0,-0.00759999999999994,0.0,0.0,data/aider/slice_1,aider,MobileNetV3,4,0.9672,0.101,0.8208,0.9714,0.9337,0.0069,1.0,0.6961,102.0,True,2,contamination_clean,L70_G70,70
71.4,0,-0.09290000000000001,0.0,-0.015799999999999925,-74.0,-0.01189999999999991,0.0,0.0,data/aider/slice_1,aider,MobileNetV3,4,0.9311,0.1698,0.4662,0.9553333333333333,0.8331,0.0136,1.0,0.3039,102.0,True,1,contamination_clean,L30_G30,30
71.4,0,-0.05430000000000001,0.0,-0.010099999999999998,-69.0,-0.007600000000000051,0.0,0.0,data/aider/slice_1,aider,MobileNetV3,4,0.9336,0.101,0.4662,0.9575333333333332,0.8347,0.0069,1.0,0.3039,102.0,True,2,contamination_clean,L30_G30,30
51.0,0,-0.0872,0.0,-0.008933333333333349,-60.0,-0.006700000000000039,0.0,0.0,data/aider/slice_1,aider,MobileNetV3,4,0.9479,0.1698,0.6667,0.9615666666666667,0.8878,0.0136,1.0,0.5,102.0,True,1,contamination_clean,L50_G50,50
51.0,0,-0.03910000000000001,0.0,-0.005233333333333312,-52.0,-0.0040000000000000036,0.0,0.0,data/aider/slice_1,aider,MobileNetV3,4,0.9504,0.101,0.6667,0.9637333333333333,0.8895,0.0069,1.0,0.5,102.0,True,2,contamination_clean,L50_G50,50
178.4,4,-0.027999999999999997,0.0,-0.027616666666666845,-149.0,-0.023699999999999943,0.0,0.0,data/dermmnist/slice_1,dermmnist,MobileNetV3,7,0.8347,0.1192,0.3134,0.7809500000000001,0.7142,0.042,0.9333,0.1883,223.0,True,1,contamination_clean,L20_G20,20
178.4,4,-0.03749999999999999,0.015000000000000013,0.02413333333333334,-149.0,0.02290000000000003,0.044399999999999995,0.009000000000000008,data/dermmnist/slice_1,dermmnist,MobileNetV3,7,0.8328,0.1214,0.291,0.7537333333333334,0.6876,0.0444,0.8667,0.1749,223.0,True,2,contamination_clean,L20_G20,20
66.9,4,-0.016399999999999998,0.0,0.010116666666666774,-38.0,0.008700000000000041,0.0,0.0,data/dermmnist/slice_1,dermmnist,MobileNetV3,7,0.8672,0.1192,0.6596,0.7962666666666666,0.7767,0.042,0.8013,0.5605,223.0,True,1,contamination_clean,L70_G70,70
66.9,4,-0.044,0.03700000000000003,0.032333333333333325,-41.0,0.03300000000000003,0.04489999999999994,0.031399999999999983,data/dermmnist/slice_1,dermmnist,MobileNetV3,7,0.8587,0.1214,0.6121,0.7728166666666666,0.7499,0.0444,0.7436,0.5202,223.0,True,2,contamination_clean,L70_G70,70
156.1,4,-0.0242,-0.013799999999999979,-0.011466666666666625,-129.0,-0.011800000000000033,-0.029900000000000038,-0.008900000000000019,data/dermmnist/slice_1,dermmnist,MobileNetV3,7,0.8437,0.1192,0.4276,0.7845166666666666,0.7335,0.042,0.9254,0.278,223.0,True,1,contamination_clean,L30_G30,30
156.1,4,-0.03269999999999999,-0.006900000000000017,0.03311666666666657,-111.0,0.02739999999999998,-0.014900000000000024,-0.004400000000000015,data/dermmnist/slice_1,dermmnist,MobileNetV3,7,0.8437,0.1214,0.4207,0.7579666666666668,0.7098,0.0444,0.9104,0.2735,223.0,True,2,contamination_clean,L30_G30,30
111.5,4,-0.022400000000000003,0.0,0.008500000000000063,-82.0,0.007299999999999973,0.0,0.0,data/dermmnist/slice_1,dermmnist,MobileNetV3,7,0.8582,0.1192,0.5749,0.7881,0.7576,0.042,0.8649,0.4305,223.0,True,1,contamination_clean,L50_G50,50
111.5,4,-0.042499999999999996,0.017999999999999905,0.02746666666666675,-88.0,0.026100000000000012,0.027000000000000024,0.013500000000000012,data/dermmnist/slice_1,dermmnist,MobileNetV3,7,0.8522,0.1214,0.5329,0.7671833333333332,0.7337,0.0444,0.8018,0.3991,223.0,True,2,contamination_clean,L50_G50,50
136.8,4,0.0068000000000000005,0.0,0.023285714285714187,-161.0,0.020399999999999974,0.0,0.0,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4838,0.0771,0.1659,0.3587571428571429,0.3346,0.1385,0.5,0.0994,171.0,True,1,contamination_clean,L20_G20,20
136.8,4,0.0021999999999999936,-0.009800000000000003,-0.007657142857142807,-160.0,-0.007899999999999963,-0.02939999999999998,-0.0058,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4771,0.0723,0.1854,0.3953285714285714,0.3691,0.1442,0.5588,0.1111,171.0,True,2,contamination_clean,L20_G20,20
51.3,4,0.0039000000000000007,0.01369999999999999,0.02098571428571433,-82.0,0.020100000000000007,0.016699999999999993,0.011699999999999988,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4875,0.0771,0.3093,0.35957142857142854,0.3533,0.1385,0.375,0.2632,171.0,True,1,contamination_clean,L70_G70,70
51.3,4,0.010599999999999998,0.013799999999999979,0.012671428571428611,-71.0,0.012799999999999978,0.016600000000000004,0.011699999999999988,data/tissuemnist/slice_1,tissuemnist,MobileNetV3,8,0.4821,0.0723,0.3436,0.39705714285714283,0.3904,0.1442,0.4167,0.2924,171.0,True,2,contamination_clean,L70_G70,70
