ds,tight,seed,tralo__F1m,tralo__Acc,tralo__ECE,tralo__Brier,tralo__Flips,tralo__Sat%,tralo__SatEp,tralo__Time,tralo_bounded__F1m,tralo_bounded__Acc,tralo_bounded__ECE,tralo_bounded__Brier,tralo_bounded__Flips,tralo_bounded__Sat%,tralo_bounded__SatEp,tralo_bounded__Time,fioretto_ldf__F1m,fioretto_ldf__Acc,fioretto_ldf__ECE,fioretto_ldf__Brier,fioretto_ldf__Flips,fioretto_ldf__Sat%,fioretto_ldf__SatEp,fioretto_ldf__Time,hounie_rcl__F1m,hounie_rcl__Acc,hounie_rcl__ECE,hounie_rcl__Brier,hounie_rcl__Flips,hounie_rcl__Sat%,hounie_rcl__SatEp,hounie_rcl__Time,danits_lp__F1m,danits_lp__Acc,danits_lp__ECE,danits_lp__Brier,danits_lp__Flips,danits_lp__Sat%,danits_lp__SatEp,danits_lp__Time,heuristic__F1m,heuristic__Acc,heuristic__ECE,heuristic__Brier,heuristic__Flips,heuristic__Sat%,heuristic__SatEp,heuristic__Time
aider,L20_G20,1,0.7818,0.9084,0.0858,0.1718,4,1,84,22.5823,0.7789,0.9067,0.0951,0.1909,9,1,84,21.3966,0.7789,0.9067,0.0905,0.1815,7,1,30,18.5372,0.7687,0.9025,0.1027,0.2082,15,1,105,52.1502,0.7961,0.9218,0.0134,0.0309,91,0,,0.3543,0.7961,0.9218,0.0134,0.0309,91,0,,0.3538
aider,L20_G20,2,0.7849,0.9101,0.0831,0.1684,0,1,70,64.5692,0.7864,0.9109,0.0809,0.1657,0,1,70,15.0109,0.7834,0.9092,0.0883,0.1762,8,1,19,13.4888,0.7404,0.8916,0.109,0.2248,18,1,48,26.8204,0.7967,0.9244,0.0123,0.0225,83,0,,0.3655,0.7977,0.9244,0.0123,0.0225,83,0,,0.3404
aider,L20_G20,3,0.7995,0.9193,0.0711,0.1445,1,1,71,17.3959,0.7982,0.9185,0.0769,0.1571,6,1,71,15.08,0.7982,0.9185,0.0748,0.1533,4,1,18,13.64,0.7875,0.9134,0.0947,0.1913,18,1,50,27.9242,0.8036,0.9235,0.0101,0.0206,83,0,,0.3647,0.8007,0.9235,0.0101,0.0206,83,0,,0.3635
aider,L20_G20,4,0.8052,0.9227,0.0724,0.1496,0,1,77,72.5156,0.8034,0.921,0.0794,0.1637,8,1,77,18.3984,0.8034,0.921,0.0775,0.1598,7,1,22,15.6612,0.775,0.9042,0.1027,0.2041,16,1,107,52.8125,0.813,0.9269,0.0106,0.0207,81,0,,0.3576,0.813,0.9269,0.0106,0.0207,81,0,,0.2858
aider,L30_G30,1,0.8409,0.9311,0.0649,0.1367,5,1,77,111.644,0.8178,0.9176,0.0823,0.1657,12,1,79,18.7836,0.8182,0.9185,0.0832,0.1681,14,1,29,18.3469,0.8149,0.916,0.1001,0.2004,23,1,109,56.0069,0.8331,0.9311,0.0134,0.0309,80,0,,0.3522,0.8321,0.9311,0.0134,0.0309,80,0,,0.36
aider,L30_G30,2,0.8271,0.9235,0.0718,0.1489,3,1,67,15.1037,0.8253,0.9218,0.0786,0.1619,11,1,67,13.1956,0.8257,0.9227,0.0752,0.1552,7,1,18,12.8532,0.7828,0.9034,0.1058,0.2185,28,1,49,28.6788,0.8347,0.9336,0.0123,0.0225,72,0,,0.3716,0.8337,0.9336,0.0123,0.0225,72,0,,0.3531
aider,L30_G30,3,0.8373,0.9303,0.0586,0.1279,0,1,67,19.9329,0.837,0.9294,0.0635,0.133,6,1,67,13.3904,0.8355,0.9286,0.0621,0.1313,3,1,17,12.8188,0.8256,0.9235,0.0934,0.1873,29,1,51,29.2532,0.8396,0.9328,0.0101,0.0206,72,0,,0.3682,0.8396,0.9328,0.0101,0.0206,72,0,,0.3501
aider,L30_G30,4,0.8395,0.9303,0.0648,0.1337,0,1,71,28.1711,0.8408,0.9311,0.0648,0.1359,3,1,71,14.7306,0.8408,0.9311,0.0676,0.1444,8,1,21,14.8898,0.7979,0.9134,0.0902,0.1859,26,1,81,43.6575,0.8491,0.9361,0.0106,0.0207,70,0,,0.3155,0.8501,0.9361,0.0106,0.0207,70,0,,0.3063
aider,L50_G50,1,0.8811,0.9412,0.0509,0.1026,0,1,74,19.9118,0.8783,0.9395,0.0569,0.1188,7,1,74,16.1195,0.8797,0.9403,0.0553,0.114,5,1,25,15.7771,0.8735,0.9361,0.0768,0.1574,28,1,120,59.5496,0.8878,0.9479,0.0134,0.0309,60,0,,0.3819,0.8878,0.9479,0.0134,0.0309,60,0,,0.3315
aider,L50_G50,2,0.8855,0.9437,0.0495,0.1043,0,1,65,18.9775,0.8841,0.9429,0.0516,0.1092,5,0,,38.803,0.8813,0.9412,0.0546,0.1131,6,1,16,11.8176,0.835,0.9202,0.0969,0.1982,43,1,52,29.5762,0.8895,0.9504,0.0123,0.0225,52,0,,0.3749,0.8895,0.9504,0.0123,0.0225,52,0,,0.3333
aider,L50_G50,3,0.8887,0.9462,0.0466,0.0976,0,1,64,139.932,0.8901,0.9471,0.053,0.1106,14,1,64,11.7946,0.8887,0.9462,0.0522,0.1113,12,1,15,11.7021,0.8819,0.9412,0.0852,0.1698,42,1,54,30.3625,0.8924,0.9496,0.0101,0.0206,52,0,,0.3776,0.8924,0.9496,0.0101,0.0206,52,0,,0.353
aider,L50_G50,4,0.8915,0.9479,0.0472,0.0956,0,1,69,65.5048,0.8922,0.9471,0.0515,0.1061,7,0,,39.5593,0.8925,0.9479,0.0543,0.1142,12,1,19,13.047,0.8721,0.9387,0.0773,0.1602,38,1,89,45.8608,0.9029,0.9529,0.0106,0.0207,50,0,,0.3109,0.9029,0.9529,0.0106,0.0207,50,0,,0.2783
aider,L70_G70,1,0.9292,0.9613,0.0333,0.0681,0,1,72,140.358,0.9249,0.9588,0.0327,0.0708,3,0,,40.8641,0.9249,0.9588,0.0324,0.0742,3,1,22,14.9114,0.9205,0.9563,0.055,0.1113,26,1,145,71.0124,0.9311,0.9647,0.0134,0.0309,40,0,,0.3488,0.9311,0.9647,0.0134,0.0309,40,0,,0.3388
aider,L70_G70,2,0.9261,0.9613,0.0337,0.0733,2,1,63,18.183,0.9281,0.9613,0.0381,0.0811,8,1,63,11.4702,0.9261,0.9613,0.0354,0.0743,3,1,14,11.8715,0.9206,0.9563,0.0621,0.1292,33,1,57,32.9848,0.9337,0.9672,0.0123,0.0225,32,0,,0.3713,0.9337,0.9672,0.0123,0.0225,32,0,,0.3596
aider,L70_G70,3,0.9362,0.9655,0.0268,0.0597,0,1,62,15.6065,0.9348,0.9647,0.0305,0.0614,2,1,62,11.3244,0.9348,0.9647,0.0296,0.0602,1,1,13,11.4344,0.9299,0.9613,0.0536,0.1153,34,1,60,33.9053,0.9337,0.9664,0.0101,0.0206,32,0,,0.3849,0.9337,0.9664,0.0101,0.0206,32,0,,0.35
aider,L70_G70,4,0.9363,0.9655,0.0283,0.0596,0,1,66,18.3371,0.9349,0.9647,0.0352,0.0735,10,1,66,12.4951,0.9349,0.9647,0.0279,0.0634,2,1,16,12.1445,0.9358,0.9647,0.0503,0.105,29,1,105,53.5027,0.9441,0.9697,0.0106,0.0207,30,0,,0.3121,0.9441,0.9697,0.0106,0.0207,30,0,,0.2955
aider,L80_G80,1,0.9498,0.9714,0.0246,0.0503,1,1,72,22.2363,0.9494,0.9706,0.026,0.0564,5,0,,40.5997,0.9494,0.9706,0.0261,0.0569,6,1,20,13.5734,0.948,0.9697,0.0287,0.0621,8,1,172,82.2752,0.9522,0.9739,0.0134,0.0309,29,0,,0.351,0.9522,0.9739,0.0134,0.0309,29,0,,0.3531
aider,L80_G80,2,0.9497,0.9714,0.0266,0.054,0,1,62,17.5994,0.9483,0.9706,0.0278,0.0576,4,1,62,10.2451,0.9497,0.9714,0.0292,0.0607,7,1,13,10.2509,0.9398,0.9664,0.0431,0.0932,24,1,65,35.0719,0.9549,0.9765,0.0123,0.0225,21,0,,0.3942,0.9549,0.9765,0.0123,0.0225,21,0,,0.3631
aider,L80_G80,3,0.957,0.9765,0.0208,0.0437,0,1,61,15.4663,0.9567,0.9756,0.0201,0.0454,1,1,61,9.8071,0.9567,0.9756,0.0219,0.0482,3,1,12,9.8627,0.9536,0.9731,0.0313,0.0695,16,1,65,35.6106,0.9548,0.9756,0.0101,0.0206,21,0,,0.3483,0.9548,0.9756,0.0101,0.0206,21,0,,0.3521
aider,L80_G80,4,0.9568,0.9756,0.0211,0.0431,1,1,66,21.9723,0.9564,0.9748,0.0231,0.0492,5,1,66,12.2937,0.9564,0.9748,0.0221,0.0511,5,1,15,11.1833,0.9479,0.9706,0.0324,0.0707,19,1,126,62.2235,0.9633,0.979,0.0106,0.0207,19,0,,0.2927,0.9633,0.979,0.0106,0.0207,19,0,,0.2781
dermmnist,L20_G20,1,0.6905,0.8263,0.1459,0.3108,2,1,71,31.2496,0.6898,0.8263,0.1476,0.3159,9,1,71,23.7639,0.6899,0.8233,0.1485,0.3178,5,1,21,22.5549,0.6811,0.8188,0.1579,0.3375,16,1,48,46.1047,0.7142,0.8347,0.1047,0.2319,151,0,,0.5164,0.7142,0.8347,0.1047,0.2319,151,0,,0.4715
dermmnist,L20_G20,2,0.7105,0.8308,0.1465,0.309,5,1,71,26.8378,0.7149,0.8328,0.1473,0.3102,13,1,71,23.6362,0.7107,0.8313,0.1483,0.3135,11,1,21,22.6554,0.7072,0.8308,0.1523,0.3223,22,1,52,52.1818,0.6876,0.8328,0.108,0.2387,154,0,,0.5194,0.6876,0.8328,0.108,0.2387,154,0,,0.4726
dermmnist,L20_G20,3,0.7218,0.8402,0.1338,0.2894,0,1,70,54.1603,0.7139,0.8362,0.1359,0.2913,9,0,,66.8863,0.7216,0.8412,0.1379,0.3002,17,1,20,22.0886,0.7023,0.8367,0.1386,0.2974,12,1,61,59.7356,0.7225,0.8447,0.0908,0.2199,163,0,,0.5118,0.7225,0.8447,0.0908,0.2199,163,0,,0.47
dermmnist,L20_G20,4,0.708,0.8318,0.1439,0.3086,3,1,70,235.879,0.6996,0.8228,0.1613,0.3407,18,1,70,23.004,0.6974,0.8183,0.1701,0.3496,18,1,21,22.512,0.6949,0.8193,0.167,0.3547,21,1,68,60.2887,0.6877,0.8347,0.1012,0.2354,166,0,,0.3839,0.6877,0.8347,0.1012,0.2354,166,0,,0.3471
dermmnist,L30_G30,1,0.7217,0.8447,0.1265,0.274,0,1,67,26.3312,0.7205,0.8422,0.1295,0.2813,4,1,67,20.6786,0.7152,0.8392,0.1348,0.291,12,1,17,19.9377,0.7205,0.8422,0.1307,0.2852,9,1,49,46.9493,0.7335,0.8437,0.1047,0.2319,129,0,,0.5157,0.7335,0.8437,0.1047,0.2319,129,0,,0.491
