campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
g5_hinge_oct,no_hinge,octmnist,MobileNetV3,tralo,L30_G30,1,50,0.4164,0.9851,0.264,0.7207,0.757,0.2132,,18.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/MobileNetV3/L30_G30/no_hinge/seed_1/config.json
g5_hinge_oct,no_hinge,octmnist,MobileNetV3,tralo,L30_G30,2,50,0.3636,0.9655,0.224,0.6891,0.725,0.2396,,36.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/MobileNetV3/L30_G30/no_hinge/seed_2/config.json
g5_hinge_oct,no_hinge,octmnist,MobileNetV3,tralo,L30_G30,3,50,0.4151,0.9706,0.264,0.6931,0.726,0.2292,,17.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/MobileNetV3/L30_G30/no_hinge/seed_3/config.json
g5_hinge_oct,no_hinge,octmnist,MobileNetV3,tralo,L30_G30,4,50,0.381,0.9231,0.24,0.7187,0.757,0.2102,,22.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/MobileNetV3/L30_G30/no_hinge/seed_4/config.json
g5_hinge_oct,no_hinge,octmnist,MobileNetV3,tralo,L40_G40,1,50,0.479,0.9524,0.32,0.7418,0.77,0.1939,,34.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/MobileNetV3/L40_G40/no_hinge/seed_1/config.json
g5_hinge_oct,no_hinge,octmnist,MobileNetV3,tralo,L40_G40,2,50,0.4852,0.9318,0.328,0.7283,0.751,0.212,,26.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/MobileNetV3/L40_G40/no_hinge/seed_2/config.json
g5_hinge_oct,no_hinge,octmnist,MobileNetV3,tralo,L40_G40,3,50,0.5233,0.9574,0.36,0.7319,0.753,0.2053,,14.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/MobileNetV3/L40_G40/no_hinge/seed_3/config.json
g5_hinge_oct,no_hinge,octmnist,MobileNetV3,tralo,L40_G40,4,50,0.4868,0.9121,0.332,0.7498,0.775,0.1897,,20.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/MobileNetV3/L40_G40/no_hinge/seed_4/config.json
g5_hinge_oct,no_hinge,octmnist,RegNetY400MF,tralo,L30_G30,1,50,0.377,0.9365,0.236,0.6888,0.724,0.2275,,26.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/RegNetY400MF/L30_G30/no_hinge/seed_1/config.json
g5_hinge_oct,no_hinge,octmnist,RegNetY400MF,tralo,L30_G30,2,50,0.359,0.9032,0.224,0.6789,0.718,0.234,,28.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/RegNetY400MF/L30_G30/no_hinge/seed_2/config.json
g5_hinge_oct,no_hinge,octmnist,RegNetY400MF,tralo,L30_G30,3,50,0.3666,0.9344,0.228,0.6811,0.717,0.2359,,30.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/RegNetY400MF/L30_G30/no_hinge/seed_3/config.json
g5_hinge_oct,no_hinge,octmnist,RegNetY400MF,tralo,L30_G30,4,50,0.3366,0.9623,0.204,0.6875,0.73,0.2309,,46.0,2,synth_group,results/pending_runs/g5_hinge_oct/octmnist/RegNetY400MF/L30_G30/no_hinge/seed_4/config.json
