dataset,model,method,constraint_tag,seed,cc_f1,f1_macro
octmnist,MobileNetV2,hounie_rcl,L30_G30,4,0.2569,0.6259
octmnist,MobileNetV2,hounie_rcl,L30_G30,3,0.2857,0.6613
octmnist,MobileNetV2,hounie_rcl,L30_G30,1,0.1739,0.6038
octmnist,MobileNetV2,hounie_rcl,L30_G30,2,0.1884,0.6218
octmnist,MobileNetV2,tralo,L30_G30,4,0.4321,0.6997
octmnist,MobileNetV2,tralo,L30_G30,3,0.4013,0.6914
octmnist,MobileNetV2,tralo,L30_G30,1,0.4074,0.687
octmnist,MobileNetV2,tralo,L30_G30,2,0.4185,0.7129
octmnist,MobileNetV2,danits_lp,L30_G30,4,0.4123,0.6702
octmnist,MobileNetV2,danits_lp,L30_G30,3,0.4369,0.6839
octmnist,MobileNetV2,danits_lp,L30_G30,1,0.4,0.6872
octmnist,MobileNetV2,danits_lp,L30_G30,2,0.3754,0.6874
octmnist,MobileNetV2,fioretto_ldf,L30_G30,4,0.3625,0.6656
octmnist,MobileNetV2,fioretto_ldf,L30_G30,3,0.3849,0.6923
octmnist,MobileNetV2,fioretto_ldf,L30_G30,1,0.3849,0.67
octmnist,MobileNetV2,fioretto_ldf,L30_G30,2,0.3388,0.6759
octmnist,MobileNetV2,hounie_rcl,L40_G40,4,0.4013,0.6794
octmnist,MobileNetV2,hounie_rcl,L40_G40,3,0.3975,0.6971
octmnist,MobileNetV2,hounie_rcl,L40_G40,1,0.3087,0.647
octmnist,MobileNetV2,hounie_rcl,L40_G40,2,0.269,0.6542
octmnist,MobileNetV2,tralo,L40_G40,4,0.5072,0.7352
octmnist,MobileNetV2,tralo,L40_G40,3,0.5043,0.7271
octmnist,MobileNetV2,tralo,L40_G40,1,0.4855,0.7074
octmnist,MobileNetV2,tralo,L40_G40,2,0.4756,0.7224
octmnist,MobileNetV2,danits_lp,L40_G40,4,0.4971,0.6967
octmnist,MobileNetV2,danits_lp,L40_G40,3,0.5086,0.7056
octmnist,MobileNetV2,danits_lp,L40_G40,1,0.4914,0.7161
octmnist,MobileNetV2,danits_lp,L40_G40,2,0.4571,0.7136
octmnist,MobileNetV2,fioretto_ldf,L40_G40,4,0.4884,0.7109
octmnist,MobileNetV2,fioretto_ldf,L40_G40,3,0.4615,0.7171
octmnist,MobileNetV2,fioretto_ldf,L40_G40,1,0.4207,0.6833
octmnist,MobileNetV2,fioretto_ldf,L40_G40,2,0.4524,0.7175
