campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b1,class_balanced,dermmnist,MobileNetV3,class_balanced,L30_G30,1,5,0.4,0.8657,0.2601,0.7318,0.8357,0.0413,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/class_balanced/seed_1/config.json
b1,class_balanced,dermmnist,MobileNetV3,class_balanced,L30_G30,1,50,0.4138,0.8955,0.2691,0.7057,0.8377,0.1105,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/class_balanced/seed_1/config.json
b1,class_balanced,dermmnist,MobileNetV3,class_balanced,L30_G30,2,5,0.4138,0.8955,0.2691,0.7249,0.8357,0.0504,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/class_balanced/seed_2/config.json
b1,class_balanced,dermmnist,MobileNetV3,class_balanced,L30_G30,2,50,0.3931,0.8507,0.2556,0.7502,0.8467,0.0932,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/class_balanced/seed_2/config.json
b1,class_balanced,dermmnist,MobileNetV3,class_balanced,L30_G30,3,5,0.4207,0.9104,0.2735,0.7074,0.8308,0.044,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/class_balanced/seed_3/config.json
b1,class_balanced,dermmnist,MobileNetV3,class_balanced,L30_G30,3,50,0.4,0.8657,0.2601,0.7025,0.8367,0.1104,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/class_balanced/seed_3/config.json
b1,class_balanced,dermmnist,MobileNetV3,class_balanced,L30_G30,4,5,0.3862,0.8358,0.2511,0.7043,0.8337,0.0538,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/class_balanced/seed_4/config.json
b1,class_balanced,dermmnist,MobileNetV3,class_balanced,L30_G30,4,50,0.4207,0.9104,0.2735,0.7511,0.8497,0.1002,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/class_balanced/seed_4/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,1,1,0.2345,0.5075,0.1525,0.2859,0.7204,0.0917,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup1/L30_G30/danits_lp/seed_1/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,1,5,0.4069,0.8806,0.2646,0.7044,0.8337,0.0783,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/danits_lp/seed_1/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,1,50,0.4207,0.9104,0.2735,0.699,0.8447,0.0947,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/danits_lp/seed_1/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,2,1,0.3379,0.7313,0.2197,0.3472,0.7609,0.0271,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup1/L30_G30/danits_lp/seed_2/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,2,5,0.4,0.8657,0.2601,0.6871,0.8352,0.0912,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/danits_lp/seed_2/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,2,50,0.4069,0.8806,0.2646,0.6601,0.8323,0.12,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/danits_lp/seed_2/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,3,5,0.4138,0.8955,0.2691,0.6735,0.8168,0.0965,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/danits_lp/seed_3/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,3,50,0.4207,0.9104,0.2735,0.7163,0.8462,0.113,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/danits_lp/seed_3/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,4,5,0.4,0.8657,0.2601,0.6966,0.8342,0.0754,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/danits_lp/seed_4/config.json
b1,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,4,50,0.4276,0.9254,0.278,0.7321,0.8497,0.1064,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/danits_lp/seed_4/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,1,1,0.2222,0.5536,0.139,0.3811,0.7384,0.0777,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup1/L30_G30/focal/seed_1/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,1,5,0.4138,0.8955,0.2691,0.7215,0.8377,0.0192,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/focal/seed_1/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,1,50,0.4207,0.9104,0.2735,0.7075,0.8397,0.0684,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/focal/seed_1/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,2,1,0.3448,0.7463,0.2242,0.4236,0.7713,0.1338,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup1/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,2,5,0.4138,0.8955,0.2691,0.7221,0.8437,0.017,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,2,50,0.4345,0.9403,0.2825,0.7264,0.8492,0.0562,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/focal/seed_2/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,3,5,0.4069,0.8806,0.2646,0.7119,0.8377,0.0236,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup5/L30_G30/focal/seed_3/config.json
b1,focal,dermmnist,MobileNetV3,focal,L30_G30,3,50,0.4069,0.8806,0.2646,0.7249,0.8437,0.0589,,0.0,4,loc_group,results/track_b/b1/dermmnist/MobileNetV3/warmup50/L30_G30/focal/seed_3/config.json
