dataset,model,method,cap,alpha_kl,seed,cc_f1
tissuemnist,MobileNetV3,tralo,L30_G30,0.0,,0.2252
tissuemnist,MobileNetV3,tralo,L30_G30,0.0,,0.2523
tissuemnist,MobileNetV3,tralo,L30_G30,0.0,,0.2252
tissuemnist,MobileNetV3,tralo,L30_G30,0.0,,0.2523
tissuemnist,MobileNetV3,tralo,L30_G30,0.1,,0.2072
tissuemnist,MobileNetV3,tralo,L30_G30,0.1,,0.2162
tissuemnist,MobileNetV3,tralo,L30_G30,0.1,,0.2072
tissuemnist,MobileNetV3,tralo,L30_G30,0.1,,0.2162
tissuemnist,MobileNetV3,tralo,L30_G30,0.1,,0.2072
tissuemnist,MobileNetV3,tralo,L30_G30,0.1,,0.2162
tissuemnist,MobileNetV3,tralo,L30_G30,0.1,,0.2072
tissuemnist,MobileNetV3,tralo,L30_G30,0.1,,0.2162
tissuemnist,MobileNetV3,tralo,L30_G30,0.3,,0.2072
tissuemnist,MobileNetV3,tralo,L30_G30,0.3,,0.2432
tissuemnist,MobileNetV3,tralo,L30_G30,0.3,,0.2072
tissuemnist,MobileNetV3,tralo,L30_G30,0.3,,0.2432
tissuemnist,MobileNetV3,tralo,L30_G30,0.3,,0.2072
tissuemnist,MobileNetV3,tralo,L30_G30,0.3,,0.2432
tissuemnist,MobileNetV3,tralo,L30_G30,0.3,,0.2072
tissuemnist,MobileNetV3,tralo,L30_G30,0.3,,0.2432
tissuemnist,MobileNetV3,tralo,L30_G30,1.0,,0.1982
tissuemnist,MobileNetV3,tralo,L30_G30,1.0,,0.2432
tissuemnist,MobileNetV3,tralo,L30_G30,1.0,,0.1982
tissuemnist,MobileNetV3,tralo,L30_G30,1.0,,0.2432
tissuemnist,MobileNetV3,tralo,L30_G30,1.0,,0.1982
tissuemnist,MobileNetV3,tralo,L30_G30,1.0,,0.2432
tissuemnist,MobileNetV3,tralo,L30_G30,1.0,,0.1982
tissuemnist,MobileNetV3,tralo,L30_G30,1.0,,0.2432
