dataset,cap,method,n_runs,n_campaigns,single_campaign,campaigns,seeds
aider,L20_G20,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L20_G20,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L20_G20,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L20_G20,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L20_G20,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L20_G20,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L30_G30,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L30_G30,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L30_G30,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L30_G30,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L30_G30,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L30_G30,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L40_G40,danits_lp,4,1,True,grid_l40_l60(4),"1,2,3,4"
aider,L40_G40,heuristic,4,1,True,grid_l40_l60(4),"1,2,3,4"
aider,L40_G40,tralo_bounded,4,1,True,grid_l40_l60(4),"1,2,3,4"
aider,L50_G50,danits_lp,12,2,False,blackwell_validation(8); paperv2_phase3_v3(4),"1,2,3,4,5,6,7,8"
aider,L50_G50,fioretto_ldf,8,1,True,blackwell_validation(8),"1,2,3,4,5,6,7,8"
aider,L50_G50,heuristic,12,2,False,blackwell_validation(8); paperv2_phase3_v3(4),"1,2,3,4,5,6,7,8"
aider,L50_G50,hounie_rcl,10,2,False,blackwell_validation(8); gapfill_L50_w50(2),"1,2,3,4,5,6,7,8"
aider,L50_G50,tralo,8,1,True,blackwell_validation(8),"1,2,3,4,5,6,7,8"
aider,L50_G50,tralo_bounded,4,1,True,paperv2_phase3_v3(4),"1,2,3,4"
aider,L60_G60,danits_lp,4,1,True,grid_l40_l60(4),"1,2,3,4"
aider,L60_G60,heuristic,4,1,True,grid_l40_l60(4),"1,2,3,4"
aider,L60_G60,tralo_bounded,4,1,True,grid_l40_l60(4),"1,2,3,4"
aider,L70_G70,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L70_G70,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L70_G70,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L70_G70,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L70_G70,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L70_G70,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L80_G80,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L80_G80,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L80_G80,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L80_G80,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L80_G80,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
aider,L80_G80,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L20_G20,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L20_G20,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L20_G20,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L20_G20,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L20_G20,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L20_G20,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L30_G30,danits_lp,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L30_G30,fioretto_ldf,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L30_G30,heuristic,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L30_G30,hounie_rcl,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L30_G30,tralo,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L30_G30,tralo_bounded,4,1,True,paper_backbones(4),"1,2,3,4"
dermmnist,L40_G40,danits_lp,4,1,True,grid_l40_l60(4),"1,2,3,4"
