campaign,arm,dataset,model,method,cap,seed,warmup,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,config_path
b2_derm,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,1,50,0.4207,0.9104,0.2735,0.699,0.8447,0.0947,,0.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/danits_lp/seed_1/config.json
b2_derm,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,2,50,0.4069,0.8806,0.2646,0.6601,0.8323,0.12,,0.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/danits_lp/seed_2/config.json
b2_derm,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,3,50,0.4207,0.9104,0.2735,0.7163,0.8462,0.113,,0.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/danits_lp/seed_3/config.json
b2_derm,danits_lp,dermmnist,MobileNetV3,danits_lp,L30_G30,4,50,0.4276,0.9254,0.278,0.7321,0.8497,0.1064,,0.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/danits_lp/seed_4/config.json
b2_derm,fioretto_ldf,dermmnist,MobileNetV3,fioretto_ldf,L30_G30,1,50,0.4207,0.9104,0.2735,0.7229,0.8427,0.1304,,12.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/fioretto_ldf/seed_1/config.json
b2_derm,fioretto_ldf,dermmnist,MobileNetV3,fioretto_ldf,L30_G30,2,50,0.4,0.8657,0.2601,0.6886,0.8323,0.1451,,9.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/fioretto_ldf/seed_2/config.json
b2_derm,fioretto_ldf,dermmnist,MobileNetV3,fioretto_ldf,L30_G30,3,50,0.4,0.8657,0.2601,0.7212,0.8467,0.1319,,8.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/fioretto_ldf/seed_3/config.json
b2_derm,fioretto_ldf,dermmnist,MobileNetV3,fioretto_ldf,L30_G30,4,50,0.4345,0.9403,0.2825,0.7227,0.8402,0.1377,,8.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/fioretto_ldf/seed_4/config.json
b2_derm,hounie_rcl,dermmnist,MobileNetV3,hounie_rcl,L30_G30,1,50,0.4345,0.9403,0.2825,0.7085,0.8412,0.138,,20.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/hounie_rcl/seed_1/config.json
b2_derm,hounie_rcl,dermmnist,MobileNetV3,hounie_rcl,L30_G30,2,50,0.4,0.8657,0.2601,0.6974,0.8347,0.1427,,8.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/hounie_rcl/seed_2/config.json
b2_derm,hounie_rcl,dermmnist,MobileNetV3,hounie_rcl,L30_G30,3,50,0.4069,0.8806,0.2646,0.7089,0.8457,0.1333,,13.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/hounie_rcl/seed_3/config.json
b2_derm,hounie_rcl,dermmnist,MobileNetV3,hounie_rcl,L30_G30,4,50,0.4345,0.9403,0.2825,0.7213,0.8407,0.1396,,13.0,4,loc_group,results/track_b/b2_derm/derm/MobileNetV3/warmup50/L30_G30/hounie_rcl/seed_4/config.json
