campaign,dataset,model,method,constraint_tag,seed,rep,cc_f1,f1_macro,acc,flips,sat,config_path
r2_seeds10,octmnist,MobileNetV3,hounie_rcl,L30_G30,9,,0.3355,0.6885,0.731,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_9/config.json
r2_seeds10,octmnist,MobileNetV3,hounie_rcl,L30_G30,5,,0.3819,0.6968,0.735,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_5/config.json
r2_seeds10,octmnist,MobileNetV3,tralo,L30_G30,9,,0.4198,0.7145,0.746,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/tralo/seed_9/config.json
r2_seeds10,octmnist,MobileNetV3,tralo,L30_G30,5,,0.4444,0.722,0.753,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/tralo/seed_5/config.json
r2_seeds10,octmnist,MobileNetV3,danits_lp,L30_G30,9,,0.4431,0.7284,0.76,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/danits_lp/seed_9/config.json
r2_seeds10,octmnist,MobileNetV3,danits_lp,L30_G30,5,,0.4492,0.7146,0.744,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/danits_lp/seed_5/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_ldf,L30_G30,9,,0.4088,0.7167,0.751,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_9/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_ldf,L30_G30,5,,0.4472,0.7172,0.748,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_5/config.json
r2_seeds10,octmnist,MobileNetV3,tralo_bounded,L30_G30,9,,0.3987,0.7143,0.75,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/tralo_bounded/seed_9/config.json
r2_seeds10,octmnist,MobileNetV3,tralo_bounded,L30_G30,5,,0.4472,0.7153,0.746,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/tralo_bounded/seed_5/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_alm,L30_G30,9,,0.4088,0.7167,0.751,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/fioretto_alm/seed_9/config.json
r2_seeds10,octmnist,MobileNetV3,fioretto_alm,L30_G30,5,,0.4472,0.7172,0.748,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/fioretto_alm/seed_5/config.json
r2_seeds10,octmnist,MobileNetV3,heuristic,L30_G30,9,,0.4431,0.7284,0.76,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/heuristic/seed_9/config.json
r2_seeds10,octmnist,MobileNetV3,heuristic,L30_G30,5,,0.4492,0.7146,0.744,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L30_G30/heuristic/seed_5/config.json
r2_seeds10,octmnist,MobileNetV3,hounie_rcl,L40_G40,9,,0.373,0.7056,0.744,,,results/track_b/r2_seeds10/lane_gpu0/MobileNetV3/octmnist/L40_G40/hounie_rcl/seed_9/config.json
