camp,model,tag,arm,seed,sat_ep,stalled
review_graft_2026-07,MobileNetV3,L30_G30,fioretto_ldf,4,37.0,0
review_graft_2026-07,MobileNetV3,L30_G30,fioretto_ldf,3,36.0,0
review_graft_2026-07,MobileNetV3,L30_G30,fioretto_ldf,1,999.0,1
review_graft_2026-07,MobileNetV3,L30_G30,fioretto_ldf,2,35.0,0
review_graft_2026-07,MobileNetV3,L40_G40,fioretto_ldf,4,30.0,0
review_graft_2026-07,MobileNetV3,L40_G40,fioretto_ldf,3,28.0,0
review_graft_2026-07,MobileNetV3,L40_G40,fioretto_ldf,1,33.0,0
review_graft_2026-07,MobileNetV3,L40_G40,fioretto_ldf,2,999.0,1
review_graft_2026-07,ViTB16,L30_G30,fioretto_ldf,4,24.0,0
review_graft_2026-07,ViTB16,L30_G30,fioretto_ldf,3,21.0,0
review_graft_2026-07,ViTB16,L30_G30,fioretto_ldf,1,27.0,0
review_graft_2026-07,ViTB16,L30_G30,fioretto_ldf,2,26.0,0
review_graft_2026-07,ViTB16,L40_G40,fioretto_ldf,4,21.0,0
review_graft_2026-07,ViTB16,L40_G40,fioretto_ldf,3,999.0,1
review_graft_2026-07,ViTB16,L40_G40,fioretto_ldf,1,24.0,0
review_graft_2026-07,ViTB16,L40_G40,fioretto_ldf,2,999.0,1
review_graft_2026-07,RegNetY400MF,L30_G30,fioretto_ldf,4,999.0,1
review_graft_2026-07,RegNetY400MF,L30_G30,fioretto_ldf,3,999.0,1
review_graft_2026-07,RegNetY400MF,L30_G30,fioretto_ldf,1,35.0,0
review_graft_2026-07,RegNetY400MF,L30_G30,fioretto_ldf,2,999.0,1
review_graft_2026-07,RegNetY400MF,L40_G40,fioretto_ldf,4,20.0,0
review_graft_2026-07,RegNetY400MF,L40_G40,fioretto_ldf,3,28.0,0
review_graft_2026-07,RegNetY400MF,L40_G40,fioretto_ldf,1,31.0,0
review_graft_2026-07,RegNetY400MF,L40_G40,fioretto_ldf,2,999.0,1
review_graft_2026-07,MobileNetV3,L30_G30,hounie_rcl,4,40.0,0
review_graft_2026-07,MobileNetV3,L30_G30,hounie_rcl,3,44.0,0
review_graft_2026-07,MobileNetV3,L30_G30,hounie_rcl,1,43.0,0
review_graft_2026-07,MobileNetV3,L30_G30,hounie_rcl,2,38.0,0
