method,model,tag,seed,cc_f1,macro_f1,flips,ctime_min
fioretto_ldf,MobileNetV3,L30_G30,1,0.4174454828660436,0.7030353597144294,11,4.018228530883789
fioretto_ldf,MobileNetV3,L30_G30,2,0.38095238095238093,0.6898729380758462,22,3.133317029476166
fioretto_ldf,MobileNetV3,L30_G30,3,0.4012539184952978,0.7100172947896325,14,2.9699474891026814
fioretto_ldf,MobileNetV3,L30_G30,4,0.36538461538461536,0.702867370634592,28,2.8252860148747763
fioretto_restart,MobileNetV3,L30_G30,1,0.4174454828660436,0.7030353597144294,11,3.9986236015955607
fioretto_restart,MobileNetV3,L30_G30,2,0.38095238095238093,0.6898729380758462,22,3.149847996234894
fioretto_restart,MobileNetV3,L30_G30,3,0.4012539184952978,0.7100172947896325,14,2.984872265656789
fioretto_restart,MobileNetV3,L30_G30,4,0.36538461538461536,0.702867370634592,28,2.7481005509694416
fioretto_rh,MobileNetV3,L30_G30,1,0.4174454828660436,0.7028163504707692,10,3.306165925661723
fioretto_rh,MobileNetV3,L30_G30,2,0.40993788819875776,0.6972272459156462,8,3.604550476868947
fioretto_rh,MobileNetV3,L30_G30,3,0.4246153846153846,0.7159266441619383,2,3.1783230900764465
fioretto_rh,MobileNetV3,L30_G30,4,0.3950617283950617,0.703102041989104,4,3.0303471167882283
hounie_rcl,MobileNetV3,L30_G30,1,0.36129032258064514,0.6853708247878898,32,2.9572928150494895
hounie_rcl,MobileNetV3,L30_G30,2,0.2857142857142857,0.6568868524586475,64,3.2786858042081195
hounie_rcl,MobileNetV3,L30_G30,3,0.34527687296416937,0.687219288419962,38,3.1668511867523192
hounie_rcl,MobileNetV3,L30_G30,4,0.3122923588039867,0.6810158580235668,50,2.8856507341066995
hounie_rh,MobileNetV3,L30_G30,1,0.4125,0.7011759330558462,12,2.901756234963735
hounie_rh,MobileNetV3,L30_G30,2,0.4086687306501548,0.6966824549970813,6,3.6244592587153117
hounie_rh,MobileNetV3,L30_G30,3,0.4246153846153846,0.7149260417199333,2,3.3006529172261554
hounie_rh,MobileNetV3,L30_G30,4,0.39628482972136225,0.7045887343211512,6,3.2357707619667053
tralo,MobileNetV3,L30_G30,1,0.422360248447205,0.7044528183466336,8,2.919843912124634
tralo,MobileNetV3,L30_G30,2,0.38509316770186336,0.6910424632705565,8,3.1872613549232485
tralo,MobileNetV3,L30_G30,3,0.4246153846153846,0.7120250950157492,2,3.2531226873397827
tralo,MobileNetV3,L30_G30,4,0.39751552795031053,0.7016662598898993,8,3.1482868274052938
fioretto_ldf,RegNetY400MF,L30_G30,1,0.3911671924290221,0.7013671676135547,18,2.3411776741345722
fioretto_ldf,RegNetY400MF,L30_G30,2,0.3887147335423197,0.6813724418677687,16,3.5539056420326234
fioretto_ldf,RegNetY400MF,L30_G30,3,0.3470031545741325,0.6732424031099098,19,3.734636628627777
fioretto_ldf,RegNetY400MF,L30_G30,4,0.36129032258064514,0.6942316831969593,33,2.86201993227005
fioretto_restart,RegNetY400MF,L30_G30,1,0.3911671924290221,0.7013671676135547,18,2.3673115491867067
fioretto_restart,RegNetY400MF,L30_G30,2,0.3887147335423197,0.6813724418677687,16,3.5860986272493998
fioretto_restart,RegNetY400MF,L30_G30,3,0.3470031545741325,0.6732424031099098,19,3.82715220451355
