epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.008991,0.0,218,0,0.540008
1,0.003481,140.58294,244,0,1.148713
2,nan,299.62056,244,0,1.757418
3,nan,458.658161,244,0,2.366124
4,nan,617.695778,244,0,2.974829
5,nan,776.733429,244,0,3.583535
6,nan,935.770988,244,0,4.19224
7,nan,1094.808609,244,0,4.800946
8,nan,1253.846222,244,0,5.409651
9,nan,1412.883873,244,0,6.018357
10,nan,1571.921387,244,0,6.627062
11,nan,1694.422729,238,0,7.215952
12,nan,1775.895721,220,0,7.769962
13,nan,1813.364456,200,0,8.276846
14,nan,1803.364563,180,0,8.727899
15,nan,1757.453629,150,0,9.118209
16,nan,1678.135635,128,0,9.445973
17,nan,1577.817657,110,0,9.711193
18,nan,1457.84407,78,0,9.915326
19,nan,1331.820099,48,0,10.061628
20,nan,1204.031273,33,0,10.155651
21,nan,1065.709045,15,0,10.203355
22,nan,951.681862,4,0,10.209398
23,nan,0.0,0,1,10.209398
24,nan,0.0,0,1,10.209398
25,nan,0.0,0,1,10.209398
26,nan,0.0,0,1,10.209398
27,nan,0.0,0,1,10.209398
