epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.002745,0.0,248,0,0.615557
1,0.002724,156.813557,238,0,1.220191
2,nan,308.590927,232,0,1.810592
3,nan,442.863739,222,0,2.376736
4,nan,559.693233,210,0,2.910325
5,nan,658.948025,194,0,3.404376
6,nan,732.456966,186,0,3.85426
7,nan,781.078789,164,0,4.257279
8,nan,808.123672,136,0,4.613094
9,nan,806.996674,122,0,4.92017
10,nan,798.549488,102,0,5.180212
11,nan,770.325623,82,0,5.391203
12,nan,721.962425,74,0,5.555044
13,nan,664.658657,48,0,5.670125
14,nan,620.52808,26,0,5.740631
15,nan,570.655308,6,0,5.768362
16,nan,11.517715,0,1,5.768362
17,nan,0.0,0,1,5.768362
18,nan,0.0,0,1,5.768362
19,nan,0.0,0,1,5.768362
20,nan,0.0,0,1,5.768362
