epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.540813,0.0,153,0,1.165881
1,0.583061,376.281113,185,0,2.413443
2,0.557073,723.609322,125,0,3.500465
3,0.539226,1082.702057,139,0,4.659403
4,0.519955,1387.75,115,0,5.743156
5,0.499613,1655.922073,115,0,6.773258
6,0.487682,1922.602829,109,0,7.762257
7,0.467438,2179.856934,115,0,8.733978
8,0.445941,2523.062622,121,0,9.731393
9,0.432183,2752.116211,133,0,10.705456
10,0.407826,2995.648743,117,0,11.656008
11,0.399211,3605.357758,165,0,12.801014
12,0.383675,3992.936615,171,0,13.95821
13,0.369069,4211.596863,171,0,15.055433
14,0.347226,4365.031494,145,0,16.052611
15,0.334735,4398.973083,129,0,16.960301
16,0.315862,5083.855896,167,0,18.032372
17,0.297692,4976.182617,145,0,18.941653
18,0.297053,4789.857056,95,0,19.667962
19,0.277359,5230.879089,123,0,20.48627
20,0.264117,6002.482788,169,0,21.491807
21,0.251372,6272.280762,157,0,22.483483
22,0.245128,6280.49585,141,0,23.350446
23,0.230886,6423.972534,133,0,24.204723
24,0.215437,7036.242554,155,0,25.180621
25,0.203388,6446.490845,113,0,25.933672
26,0.198794,7418.192444,157,0,26.876911
27,0.186204,6893.233093,123,0,27.63248
28,0.178026,7829.990234,147,0,28.569377
29,0.169296,7464.133301,139,0,29.351455
30,0.157703,8146.500488,151,0,30.258928
31,0.149263,8412.750305,171,0,31.159324
32,0.143127,8705.843323,153,0,32.081889
33,0.132507,9123.133545,171,0,33.041751
34,0.130267,9073.552795,151,0,33.899192
35,0.126493,8604.587708,111,0,34.626146
36,0.116604,10577.898926,195,0,35.711976
37,0.107647,10384.310669,183,0,36.714207
38,0.105436,9257.762634,121,0,37.43378
39,0.0973,10441.524536,171,0,38.336289
40,0.091211,10668.761597,157,0,39.230705
41,0.089102,10623.892334,155,0,40.090266
42,0.083187,11051.904175,155,0,40.979996
43,0.078956,8862.119629,83,0,41.444301
44,0.074646,11782.729004,177,0,42.414638
45,0.068565,12544.884888,193,0,43.474233
46,0.06704,11173.443604,133,0,44.23893
47,0.061246,12182.910522,151,0,45.126826
48,0.058757,11400.457397,121,0,45.874905
49,0.055695,10966.487427,109,0,46.503911
50,0.047945,12236.699585,145,0,47.328065
51,0.049988,12432.544189,143,0,48.141738
52,0.0503,12446.568848,151,0,48.94581
53,0.052644,14025.333252,179,0,49.974346
54,0.046858,11153.587646,107,0,50.519848
55,0.037705,13566.661377,141,0,51.366996
56,0.03929,12529.116821,109,0,51.998109
57,0.039126,12632.687866,127,0,52.643999
58,0.036067,13985.060059,159,0,53.478538
59,0.031441,14035.187988,145,0,54.266471
60,0.036168,16480.431641,211,0,55.389845
61,0.031831,14486.226685,151,0,56.186839
62,0.026373,14082.775635,133,0,56.89485
63,nan,14154.423828,129,0,57.582923
64,nan,14011.953125,119,0,58.228134
65,nan,13584.618286,99,0,58.810486
66,nan,13099.360596,89,0,59.313791
67,nan,12502.620605,77,0,59.729289
68,nan,11773.97644,55,0,60.045105
69,nan,10945.784119,34,0,60.257753
70,nan,9904.801941,15,0,60.362736
71,nan,2381.963013,3,0,60.362736
72,nan,0.0,0,1,60.362736
73,nan,0.0,0,1,60.362736
74,nan,0.0,0,1,60.362736
75,nan,0.0,0,1,60.362736
76,nan,0.0,0,1,60.362736
