epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.008057,0.0,214,0,0.000544,5e-06,0.0
1,0.002383,0.000234,276,0,0.001249,1.7e-05,0.0
2,nan,0.000537,274,0,0.001952,3.3e-05,0.0
3,nan,0.000837,272,0,0.002654,5.3e-05,0.0
4,nan,0.001132,270,0,0.003352,7.6e-05,0.0
5,nan,0.001423,270,0,0.004046,0.000101,0.0
6,nan,0.001706,270,0,0.004734,0.000128,1e-06
7,nan,0.001973,268,0,0.005412,0.000157,1e-06
8,nan,0.002223,264,0,0.00608,0.000186,2e-06
9,nan,0.002455,258,0,0.006734,0.000216,2e-06
10,nan,0.002664,258,0,0.007373,0.000247,3e-06
11,nan,0.002847,254,0,0.007993,0.000277,3e-06
12,nan,0.003003,238,0,0.008594,0.000308,4e-06
13,nan,0.003136,220,0,0.009173,0.000338,5e-06
14,nan,0.003242,210,0,0.009729,0.000368,6e-06
15,nan,0.003319,200,0,0.010262,0.000397,7e-06
16,nan,0.003372,194,0,0.010769,0.000425,8e-06
17,nan,0.003403,188,0,0.011252,0.000453,9e-06
18,nan,0.0034,182,0,0.011708,0.000479,1e-05
19,nan,0.003389,176,0,0.012137,0.000505,1.1e-05
20,nan,0.003343,166,0,0.012538,0.000529,1.2e-05
21,nan,0.003271,156,0,0.012911,0.000552,1.4e-05
22,nan,0.003185,138,0,0.013253,0.000574,1.5e-05
23,nan,0.003071,132,0,0.013565,0.000595,1.6e-05
24,nan,0.002946,116,0,0.013846,0.000615,1.7e-05
25,nan,0.002811,104,0,0.014096,0.000633,1.8e-05
26,nan,0.002663,92,0,0.014315,0.000649,1.8e-05
27,nan,0.002509,78,0,0.014505,0.000664,1.9e-05
28,nan,0.002359,62,0,0.014666,0.000678,2e-05
29,nan,0.002215,49,0,0.014802,0.000691,2.1e-05
30,nan,0.002083,44,0,0.014915,0.000702,2.1e-05
31,nan,0.001962,37,0,0.015007,0.000711,2.2e-05
32,nan,0.001855,35,0,0.015082,0.00072,2.2e-05
33,nan,0.001763,31,0,0.015141,0.000727,2.2e-05
34,nan,0.001676,27,0,0.015186,0.000734,2.3e-05
35,nan,0.001593,19,0,0.015218,0.000739,2.3e-05
36,nan,0.001519,11,0,0.015237,0.000744,2.3e-05
37,nan,0.001445,9,0,0.015245,0.000747,2.3e-05
38,nan,0.001372,4,0,0.015242,0.00075,2.3e-05
39,nan,0.001303,4,0,0.015228,0.000753,2.4e-05
40,nan,0.001234,0,1,0.015204,0.000754,2.4e-05
41,nan,0.001165,0,1,0.015171,0.000755,2.4e-05
42,nan,0.001098,0,1,0.015127,0.000755,2.3e-05
43,nan,0.001033,0,1,0.015075,0.000755,2.3e-05
44,nan,0.000971,0,1,0.015013,0.000754,2.3e-05
