epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.001686,0.0,246,0,0.000613,6e-06,0.0
1,0.001244,0.000237,222,0,0.001173,1.7e-05,0.0
2,nan,0.000459,222,0,0.001731,3.1e-05,0.0
3,nan,0.000676,220,0,0.002287,4.7e-05,0.0
4,nan,0.00089,218,0,0.00284,6.6e-05,0.0
5,nan,0.001103,218,0,0.003389,8.7e-05,0.0
6,nan,0.001319,214,0,0.003934,0.000109,1e-06
7,nan,0.001518,208,0,0.004473,0.000132,1e-06
8,nan,0.001707,208,0,0.005006,0.000156,1e-06
9,nan,0.001901,204,0,0.005531,0.00018,1e-06
10,nan,0.002066,204,0,0.006047,0.000204,2e-06
11,nan,0.002242,202,0,0.006553,0.000229,2e-06
12,nan,0.002395,194,0,0.007047,0.000254,3e-06
13,nan,0.002547,188,0,0.007531,0.000278,3e-06
14,nan,0.002666,184,0,0.008002,0.000303,4e-06
15,nan,0.002789,180,0,0.008458,0.000327,5e-06
16,nan,0.002883,178,0,0.008902,0.00035,5e-06
17,nan,0.002988,172,0,0.009331,0.000374,6e-06
18,nan,0.00308,168,0,0.009745,0.000396,7e-06
19,nan,0.003135,162,0,0.010144,0.000418,7e-06
20,nan,0.003213,160,0,0.010528,0.00044,8e-06
21,nan,0.003254,152,0,0.010896,0.000461,9e-06
22,nan,0.003288,148,0,0.011247,0.000481,1e-05
23,nan,0.003297,144,0,0.011582,0.000501,1.1e-05
24,nan,0.003302,130,0,0.0119,0.00052,1.1e-05
25,nan,0.003319,118,0,0.0122,0.000538,1.2e-05
26,nan,0.003328,110,0,0.012482,0.000555,1.3e-05
27,nan,0.003316,104,0,0.012744,0.000571,1.4e-05
28,nan,0.003286,98,0,0.01299,0.000587,1.4e-05
29,nan,0.00325,92,0,0.013217,0.000602,1.5e-05
30,nan,0.003232,78,0,0.013427,0.000616,1.6e-05
31,nan,0.003182,76,0,0.013621,0.000629,1.7e-05
32,nan,0.003135,74,0,0.013799,0.000641,1.7e-05
33,nan,0.00305,72,0,0.013962,0.000652,1.8e-05
34,nan,0.003021,60,0,0.014109,0.000663,1.8e-05
35,nan,0.002941,56,0,0.014242,0.000673,1.9e-05
36,nan,0.002901,48,0,0.01436,0.000682,1.9e-05
37,nan,0.002833,42,0,0.014466,0.00069,2e-05
38,nan,0.002768,40,0,0.014559,0.000698,2e-05
39,nan,0.002702,38,0,0.01464,0.000705,2.1e-05
40,nan,0.002625,34,0,0.014708,0.000711,2.1e-05
41,nan,0.002534,28,0,0.014763,0.000716,2.1e-05
42,nan,0.002471,26,0,0.014807,0.000721,2.1e-05
43,nan,0.0024,20,0,0.014837,0.000725,2.2e-05
44,nan,0.002328,18,0,0.014854,0.000729,2.2e-05
45,nan,0.002265,10,0,0.014858,0.000732,2.2e-05
46,nan,0.002193,9,0,0.01485,0.000734,2.2e-05
47,nan,0.002124,3,0,0.014829,0.000735,2.2e-05
48,nan,0.002054,0,1,0.014794,0.000736,2.2e-05
49,nan,0.001975,0,1,0.014747,0.000736,2.2e-05
50,nan,0.001919,0,1,0.014688,0.000736,2.2e-05
51,nan,0.001855,0,1,0.014619,0.000735,2.2e-05
52,nan,0.001783,0,1,0.014539,0.000733,2.2e-05
