Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9994,0.002941,0.264738,0.783490,0.000000,0.05,0.00,0,0,inf,68,68.01,inf,97,99.47,inf,208,205.41,inf,24,23.64,45,182,185.85,inf,1398,1394.26,inf,26,26.36,82,84.47,20,74,73.93,17,26,27.45,8
55,1.0000,0.000000,0.348294,1.006555,0.000000,0.06,0.00,0,0,inf,82,79.78,inf,107,105.73,inf,205,205.31,inf,19,19.31,45,153,150.62,inf,1412,1416.38,inf,25,25.87,71,69.16,20,62,60.75,17,20,20.71,8
60,1.0000,0.000000,0.235566,0.607991,0.000000,0.07,0.00,0,0,inf,78,77.74,inf,101,102.67,inf,226,222.81,inf,18,19.03,45,82,80.61,inf,1473,1473.67,inf,25,26.47,39,37.33,20,32,32.59,17,11,10.68,8
63,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,71,72.49,inf,99,98.84,inf,235,230.43,inf,19,19.17,45,35,36.39,inf,1519,1519.49,inf,25,26.20,16,16.73,20,15,15.28,17,4,4.38,8
64,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,70,71.00,inf,98,97.54,inf,232,230.73,inf,20,18.96,45,27,28.85,inf,1531,1529.86,inf,25,26.06,12,12.69,20,12,12.58,17,3,3.59,8
65,1.0000,0.000000,0.000000,0.001664,0.000000,0.07,0.00,1,1,inf,72,72.98,inf,99,99.50,inf,234,230.69,inf,19,18.98,45,41,42.38,inf,1513,1512.08,inf,25,26.38,20,19.97,20,17,17.33,17,4,5.08,8
70,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,69,70.51,inf,97,97.96,inf,246,244.74,inf,20,19.37,45,36,36.14,inf,1510,1507.79,inf,25,26.49,16,17.07,20,14,13.36,17,6,5.71,8
71,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,68,69.57,inf,96,97.71,inf,253,247.80,inf,20,19.13,45,36,34.90,inf,1505,1507.42,inf,25,26.47,16,16.03,20,13,13.03,17,7,5.83,8
72,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,69,69.14,inf,98,97.84,inf,255,251.08,inf,18,18.93,45,38,35.93,inf,1499,1503.57,inf,26,26.51,16,16.34,20,15,13.33,17,7,6.27,8
73,1.0000,0.000000,0.000000,0.000000,0.000000,0.07,0.00,1,1,inf,69,69.14,inf,99,98.23,inf,257,254.37,inf,17,18.76,45,39,38.45,inf,1496,1497.45,inf,26,26.59,17,17.54,20,15,14.06,17,7,6.86,8
