Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
51,0.9990,0.002745,0.225253,0.667793,0.000000,0.05,0.00,0,0,inf,72,71.57,inf,110,109.57,inf,207,202.23,inf,18,19.44,67,191,190.11,inf,1377,1382.18,inf,28,27.89,88,87.63,29,70,70.30,26,33,32.17,12
55,1.0000,0.000000,0.284067,0.825185,0.000000,0.06,0.00,0,0,inf,69,69.83,inf,110,111.88,inf,220,215.32,inf,19,20.24,67,165,166.11,inf,1392,1391.52,inf,28,28.11,77,76.95,29,62,62.70,26,26,26.46,12
60,1.0000,0.000000,0.251809,0.740415,0.000000,0.07,0.00,0,0,inf,68,68.68,inf,113,111.66,inf,222,217.69,inf,20,23.17,67,120,123.27,inf,1429,1429.79,inf,31,28.74,51,53.60,29,47,48.52,26,22,21.14,12
65,1.0000,0.000000,0.029163,0.101169,0.000000,0.08,0.00,0,0,inf,63,65.50,inf,107,106.67,inf,213,212.10,inf,27,27.88,67,76,77.73,inf,1486,1483.56,inf,31,29.56,34,33.30,29,28,29.68,26,14,14.74,12
67,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,61,63.87,inf,104,103.41,inf,207,206.67,inf,31,30.27,67,63,61.73,inf,1506,1507.25,inf,31,29.79,27,27.40,29,24,22.43,26,12,11.89,12
68,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,61,63.02,inf,103,102.01,inf,205,204.66,inf,31,30.99,67,57,56.43,inf,1514,1516.08,inf,32,29.81,25,25.54,29,21,19.93,26,11,10.96,12
69,1.0000,0.000000,0.000000,0.002053,0.000000,0.08,0.00,1,1,inf,61,64.10,inf,104,103.68,inf,208,207.31,inf,31,30.30,67,65,63.92,inf,1503,1503.82,inf,31,29.88,29,28.19,29,24,23.48,26,12,12.26,12
70,1.0000,0.000000,0.003516,0.013668,0.000000,0.08,0.00,0,0,inf,62,65.04,inf,105,104.75,inf,209,209.91,inf,31,29.65,67,68,69.21,inf,1497,1494.58,inf,31,29.86,29,30.32,29,27,26.12,26,12,12.77,12
71,1.0000,0.000000,0.002972,0.009549,0.000000,0.08,0.00,1,1,inf,62,65.18,inf,105,104.93,inf,212,211.39,inf,31,29.47,67,67,68.93,inf,1495,1493.22,inf,31,29.89,29,30.23,29,26,26.25,26,12,12.45,12
72,1.0000,0.000000,0.000000,0.000678,0.000000,0.08,0.00,1,1,inf,62,64.89,inf,104,104.67,inf,211,212.10,inf,31,29.55,67,67,66.36,inf,1497,1495.52,inf,31,29.90,29,29.23,29,26,25.30,26,12,11.84,12
73,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,61,64.72,inf,104,104.50,inf,212,213.23,inf,31,29.62,67,67,64.81,inf,1497,1496.21,inf,31,29.91,29,28.46,29,26,24.86,26,12,11.49,12
74,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,61,64.84,inf,104,104.86,inf,216,214.63,inf,31,29.49,67,67,65.43,inf,1493,1493.83,inf,31,29.92,29,28.55,29,26,25.38,26,12,11.49,12
