Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4,Group2_Hard_Class4,Group2_Soft_Class4,Group2_Limit_Class4
2,0.8220,0.540813,0.155518,0.483727,0.000000,0.05,0.00,0,0,inf,9,50.43,inf,88,87.64,inf,190,210.47,inf,0,25.16,112,188,228.59,inf,1528,1370.88,inf,0,29.84,85,104.13,49,66,76.83,42,37,47.63,20
5,0.8110,0.538957,0.254811,0.777995,0.000000,0.06,0.00,0,0,inf,21,58.34,inf,118,104.41,inf,221,232.45,inf,0,23.46,112,180,227.41,inf,1462,1329.14,inf,1,27.79,80,107.13,49,66,76.38,42,34,43.90,20
10,0.8452,0.445844,0.397973,1.220654,0.000000,0.07,0.00,0,0,inf,30,58.95,inf,119,104.03,inf,228,235.49,inf,0,19.21,112,173,211.52,inf,1448,1349.86,inf,5,23.93,80,99.36,49,59,72.08,42,34,40.08,20
15,0.8726,0.368575,0.686296,2.091101,0.000000,0.08,0.00,0,0,inf,43,64.86,inf,119,109.18,inf,219,228.18,inf,0,19.32,112,194,222.20,inf,1417,1332.35,inf,11,26.91,87,103.71,49,71,77.12,42,36,41.37,20
20,0.9020,0.297078,0.611208,1.917963,0.000000,0.09,0.00,0,0,inf,44,63.50,inf,117,107.60,inf,213,225.53,inf,0,17.73,112,163,185.95,inf,1451,1376.16,inf,15,26.52,72,85.60,49,58,65.34,42,33,35.00,20
25,0.9242,0.230676,1.000272,3.085023,0.000000,0.10,0.00,0,0,inf,43,58.18,inf,125,109.06,inf,215,229.02,inf,0,15.83,112,183,198.18,inf,1419,1366.88,inf,18,25.85,80,91.11,49,69,70.45,42,34,36.62,20
30,0.9465,0.178378,1.439377,4.368056,0.000000,0.11,0.00,0,0,inf,46,60.14,inf,108,100.52,inf,227,235.89,inf,1,15.39,112,192,206.38,inf,1412,1359.02,inf,17,25.67,85,95.24,49,71,74.10,42,36,37.04,20
35,0.9662,0.132443,1.882455,5.705828,0.000000,0.12,0.00,0,0,inf,60,69.84,inf,109,104.01,inf,232,237.79,inf,2,15.45,112,196,209.99,inf,1383,1340.07,inf,21,25.84,84,96.36,49,79,76.12,42,33,37.51,20
40,0.9728,0.105062,1.693852,5.017323,0.000000,0.13,0.00,0,0,inf,56,60.92,inf,118,114.13,inf,231,234.58,inf,4,15.53,112,174,188.34,inf,1396,1360.88,inf,24,28.60,78,87.30,49,68,68.89,42,28,32.15,20
45,0.9833,0.078946,1.106038,3.297838,0.000000,0.14,0.00,0,0,inf,58,61.84,inf,116,109.80,inf,217,224.67,inf,6,16.85,112,155,162.79,inf,1424,1397.64,inf,27,29.40,70,74.63,49,61,60.27,42,24,27.89,20
50,0.9894,0.058503,2.343006,6.841608,0.000000,0.15,0.00,0,0,inf,60,65.25,inf,110,106.11,inf,240,239.16,inf,6,15.06,112,175,186.94,inf,1385,1360.82,inf,27,29.66,79,86.77,49,68,69.01,42,28,31.16,20
55,0.9905,0.052623,4.032323,12.062742,0.000000,0.16,0.00,0,0,inf,51,55.69,inf,112,108.88,inf,215,220.15,inf,7,14.98,112,200,215.03,inf,1395,1362.07,inf,23,26.20,90,98.38,49,77,79.50,42,33,37.15,20
60,0.9939,0.035990,3.467279,10.001899,0.000000,0.17,0.00,0,0,inf,64,66.76,inf,116,113.99,inf,220,229.35,inf,8,14.89,112,186,192.49,inf,1386,1360.20,inf,23,25.31,87,88.94,49,70,72.29,42,29,31.26,20
65,1.0000,0.000000,3.232470,9.531230,0.000000,0.18,0.00,0,0,inf,54,57.05,inf,100,94.84,inf,230,229.65,inf,9,15.02,112,174,181.38,inf,1414,1400.84,inf,22,24.22,82,83.05,49,66,67.75,42,26,30.58,20
70,1.0000,0.000000,1.080019,3.082224,0.000000,0.19,0.00,0,0,inf,51,56.32,inf,97,94.66,inf,235,233.83,inf,9,14.81,112,140,145.06,inf,1449,1433.92,inf,22,24.39,66,67.01,49,53,55.11,42,21,22.94,20
74,1.0000,0.000000,0.000000,0.000867,0.000000,0.19,0.00,1,1,inf,51,54.09,inf,97,92.75,inf,235,234.90,inf,7,14.50,112,96,102.18,inf,1494,1480.06,inf,23,24.53,48,49.17,49,37,38.45,42,11,14.55,20
75,1.0000,0.000000,0.000000,0.000000,0.000000,0.19,0.00,1,1,inf,49,53.29,inf,97,92.02,inf,233,233.07,inf,6,14.40,112,87,93.76,inf,1508,1491.95,inf,23,24.51,45,45.51,49,32,35.15,42,10,13.11,20
79,1.0000,0.000000,0.000000,0.000000,0.000000,0.19,0.00,1,1,inf,48,53.63,inf,96,92.13,inf,207,206.67,inf,6,14.68,112,94,94.53,inf,1530,1517.44,inf,22,23.93,43,44.03,49,34,34.75,42,17,15.75,20
80,1.0000,0.000000,0.000000,0.000000,0.000000,0.19,0.00,1,1,inf,47,52.79,inf,93,91.32,inf,194,198.38,inf,7,14.63,112,90,89.29,inf,1550,1532.95,inf,22,23.65,42,41.21,49,31,32.56,42,17,15.52,20
81,1.0000,0.000000,0.000000,0.000000,0.000000,0.19,0.00,1,1,inf,48,52.93,inf,93,91.30,inf,188,192.04,inf,7,14.75,112,91,91.29,inf,1554,1537.28,inf,22,23.40,42,41.45,49,32,33.12,42,17,16.72,20
82,1.0000,0.000000,0.000000,0.000000,0.000000,0.19,0.00,1,1,inf,48,53.78,inf,95,91.88,inf,184,187.36,inf,7,15.00,112,95,98.06,inf,1552,1533.69,inf,22,23.22,43,43.65,49,35,35.61,42,17,18.80,20
85,1.0000,0.000000,0.007203,0.133340,0.000000,0.19,0.00,1,1,inf,53,57.22,inf,98,95.00,inf,186,188.70,inf,9,15.88,112,109,113.89,inf,1526,1509.13,inf,22,23.18,49,49.87,49,40,42.24,42,20,21.78,20
86,1.0000,0.000000,0.000000,0.008042,0.000000,0.19,0.00,1,1,inf,53,58.05,inf,100,95.98,inf,191,192.15,inf,9,16.02,112,103,110.05,inf,1525,1507.48,inf,22,23.27,47,48.55,49,39,41.14,42,17,20.37,20
87,1.0000,0.000000,0.000000,0.000000,0.000000,0.19,0.00,1,1,inf,55,59.07,inf,100,97.09,inf,199,198.08,inf,9,16.17,112,100,104.97,inf,1518,1504.18,inf,22,23.44,45,46.82,49,38,39.58,42,17,18.56,20
88,1.0000,0.000000,0.000000,0.000000,0.000000,0.19,0.00,1,1,inf,56,60.24,inf,100,98.30,inf,207,204.07,inf,8,16.35,112,101,104.39,inf,1509,1496.04,inf,22,23.60,46,46.91,49,38,39.71,42,17,17.77,20
