epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lambda_g
0,0.012984,0.0,60,0,0.181911
1,0.00671,37.934838,60,0,0.359335
2,nan,74.160064,58,0,0.531166
3,nan,107.069178,54,0,0.692408
4,nan,134.942679,50,0,0.839522
5,nan,158.327989,40,0,0.969864
6,nan,175.008131,36,0,1.082445
7,nan,187.476491,26,0,1.17517
8,nan,193.62625,20,0,1.247409
9,nan,188.591942,17,0,1.299505
10,nan,170.699015,12,0,1.331721
11,nan,163.681541,2,0,1.34467
12,nan,45.716553,1,0,1.34467
13,nan,43.567361,1,0,1.34467
14,nan,0.0,0,1,1.34467
15,nan,0.0,0,1,1.34467
16,nan,0.0,0,1,1.34467
17,nan,0.0,0,1,1.34467
18,nan,0.0,0,1,1.34467
