epoch,ce_loss,constraint_loss,total_excess,all_satisfied,max_lam_g,max_u_g,h_u
0,0.006677,0.0,266,0,0.000574,6e-06,0.0
1,0.002617,9.6e-05,292,0,0.001193,1.7e-05,0.0
2,nan,0.0002,292,0,0.001812,3.1e-05,0.0
3,nan,0.000303,292,0,0.00243,4.9e-05,0.0
4,nan,0.000407,292,0,0.003046,7e-05,0.0
5,nan,0.00051,288,0,0.003661,9.3e-05,0.0
6,nan,0.000607,290,0,0.004273,0.000117,0.0
7,nan,0.00071,286,0,0.004881,0.000142,1e-06
8,nan,0.000806,286,0,0.005486,0.000169,1e-06
9,nan,0.000905,284,0,0.006085,0.000196,1e-06
10,nan,0.000987,282,0,0.006679,0.000223,1e-06
11,nan,0.001083,280,0,0.007266,0.000251,2e-06
12,nan,0.001163,278,0,0.007846,0.00028,2e-06
13,nan,0.001236,276,0,0.008418,0.000308,3e-06
14,nan,0.001315,266,0,0.008981,0.000336,3e-06
15,nan,0.001383,260,0,0.009533,0.000364,4e-06
16,nan,0.001438,250,0,0.010073,0.000392,5e-06
17,nan,0.001498,240,0,0.010602,0.00042,5e-06
18,nan,0.00154,238,0,0.011118,0.000447,6e-06
19,nan,0.001588,236,0,0.01162,0.000474,7e-06
20,nan,0.001615,232,0,0.012108,0.0005,8e-06
21,nan,0.001635,226,0,0.012581,0.000526,8e-06
22,nan,0.001678,224,0,0.013038,0.000551,9e-06
23,nan,0.001676,210,0,0.01348,0.000576,1e-05
24,nan,0.001688,206,0,0.013904,0.0006,1.1e-05
25,nan,0.001698,196,0,0.014313,0.000623,1.2e-05
26,nan,0.001703,188,0,0.014703,0.000645,1.2e-05
27,nan,0.001679,184,0,0.015077,0.000667,1.3e-05
28,nan,0.001676,176,0,0.015433,0.000688,1.4e-05
29,nan,0.001657,166,0,0.015773,0.000708,1.5e-05
30,nan,0.001635,158,0,0.016096,0.000727,1.6e-05
31,nan,0.001634,146,0,0.016402,0.000746,1.7e-05
32,nan,0.001603,140,0,0.016689,0.000764,1.7e-05
33,nan,0.001575,136,0,0.01696,0.000781,1.8e-05
34,nan,0.001545,126,0,0.017214,0.000797,1.9e-05
35,nan,0.00152,114,0,0.017451,0.000812,2e-05
36,nan,0.001459,104,0,0.017673,0.000826,2e-05
37,nan,0.001449,102,0,0.017878,0.00084,2.1e-05
38,nan,0.001403,96,0,0.018069,0.000852,2.2e-05
39,nan,0.001358,88,0,0.018245,0.000864,2.2e-05
40,nan,0.001322,80,0,0.018405,0.000876,2.3e-05
41,nan,0.001264,68,0,0.018549,0.000886,2.4e-05
42,nan,0.001227,62,0,0.018679,0.000896,2.4e-05
43,nan,0.001171,60,0,0.018794,0.000904,2.5e-05
44,nan,0.001159,50,0,0.018896,0.000912,2.5e-05
45,nan,0.001107,44,0,0.018985,0.00092,2.5e-05
46,nan,0.001046,42,0,0.019061,0.000926,2.6e-05
47,nan,0.001019,36,0,0.019124,0.000932,2.6e-05
48,nan,0.000958,28,0,0.019175,0.000938,2.6e-05
49,nan,0.000928,22,0,0.019215,0.000942,2.7e-05
50,nan,0.000899,20,0,0.019244,0.000946,2.7e-05
51,nan,0.000863,18,0,0.019263,0.00095,2.7e-05
52,nan,0.000836,12,0,0.019272,0.000952,2.7e-05
53,nan,0.00081,8,0,0.019272,0.000955,2.7e-05
54,nan,0.000779,5,0,0.019263,0.000956,2.7e-05
55,nan,0.000759,3,0,0.019246,0.000958,2.8e-05
56,nan,0.000734,3,0,0.019221,0.000958,2.8e-05
57,nan,0.000715,3,0,0.019188,0.000958,2.8e-05
58,nan,0.00068,0,1,0.019148,0.000958,2.8e-05
59,nan,0.000622,0,1,0.019102,0.000958,2.8e-05
60,nan,0.000595,0,1,0.01905,0.000957,2.7e-05
61,nan,0.000573,0,1,0.018992,0.000955,2.7e-05
62,nan,0.00055,0,1,0.018928,0.000953,2.7e-05
