Epoch,Train_Acc,L_CE,L_Global,L_Local,L_KL,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class0,Hard_Class0,Soft_Class0,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5,Limit_Class6,Hard_Class6,Soft_Class6,Limit_Class7,Hard_Class7,Soft_Class7,Group0_Hard_Class4,Group0_Soft_Class4,Group0_Limit_Class4,Group1_Hard_Class4,Group1_Soft_Class4,Group1_Limit_Class4
51,0.9975,0.006677,0.256327,0.512209,0.000000,0.05,0.00,0,0,inf,980,958.55,inf,27,34.46,inf,144,143.71,inf,158,160.86,51,184,188.69,inf,155,153.79,inf,552,544.45,inf,200,215.48,97,96.89,25,87,91.80,26
55,1.0000,0.000000,0.353506,0.707003,0.000000,0.06,0.00,0,0,inf,952,946.78,inf,24,30.56,inf,114,110.49,inf,176,180.08,51,170,176.89,inf,133,136.48,inf,670,649.21,inf,161,169.50,86,87.90,25,84,88.99,26
60,1.0000,0.000000,0.399180,0.798394,0.000000,0.07,0.00,0,0,inf,940,932.48,inf,27,32.19,inf,111,110.95,inf,199,198.99,51,120,124.13,inf,148,151.30,inf,700,681.62,inf,155,168.35,57,61.00,25,63,63.13,26
65,1.0000,0.000000,0.090534,0.182426,0.000000,0.08,0.00,0,0,inf,922,911.71,inf,30,34.39,inf,100,104.74,inf,224,222.06,51,69,67.70,inf,167,168.64,inf,731,725.19,inf,157,165.56,33,31.67,25,36,36.03,26
68,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,906,893.60,inf,30,35.78,inf,95,97.42,inf,240,235.60,51,39,41.17,inf,179,179.17,inf,762,756.24,inf,149,161.02,14,18.08,25,25,23.09,26
69,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,896,887.65,inf,30,36.00,inf,92,94.59,inf,245,239.32,51,33,35.63,inf,184,181.10,inf,770,766.88,inf,150,158.83,13,15.36,25,20,20.27,26
70,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,0,inf,917,904.45,inf,30,36.07,inf,100,101.54,inf,235,230.79,51,47,47.22,inf,173,176.50,inf,741,737.00,inf,157,166.43,19,21.33,25,28,25.88,26
75,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,956,942.46,inf,32,36.75,inf,106,106.72,inf,230,226.47,51,45,45.90,inf,175,176.51,inf,700,697.73,inf,156,167.45,20,20.98,25,25,24.92,26
76,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,960,946.15,inf,33,36.82,inf,106,104.96,inf,231,228.64,51,41,42.12,inf,176,177.37,inf,697,698.90,inf,156,165.04,16,19.01,25,25,23.11,26
77,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,966,951.71,inf,33,36.70,inf,104,104.15,inf,233,229.70,51,40,40.54,inf,178,177.63,inf,692,696.18,inf,154,163.38,15,18.22,25,25,22.32,26
78,1.0000,0.000000,0.000000,0.000000,0.000000,0.08,0.00,1,1,inf,970,958.12,inf,33,36.59,inf,104,103.99,inf,234,229.82,51,40,40.37,inf,180,177.40,inf,685,690.87,inf,154,162.85,15,18.16,25,25,22.21,26
