campaign,root,dataset,model,method,cap,seed,warmup,status,cc_f1,cc_prec,cc_rec,f1_macro,acc,ece,sat,flips,constrained_class,group_column,sweep_tag,config_path
aider_asym,results/pending_runs,aider,MobileNetV3,danits_lp,L20_G80,1,50,completed,0.3279,1.0,0.1961,0.7961,0.9218,0.0134,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/danits_lp/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,danits_lp,L20_G80,2,50,completed,0.3279,1.0,0.1961,0.7967,0.9244,0.0123,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/danits_lp/seed_2/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,danits_lp,L20_G80,3,50,completed,0.3279,1.0,0.1961,0.8036,0.9235,0.0101,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/danits_lp/seed_3/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,danits_lp,L20_G80,4,50,completed,0.3279,1.0,0.1961,0.813,0.9269,0.0106,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/danits_lp/seed_4/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,fioretto_ldf,L20_G80,1,50,completed,0.3279,1.0,0.1961,0.7789,0.9067,0.0913,,7,0,synth_group,,results/pending_runs/aider_asym/L20_G80/fioretto_ldf/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,fioretto_ldf,L20_G80,2,50,completed,0.3279,1.0,0.1961,0.7834,0.9092,0.0883,,8,0,synth_group,,results/pending_runs/aider_asym/L20_G80/fioretto_ldf/seed_2/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,fioretto_ldf,L20_G80,3,50,completed,0.3279,1.0,0.1961,0.7982,0.9185,0.0748,,4,0,synth_group,,results/pending_runs/aider_asym/L20_G80/fioretto_ldf/seed_3/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,fioretto_ldf,L20_G80,4,50,completed,0.3279,1.0,0.1961,0.8034,0.921,0.0762,,7,0,synth_group,,results/pending_runs/aider_asym/L20_G80/fioretto_ldf/seed_4/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,heuristic,L20_G80,1,50,completed,0.3279,1.0,0.1961,0.7961,0.9218,0.0134,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/heuristic/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,heuristic,L20_G80,2,50,completed,0.3279,1.0,0.1961,0.7977,0.9244,0.0123,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/heuristic/seed_2/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,heuristic,L20_G80,3,50,completed,0.3279,1.0,0.1961,0.8007,0.9235,0.0101,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/heuristic/seed_3/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,heuristic,L20_G80,4,50,completed,0.3279,1.0,0.1961,0.813,0.9269,0.0106,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/heuristic/seed_4/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,hounie_rcl,L20_G80,1,50,completed,0.3279,1.0,0.1961,0.7743,0.9042,0.1021,,15,0,synth_group,,results/pending_runs/aider_asym/L20_G80/hounie_rcl/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,hounie_rcl,L20_G80,2,50,completed,0.2787,0.85,0.1667,0.7533,0.8958,0.1084,,17,0,synth_group,,results/pending_runs/aider_asym/L20_G80/hounie_rcl/seed_2/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,hounie_rcl,L20_G80,3,50,completed,0.3115,0.95,0.1863,0.7931,0.9151,0.094,,18,0,synth_group,,results/pending_runs/aider_asym/L20_G80/hounie_rcl/seed_3/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,hounie_rcl,L20_G80,4,50,completed,0.2623,0.8,0.1569,0.7704,0.9059,0.095,,16,0,synth_group,,results/pending_runs/aider_asym/L20_G80/hounie_rcl/seed_4/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,tralo,L20_G80,1,50,completed,0.3279,1.0,0.1961,0.7789,0.9067,0.0898,,6,0,synth_group,,results/pending_runs/aider_asym/L20_G80/tralo/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,tralo,L20_G80,2,50,completed,0.3279,1.0,0.1961,0.7864,0.9109,0.0822,,2,0,synth_group,,results/pending_runs/aider_asym/L20_G80/tralo/seed_2/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,tralo,L20_G80,3,50,completed,0.3279,1.0,0.1961,0.801,0.9202,0.0703,,1,0,synth_group,,results/pending_runs/aider_asym/L20_G80/tralo/seed_3/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,tralo,L20_G80,4,50,completed,0.3279,1.0,0.1961,0.8065,0.9235,0.0731,,0,0,synth_group,,results/pending_runs/aider_asym/L20_G80/tralo/seed_4/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,tralo_bounded,L20_G80,1,50,completed,0.3279,1.0,0.1961,0.7789,0.9067,0.0941,,9,0,synth_group,,results/pending_runs/aider_asym/L20_G80/tralo_bounded/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,tralo_bounded,L20_G80,2,50,completed,0.3279,1.0,0.1961,0.7878,0.9118,0.0833,,4,0,synth_group,,results/pending_runs/aider_asym/L20_G80/tralo_bounded/seed_2/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,tralo_bounded,L20_G80,3,50,completed,0.3279,1.0,0.1961,0.7982,0.9185,0.078,,7,0,synth_group,,results/pending_runs/aider_asym/L20_G80/tralo_bounded/seed_3/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,tralo_bounded,L20_G80,4,50,completed,0.3279,1.0,0.1961,0.8034,0.921,0.0785,,8,0,synth_group,,results/pending_runs/aider_asym/L20_G80/tralo_bounded/seed_4/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,danits_lp,L30_G70,1,50,completed,0.4662,1.0,0.3039,0.8331,0.9311,0.0134,,0,0,synth_group,,results/pending_runs/aider_asym/L30_G70/danits_lp/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,danits_lp,L30_G70,2,50,completed,0.4662,1.0,0.3039,0.8347,0.9336,0.0123,,0,0,synth_group,,results/pending_runs/aider_asym/L30_G70/danits_lp/seed_2/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,danits_lp,L30_G70,3,50,completed,0.4662,1.0,0.3039,0.8396,0.9328,0.0101,,0,0,synth_group,,results/pending_runs/aider_asym/L30_G70/danits_lp/seed_3/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,danits_lp,L30_G70,4,50,completed,0.4662,1.0,0.3039,0.8491,0.9361,0.0106,,0,0,synth_group,,results/pending_runs/aider_asym/L30_G70/danits_lp/seed_4/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,fioretto_ldf,L30_G70,1,50,completed,0.4662,1.0,0.3039,0.8182,0.9185,0.0832,,14,0,synth_group,,results/pending_runs/aider_asym/L30_G70/fioretto_ldf/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,fioretto_ldf,L30_G70,2,50,completed,0.4662,1.0,0.3039,0.8242,0.9218,0.0751,,7,0,synth_group,,results/pending_runs/aider_asym/L30_G70/fioretto_ldf/seed_2/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,fioretto_ldf,L30_G70,3,50,completed,0.4662,1.0,0.3039,0.8355,0.9286,0.0631,,3,0,synth_group,,results/pending_runs/aider_asym/L30_G70/fioretto_ldf/seed_3/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,fioretto_ldf,L30_G70,4,50,completed,0.4662,1.0,0.3039,0.8408,0.9311,0.0696,,9,0,synth_group,,results/pending_runs/aider_asym/L30_G70/fioretto_ldf/seed_4/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,heuristic,L30_G70,1,50,completed,0.4662,1.0,0.3039,0.8321,0.9311,0.0134,,0,0,synth_group,,results/pending_runs/aider_asym/L30_G70/heuristic/seed_1/config.json
aider_asym,results/pending_runs,aider,MobileNetV3,heuristic,L30_G70,2,50,completed,0.4662,1.0,0.3039,0.8337,0.9336,0.0123,,0,0,synth_group,,results/pending_runs/aider_asym/L30_G70/heuristic/seed_2/config.json
