path,dataset,cap,model,seed,method,warmup,cepochs,K,cls,count_raw,count_adj,AP,sat_epoch,best_sat_epoch,min_excess_epoch,restored_from_epoch,restore_kind,flips,raw_total_excess,last_epoch,n_constraint_epochs,n_satisfied,n_active,frac_active,n_transitions,first_sat_epoch,peak_lambda,peak_lambda_g,osc_range_K,osc_std_K,osc_step_K,undershoot_mean,undershoot_max,n_logged_below_K,excess_mean_logged,excess_max_logged,final_ce,final_train_acc,n_log_rows,AP_ce,dAP,unspent_final,eval_epoch
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,L30_G30,MobileNetV3,1,fioretto_ldf,1,29,67,4,39,67,0.557781578181268,22.0,26.0,22.0,,nan,28.0,0.0,26,26,5,21,0.8076923076923077,1,21.0,10.463698,10.463698,7.134328358208955,1.8953121047792798,0.977910447761194,,,5,2.284156142365098,7.134328358208955,0.009897,,26,0.6994360828307511,-0.14165450464948315,0.417910447761194,26.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,L30_G30,MobileNetV3,2,fioretto_ldf,1,29,67,4,23,67,0.5539393406932882,19.0,23.0,19.0,,nan,44.0,0.0,23,23,5,18,0.782608695652174,1,18.0,8.564764,8.564764,4.835820895522388,1.501114928435465,0.8154681139755766,,,5,2.069435431537962,4.835820895522388,0.010974,,23,0.6850627078056499,-0.13112336711236172,0.6567164179104478,23.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,L30_G30,MobileNetV3,3,fioretto_ldf,1,29,67,4,34,67,0.5516436037750767,18.0,22.0,18.0,,nan,33.0,0.0,22,22,5,17,0.7727272727272727,1,17.0,10.408058,10.408058,7.164179104477612,2.0852381278883163,0.9566453447050463,,,5,2.6953867028493894,7.164179104477612,0.015919,,22,0.7056520413443165,-0.15400843756923976,0.4925373134328358,22.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,L30_G30,MobileNetV3,4,fioretto_ldf,1,29,67,4,57,67,0.5923911134100882,19.0,23.0,19.0,,nan,10.0,0.0,23,23,5,18,0.782608695652174,1,18.0,9.962893,9.962893,5.641791044776119,1.7189204133655773,0.943012211668928,,,5,2.3750811161583387,5.641791044776119,0.013646,,23,0.679767880298651,-0.08737676688856277,0.14925373134328357,23.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,L30_G30,MobileNetV3,1,hounie_rcl,1,29,67,4,16,67,0.5068057641748468,24.0,28.0,24.0,,nan,51.0,0.0,28,28,5,23,0.8214285714285714,1,23.0,0.009394,0.009394,4.686567164179104,1.514677678269138,0.6312880044223328,,,5,1.8971215351812367,4.686567164179104,0.02704,,28,0.6994360828307511,-0.1926303186559043,0.7611940298507462,28.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,L30_G30,MobileNetV3,2,hounie_rcl,1,29,67,4,28,67,0.43485538652617683,25.0,29.0,25.0,,nan,39.0,0.0,29,29,5,24,0.8275862068965517,1,24.0,0.011174,0.011174,7.074626865671642,1.7086625448229116,0.964818763326226,,,5,2.187853834276891,7.074626865671642,0.009493,,29,0.6850627078056499,-0.2502073212794731,0.582089552238806,29.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,L30_G30,MobileNetV3,3,hounie_rcl,1,29,67,4,18,67,0.5486722039019932,18.0,22.0,18.0,,nan,49.0,0.0,22,22,5,17,0.7727272727272727,1,17.0,0.008803,0.008803,6.597014925373134,2.0665873140107736,0.6467661691542289,,,5,2.3134328358208953,6.597014925373134,0.01185,,22,0.7056520413443165,-0.15697983744232324,0.7313432835820896,22.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,L30_G30,MobileNetV3,4,hounie_rcl,1,29,67,4,25,67,0.44334112674430176,23.0,27.0,23.0,,nan,42.0,0.0,27,27,5,22,0.8148148148148148,1,22.0,0.01171,0.01171,5.074626865671642,1.6036963476771733,0.9770378874856488,,,5,2.4322830292979547,5.074626865671642,0.014885,,27,0.679767880298651,-0.23642675355434922,0.6268656716417911,27.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,dermmnist,L30_G30,MobileNetV3,1,tralo,1,29,67,4,68,67,0.5908519673325173,,,6.0,6.0,min_excess,3.0,3.0,30,29,0,29,1.0,0,,0.11,0.11,1.164179104477612,0.40850341117102845,0.5447761194029851,,,0,1.371002132196162,2.3582089552238807,0.010808,0.996,7,0.6994360828307511,-0.10858411549823377,-0.014925373134328358,6.0
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,dermmnist,L30_G30,MobileNetV3,2,tralo,1,29,67,4,63,67,0.6222895028460954,6.0,6.0,6.0,6.0,fully_satisfied,4.0,0.0,30,29,1,28,0.9655172413793104,2,5.0,0.06,0.06,1.2985074626865671,0.4143261470864481,0.6183368869936035,0.05970149253731343,0.05970149253731343,1,1.2723880597014925,2.4776119402985075,0.007822,0.9968,8,0.6850627078056499,-0.06277320495955452,0.05970149253731343,6.0
