path,dataset,cap,model,seed,method,warmup,K,cls,count_raw,AP,precAtK,recAtK,n_uniq_score,frac_score_below_1e6,max_score,sat_epoch_raw,restored_from_raw,restore_kind,min_excess_raw,min_total_excess,last_c,eval_c,n_active_total,n_sat_total,dose_active,dose_sat,dose_frac,n_transitions,first_sat_c,peak_lambda,restored,unspent,is_tralo,traj_min_over_K,traj_max_over_K,traj_range_K,cum_excess_K,AP_ce,precAtK_ce,recAtK_ce,count_raw_ce,n_uniq_score_ce,dAP,dPrecK
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,L30_G30,MobileNetV3,1,fioretto_ldf,1,67,4,39,0.557781578181268,0.8507462686567164,0.2556053811659193,601,0.7873190214677983,1.0,22.0,,nan,22.0,0.0,26,26,21,5,21,5,0.8076923076923077,1,22.0,10.463698,0,0.417910447761194,0,,8.134328358208956,7.134328358208955,59.38805970149254,0.6994360828307511,0.8837953091684434,0.35201793721973096,184.0,763.0,-0.14165450464948315,-0.03304904051172697
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,L30_G30,MobileNetV3,2,fioretto_ldf,1,67,4,23,0.5539393406932882,0.8059701492537313,0.242152466367713,568,0.8217673489765353,0.9999914,19.0,,nan,19.0,0.0,23,23,18,5,18,5,0.782608695652174,1,19.0,8.564764,0,0.6567164179104478,0,,5.835820895522388,4.835820895522388,47.59701492537314,0.6850627078056499,0.818230277185501,0.3251121076233184,198.0,1027.0,-0.13112336711236172,-0.012260127931769671
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,L30_G30,MobileNetV3,3,fioretto_ldf,1,67,4,34,0.5516436037750767,0.7910447761194029,0.23766816143497757,773,0.7139291063404892,0.9999876,18.0,,nan,18.0,0.0,22,22,17,5,17,5,0.7727272727272727,1,18.0,10.408058,0,0.4925373134328358,0,,8.164179104477611,7.164179104477612,59.298507462686565,0.7056520413443165,0.8852611940298507,0.3542600896860987,167.0,804.0,-0.15400843756923976,-0.09421641791044777
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,L30_G30,MobileNetV3,4,fioretto_ldf,1,67,4,57,0.5923911134100882,0.8208955223880597,0.24663677130044842,648,0.7618572141787319,0.9999994,19.0,,nan,19.0,0.0,23,23,18,5,18,5,0.782608695652174,1,19.0,9.962893,0,0.14925373134328357,0,,6.641791044776119,5.641791044776119,54.62686567164179,0.679767880298651,0.8600079957356077,0.33856502242152464,164.0,898.0,-0.08737676688856277,-0.03911247334754797
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,L30_G30,MobileNetV3,1,hounie_rcl,1,67,4,16,0.5068057641748468,0.7014925373134329,0.21076233183856502,514,0.836245631552671,0.9999453,24.0,,nan,24.0,0.0,28,28,23,5,23,5,0.8214285714285714,1,24.0,0.009394,0,0.7611940298507462,0,,5.686567164179104,4.686567164179104,53.11940298507463,0.6994360828307511,0.8837953091684434,0.35201793721973096,184.0,763.0,-0.1926303186559043,-0.18230277185501054
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,L30_G30,MobileNetV3,2,hounie_rcl,1,67,4,28,0.43485538652617683,0.746268656716418,0.2242152466367713,398,0.8876684972541188,0.9999995,25.0,,nan,25.0,0.0,29,29,24,5,24,5,0.8275862068965517,1,25.0,0.011174,0,0.582089552238806,0,,8.074626865671641,7.074626865671642,63.44776119402985,0.6850627078056499,0.818230277185501,0.3251121076233184,198.0,1027.0,-0.2502073212794731,-0.07196162046908305
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,L30_G30,MobileNetV3,3,hounie_rcl,1,67,4,18,0.5486722039019932,0.8059701492537313,0.242152466367713,520,0.8322516225661508,0.9995431,18.0,,nan,18.0,0.0,22,22,17,5,17,5,0.7727272727272727,1,18.0,0.008803,0,0.7313432835820896,0,,7.597014925373134,6.597014925373134,50.8955223880597,0.7056520413443165,0.8852611940298507,0.3542600896860987,167.0,804.0,-0.15697983744232324,-0.07929104477611937
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,L30_G30,MobileNetV3,4,hounie_rcl,1,67,4,25,0.44334112674430176,0.7014925373134329,0.21076233183856502,556,0.8207688467299051,1.0,23.0,,nan,23.0,0.0,27,27,22,5,22,5,0.8148148148148148,1,23.0,0.01171,0,0.6268656716417911,0,,6.074626865671642,5.074626865671642,65.67164179104478,0.679767880298651,0.8600079957356077,0.33856502242152464,164.0,898.0,-0.23642675355434922,-0.15851545842217485
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,dermmnist,L30_G30,MobileNetV3,1,tralo,1,67,4,68,0.5908519673325173,0.8656716417910447,0.2600896860986547,1339,0.4677983025461807,0.9999759,,6.0,min_excess,6.0,3.0,29,5,29,0,5,0,1.0,0,,0.11,1,-0.014925373134328358,1,1.0149253731343284,2.1791044776119404,1.164179104477612,1.1940298507462686,0.6994360828307511,0.8837953091684434,0.35201793721973096,184.0,763.0,-0.10858411549823377,-0.018123667377398678
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,dermmnist,L30_G30,MobileNetV3,2,tralo,1,67,4,63,0.6222895028460954,0.8805970149253731,0.2645739910313901,1425,0.4438342486270594,0.99999964,6.0,6.0,fully_satisfied,6.0,0.0,29,5,28,1,4,1,0.8,2,5.0,0.06,1,0.05970149253731343,1,0.9402985074626866,2.08955223880597,1.1492537313432836,1.9402985074626866,0.6850627078056499,0.818230277185501,0.3251121076233184,198.0,1027.0,-0.06277320495955452,0.06236673773987211
