path,dataset,cap,model,seed,method,warmup,K,cls,count_raw,AP,precAtK,recAtK,n_uniq_score,frac_score_below_1e6,max_score,sat_epoch_raw,restored_from_raw,restore_kind,min_excess_raw,min_total_excess,last_c,eval_c,n_active_total,n_sat_total,dose_active,dose_sat,dose_frac,n_transitions,first_sat_c,peak_lambda,restored,unspent,is_tralo,traj_min_over_K,traj_max_over_K,traj_range_K,cum_excess_K,campaign,lr_c,AP_ce,precAtK_ce,dAP,dPrecK,over_unspent,abs_unspent
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,L30_G30,MobileNetV3,1,fioretto_ldf,1,67,4,147,0.5432105794103793,0.6865671641791045,0.2062780269058296,2002,0.000998502246630055,0.9070213,,1.0,min_excess,1.0,160.0,29,1,29,0,1,0,1.0,0,,19.063297,1,-1.1940298507462686,0,,3.388059701492537,0.0,2.388059701492537,b30_lrc5e-06,5e-06,0.6994360828307511,0.8837953091684434,-0.15622550342037178,-0.19722814498933894,0.0,1.1940298507462686
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,L30_G30,MobileNetV3,2,fioretto_ldf,1,67,4,142,0.5517097200216945,0.7313432835820896,0.21973094170403587,2002,0.00199700449326011,0.9247387,,3.0,min_excess,3.0,150.0,29,3,29,0,3,0,1.0,0,,19.795826,1,-1.1194029850746268,0,,4.044776119402985,0.8059701492537313,7.791044776119403,b30_lrc5e-06,5e-06,0.6850627078056499,0.818230277185501,-0.13335298778395543,-0.08688699360341146,0.0,1.1194029850746268
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,L30_G30,MobileNetV3,3,fioretto_ldf,1,67,4,126,0.5163201087274673,0.7313432835820896,0.21973094170403587,2002,0.0,0.9178479,,1.0,min_excess,1.0,118.0,29,1,29,0,1,0,1.0,0,,20.088342,1,-0.8805970149253731,0,,2.7611940298507465,0.0,1.7611940298507462,b30_lrc5e-06,5e-06,0.7056520413443165,0.8852611940298507,-0.18933193261684922,-0.15391791044776115,0.0,0.8805970149253731
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,L30_G30,MobileNetV3,4,fioretto_ldf,1,67,4,146,0.5613145102806214,0.7910447761194029,0.23766816143497757,2002,0.00199700449326011,0.91522837,,5.0,min_excess,5.0,158.0,29,5,29,0,5,0,1.0,0,,20.273575,1,-1.1791044776119404,0,,3.955223880597015,0.5970149253731343,13.492537313432836,b30_lrc5e-06,5e-06,0.679767880298651,0.8600079957356077,-0.11845337001802958,-0.06896321961620477,0.0,1.1791044776119404
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,L30_G30,MobileNetV3,1,hounie_rcl,1,67,4,147,0.5432105794103793,0.6865671641791045,0.2062780269058296,2002,0.000998502246630055,0.9070213,,1.0,min_excess,1.0,160.0,29,1,29,0,1,0,1.0,0,,0.019166,1,-1.1940298507462686,0,,3.388059701492537,0.0,2.388059701492537,b30_lrc5e-06,5e-06,0.6994360828307511,0.8837953091684434,-0.15622550342037178,-0.19722814498933894,0.0,1.1940298507462686
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,L30_G30,MobileNetV3,2,hounie_rcl,1,67,4,142,0.5517546384191296,0.7313432835820896,0.21973094170403587,2002,0.00199700449326011,0.9247766,,3.0,min_excess,3.0,150.0,29,3,29,0,3,0,1.0,0,,0.019818,1,-1.1194029850746268,0,,4.044776119402985,0.8059701492537313,7.791044776119403,b30_lrc5e-06,5e-06,0.6850627078056499,0.818230277185501,-0.1333080693865203,-0.08688699360341146,0.0,1.1194029850746268
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,L30_G30,MobileNetV3,3,hounie_rcl,1,67,4,126,0.5163201087274673,0.7313432835820896,0.21973094170403587,2002,0.0,0.9178479,,1.0,min_excess,1.0,118.0,29,1,29,0,1,0,1.0,0,,0.020116,1,-0.8805970149253731,0,,2.7611940298507465,0.0,1.7611940298507462,b30_lrc5e-06,5e-06,0.7056520413443165,0.8852611940298507,-0.18933193261684922,-0.15391791044776115,0.0,0.8805970149253731
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,L30_G30,MobileNetV3,4,hounie_rcl,1,67,4,145,0.5611486805907218,0.7910447761194029,0.23766816143497757,2001,0.00199700449326011,0.9147576,,5.0,min_excess,5.0,156.0,29,5,29,0,5,0,1.0,0,,0.020369,1,-1.164179104477612,0,,3.955223880597015,0.6268656716417911,13.343283582089553,b30_lrc5e-06,5e-06,0.679767880298651,0.8600079957356077,-0.11861919970792922,-0.06896321961620477,0.0,1.164179104477612
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,dermmnist,L30_G30,MobileNetV3,1,tralo,1,67,4,143,0.5796024181896113,0.8059701492537313,0.242152466367713,2000,0.0029955067398901645,0.9578103,,7.0,min_excess,7.0,152.0,29,6,29,0,6,0,1.0,0,,0.11,1,-1.1343283582089552,1,2.1940298507462686,2.3134328358208953,0.11940298507462686,2.5074626865671643,b30_lrc5e-06,5e-06,0.6994360828307511,0.8837953091684434,-0.11983366464113976,-0.07782515991471206,0.0,1.1343283582089552
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,dermmnist,L30_G30,MobileNetV3,2,tralo,1,67,4,138,0.5523733111020024,0.7313432835820896,0.21973094170403587,2002,0.0024962556165751375,0.9244016,,4.0,min_excess,4.0,142.0,29,3,29,0,3,0,1.0,0,,0.11,1,-1.0597014925373134,1,2.253731343283582,2.253731343283582,0.0,1.2537313432835822,b30_lrc5e-06,5e-06,0.6850627078056499,0.818230277185501,-0.13268939670364754,-0.08688699360341146,0.0,1.0597014925373134
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,dermmnist,L30_G30,MobileNetV3,3,tralo,1,67,4,126,0.5163201087274673,0.7313432835820896,0.21973094170403587,2002,0.0,0.9178479,,2.0,min_excess,2.0,118.0,29,1,29,0,1,0,1.0,0,,0.11,1,-0.8805970149253731,1,1.8805970149253732,1.8805970149253732,0.0,0.8805970149253731,b30_lrc5e-06,5e-06,0.7056520413443165,0.8852611940298507,-0.18933193261684922,-0.15391791044776115,0.0,0.8805970149253731
results/headroom/headroom_b30/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,dermmnist,L30_G30,MobileNetV3,4,tralo,1,67,4,140,0.5607380501310859,0.8059701492537313,0.242152466367713,2001,0.00199700449326011,0.91312516,,6.0,min_excess,6.0,146.0,29,5,29,0,5,0,1.0,0,,0.11,1,-1.0895522388059702,1,2.253731343283582,2.373134328358209,0.11940298507462686,2.626865671641791,b30_lrc5e-06,5e-06,0.679767880298651,0.8600079957356077,-0.11902983016756508,-0.05403784648187637,0.0,1.0895522388059702
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,L30_G30,MobileNetV3,1,fioretto_ldf,1,75,2,163,0.776908110856301,0.96,0.288,982,0.013,0.99998283,,28.0,min_excess,28.0,175.0,29,28,29,0,28,0,1.0,0,,16.293639,1,-1.1733333333333333,0,,4.213333333333333,0.88,74.53333333333333,b30_lrc5e-06,5e-06,0.7580042313731934,0.88,0.018903879483107566,0.07999999999999996,0.0,1.1733333333333333
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,L30_G30,MobileNetV3,2,fioretto_ldf,1,75,2,154,0.8079728106236416,0.96,0.288,981,0.0,0.9772643,,8.0,min_excess,8.0,157.0,29,8,29,0,8,0,1.0,0,,15.423522,1,-1.0533333333333332,0,,3.7866666666666666,0.6933333333333334,20.213333333333335,b30_lrc5e-06,5e-06,0.8108231951833579,0.9199999999999999,-0.0028503845597163124,0.040000000000000036,0.0,1.0533333333333332
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,L30_G30,MobileNetV3,3,fioretto_ldf,1,75,2,128,0.5573885508163413,0.6666666666666666,0.2,983,0.0,0.85383695,,1.0,min_excess,1.0,105.0,29,1,29,0,1,0,1.0,0,,16.423434,1,-0.7066666666666667,0,,2.4,0.0,1.4,b30_lrc5e-06,5e-06,0.8262172810605988,0.9293333333333333,-0.26882873024425746,-0.2626666666666667,0.0,0.7066666666666667
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,L30_G30,MobileNetV3,4,fioretto_ldf,1,75,2,144,0.43410640570626075,0.5333333333333333,0.16,985,0.0,0.8481337,,1.0,min_excess,1.0,137.0,29,1,29,0,1,0,1.0,0,,16.03065,1,-0.92,0,,2.8266666666666667,0.0,1.8266666666666667,b30_lrc5e-06,5e-06,0.72638479977456,0.8280000000000001,-0.2922783940682993,-0.29466666666666674,0.0,0.92
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,L30_G30,MobileNetV3,1,hounie_rcl,1,75,2,162,0.7746305718941882,0.96,0.288,980,0.013,0.99997973,,28.0,min_excess,28.0,173.0,29,28,29,0,28,0,1.0,0,,0.032396,1,-1.16,0,,4.1866666666666665,0.88,74.53333333333333,b30_lrc5e-06,5e-06,0.7580042313731934,0.88,0.016626340520994765,0.07999999999999996,0.0,1.16
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,L30_G30,MobileNetV3,2,hounie_rcl,1,75,2,153,0.8098639554244973,0.96,0.288,981,0.0,0.9774311,,8.0,min_excess,8.0,155.0,29,8,29,0,8,0,1.0,0,,0.030585,1,-1.04,0,,3.7866666666666666,0.72,20.133333333333333,b30_lrc5e-06,5e-06,0.8108231951833579,0.9199999999999999,-0.0009592397588605861,0.040000000000000036,0.0,1.04
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,L30_G30,MobileNetV3,3,hounie_rcl,1,75,2,128,0.5573885508163413,0.6666666666666666,0.2,983,0.0,0.85383695,,1.0,min_excess,1.0,105.0,29,1,29,0,1,0,1.0,0,,0.032582,1,-0.7066666666666667,0,,2.4,0.0,1.4,b30_lrc5e-06,5e-06,0.8262172810605988,0.9293333333333333,-0.26882873024425746,-0.2626666666666667,0.0,0.7066666666666667
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,L30_G30,MobileNetV3,4,hounie_rcl,1,75,2,144,0.43410640570626075,0.5333333333333333,0.16,985,0.0,0.8481337,,1.0,min_excess,1.0,137.0,29,1,29,0,1,0,1.0,0,,0.031821,1,-0.92,0,,2.8266666666666667,0.0,1.8266666666666667,b30_lrc5e-06,5e-06,0.72638479977456,0.8280000000000001,-0.2922783940682993,-0.29466666666666674,0.0,0.92
results/headroom/headroom_b30/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,octmnist,L30_G30,MobileNetV3,1,tralo,1,75,2,164,0.7928169505600959,0.96,0.288,984,0.0,0.99607795,,13.0,min_excess,13.0,177.0,29,12,29,0,12,0,1.0,0,,0.11,1,-1.1866666666666668,1,2.2266666666666666,2.453333333333333,0.22666666666666666,3.92,b30_lrc5e-06,5e-06,0.7580042313731934,0.88,0.03481271918690254,0.07999999999999996,0.0,1.1866666666666668
