dataset,model,cap,K,hard_cep1,grid_absdelta,grid_sd,grid_min,hard_last,soft_last,lam_last,ever_sat,first_sat,clip_raw,edge,overshoot_clip,overshoot_start,mobility,rho_end,u_end,dLdS_sat,dLdS_quad,dLdS
dermmnist,MobileNetV3,L30_G30,67.0,182.0,35.45,26.47246739818662,80.0,99.25,101.3825,0.0875,2,8.5,178.25,0.0189655172413793,2.66044776119403,2.716417910447761,0.5291044776119403,32.8448275862069,0.5131716417910447,0.006518517113560078,0.3152396267036523,0.028153837584006077
dermmnist,MobileNetV3,L50_G50,112.0,182.0,61.75,54.66857493896456,102.75,109.0,108.42,0.052500000000000005,4,4.25,178.25,0.0179640718562874,1.5915178571428572,1.625,0.5513392857142857,18.92241379310345,0.0,0.008928571428571428,0.0,0.00046875000000000004
dermmnist,RegNetY400MF,L30_G30,67.0,219.75,25.45,28.52889364882826,134.0,155.25,159.3875,0.11,0,,172.25,0.0293103448275861,2.5708955223880596,3.279850746268657,0.3798507462686567,100.0,1.3789179104477611,0.002637340992955563,0.48896077422315976,0.05407579267377268
dermmnist,RegNetY400MF,L50_G50,112.0,219.75,35.45,32.18136766899907,142.5,188.75,192.04250000000002,0.11,0,,172.25,0.0314371257485029,1.5379464285714286,1.9620535714285714,0.3165178571428572,100.0,0.7146651785714287,0.0030368498569071497,0.5591540905745731,0.06184100344746282
octmnist,MobileNetV3,L30_G30,75.0,178.75,48.2,38.38229431873778,113.25,151.0,153.2275,0.08,2,2.0,160.25,-0.0184615384615384,2.1366666666666667,2.3833333333333333,0.6426666666666667,11.551724137931036,1.0430333333333333,0.0031943892205904354,0.07370324853707588,0.006151811020613306
octmnist,MobileNetV3,L50_G50,125.0,178.75,45.15,37.36698634011424,104.0,148.5,148.675,0.055,4,3.5,160.25,-0.02,1.282,1.43,0.36119999999999997,16.46551724137931,0.1894000000000001,0.0056550196541621835,0.04650105919478633,0.0028685843366921685
octmnist,RegNetY400MF,L30_G30,75.0,182.25,44.25,35.472339988366706,122.0,161.75,165.36,0.11,0,,154.5,-0.0092307692307692,2.06,2.43,0.59,100.0,1.2048,0.0027428391272628205,0.534570078872521,0.059104420979976216
octmnist,RegNetY400MF,L50_G50,125.0,182.25,45.35,43.51146921672117,120.5,163.5,162.885,0.0625,4,7.75,154.5,-0.0106666666666666,1.236,1.458,0.3628,30.387931034482758,0.3030799999999999,0.004711376687268961,0.12360797193112821,0.008019959288649823
tissuemnist,MobileNetV3,L30_G30,51.0,97.5,56.5,50.59076044391638,62.5,144.5,147.4,0.0675,3,3.3333333333333335,231.25,0.0202702702702702,4.534313725490196,1.911764705882353,1.107843137254902,15.919540229885058,1.8901960784313727,0.002347335727922616,0.05643193671939161,0.00396760089019371
tissuemnist,MobileNetV3,L50_G50,86.0,97.5,72.26666666666667,64.28909600887584,56.5,87.5,103.4525,0.052500000000000005,4,1.75,231.25,0.0175097276264591,2.688953488372093,1.1337209302325582,0.8403100775193798,10.732758620689655,0.20293604651162792,0.008035565970936406,0.046724851793357884,0.0028749219326254503
tissuemnist,RegNetY400MF,L30_G30,51.0,181.75,58.3,51.13048008187552,140.5,203.5,205.0875,0.11,0,,168.0,-0.0225225225225225,3.2941176470588234,3.5637254901960786,1.1431372549019607,100.0,3.021323529411765,0.0012125280493233228,0.11549833340057714,0.01283819475948905
tissuemnist,RegNetY400MF,L50_G50,86.0,181.75,44.95,43.7719653387237,133.25,207.0,208.8775,0.11,0,,168.0,-0.0097276264591439,1.9534883720930232,2.113372093023256,0.5226744186046512,100.0,1.4288081395348837,0.0019711293720435737,0.3591963403846066,0.039728421673231526
