dataset,model,cap,T_minus_D,T_minus_C,D_minus_C,K,clip_raw,n_pool,tralo_count_raw,overshoot_ratio,overshoot_abs,cut_frac,dual_collapsed,dual_count_raw,tralo_nsat,tralo_hard_last,tralo_lam_last,dual_excess_last,dual_excess_min,dual_first_sat,dual_nsat,tralo_over_K,dual_over_K,is_regnet
dermmnist,MobileNetV3,L30_G30,0.01896551724137932,-0.008620689655172431,-0.02758620689655175,67,178.25,2003,63.0,2.66044776119403,111.25,0.6241234221598878,2,30.0,0.5,99.25,0.0875,0.0,0.0,21.0,5.0,1.4813432835820894,0.44776119402985076,0.0
dermmnist,MobileNetV3,L50_G50,0.017964071856287428,-0.019461077844311392,-0.03742514970059882,112,178.25,2003,85.0,1.5915178571428572,66.25,0.37166900420757365,0,72.0,7.25,109.0,0.052500000000000005,0.125,0.125,18.428571428571427,4.25,0.9732142857142857,0.6428571428571429,0.0
dermmnist,RegNetY400MF,L30_G30,0.029310344827586182,0.005172413793103445,-0.024137931034482737,67,172.25,2003,115.5,2.5708955223880596,105.25,0.6110304789550073,5,26.625,0.0,155.25,0.11,0.25,0.25,19.285714285714285,4.125,2.3171641791044775,0.39738805970149255,1.0
dermmnist,RegNetY400MF,L50_G50,0.03143712574850298,-0.02245508982035932,-0.0538922155688623,112,172.25,2003,118.5,1.5379464285714286,60.25,0.3497822931785196,3,53.375,0.0,188.75,0.11,0.0,0.0,19.375,5.0,1.6852678571428572,0.4765625,1.0
octmnist,MobileNetV3,L30_G30,-0.01846153846153846,0.0015384615384615302,0.01999999999999999,75,160.25,1000,62.75,2.1366666666666667,85.25,0.53198127925117,0,77.875,0.5,151.0,0.08,120.5,18.625,28.5,0.375,2.013333333333333,1.0383333333333333,0.0
octmnist,MobileNetV3,L50_G50,-0.020000000000000018,0.010666666666666685,0.030666666666666703,125,160.25,1000,108.0,1.282,35.25,0.21996879875195008,0,100.75,5.5,148.5,0.055,51.5,0.0,7.25,4.75,1.188,0.806,0.0
octmnist,RegNetY400MF,L30_G30,-0.009230769230769237,0.007692307692307679,0.016923076923076916,75,154.5,1000,115.0,2.06,79.5,0.5145631067961165,0,99.125,0.0,161.75,0.11,151.625,65.125,29.0,0.125,2.1566666666666667,1.3216666666666668,1.0
octmnist,RegNetY400MF,L50_G50,-0.010666666666666658,2.7755575615628914e-17,0.010666666666666685,125,154.5,1000,109.75,1.236,29.5,0.1909385113268608,0,112.625,2.25,163.5,0.0625,100.125,5.25,10.0,1.75,1.308,0.901,1.0
tissuemnist,MobileNetV3,L30_G30,0.02027027027027027,0.020270270270270285,1.3877787807814457e-17,51,231.25,2400,46.5,4.534313725490196,180.25,0.7794594594594595,0,46.125,1.5,144.5,0.0675,183.75,8.875,5.6,1.0,2.8333333333333335,0.9044117647058824,0.0
tissuemnist,MobileNetV3,L50_G50,0.017509727626459137,-0.0019455252918287869,-0.019455252918287924,86,231.25,2400,58.75,2.688953488372093,145.25,0.6281081081081081,0,67.75,3.25,87.5,0.052500000000000005,121.5,0.25,2.4285714285714284,3.0,1.0174418604651163,0.7877906976744186,0.0
tissuemnist,RegNetY400MF,L30_G30,-0.022522522522522515,-0.009009009009009,0.013513513513513514,51,168.0,2400,118.75,3.2941176470588234,117.0,0.6964285714285714,0,94.375,0.0,203.5,0.11,238.25,86.75,,0.0,3.9901960784313726,1.8504901960784315,1.0
tissuemnist,RegNetY400MF,L50_G50,-0.009727626459143962,-0.007782101167315175,0.0019455252918287869,86,168.0,2400,96.75,1.9534883720930232,82.0,0.48809523809523814,0,92.125,0.0,207.0,0.11,225.5,18.875,4.0,0.25,2.4069767441860463,1.0712209302325582,1.0
