dataset,model,cap,seed,method,hard,soft,soft_minus_hard,n_pool,n_true,pc_mean,pc_max,maxprob_mean,margin_pos_mean,near0.05,near0.10,near0.20
dermmnist,MobileNetV3,L50_G50,4,heuristic,164,163.55055898309683,-0.4494410169031653,2003,223,0.08165280029111174,1.0,0.9610300990913628,0.8164354687717651,3,9,16
dermmnist,MobileNetV3,L50_G50,3,heuristic,167,167.17824409674995,0.17824409674994968,2003,223,0.08346392615913627,1.0,0.9707771170094858,0.8683830320753091,3,4,8
dermmnist,MobileNetV3,L50_G50,1,heuristic,184,181.56954466160087,-2.4304553383991276,2003,223,0.09064879913210229,1.0,0.9731429326160759,0.8679632334869565,3,7,14
dermmnist,MobileNetV3,L50_G50,2,heuristic,198,203.63615800311584,5.636158003115838,2003,223,0.101665580630612,1.0,0.9612250890064903,0.8383909276920244,4,15,23
tissuemnist,MobileNetV3,L50_G50,4,heuristic,157,161.6558017695658,4.655801769565812,2400,171,0.06735658407065243,1.0,0.9278663201500001,0.8379921599378897,3,10,20
tissuemnist,MobileNetV3,L50_G50,3,heuristic,218,216.05142306121405,-1.9485769387859477,2400,171,0.09002142627550586,1.0,0.9187789669791667,0.7768240097739094,8,20,39
tissuemnist,MobileNetV3,L50_G50,1,heuristic,288,285.7911799561548,-2.2088200438452077,2400,171,0.1190796583150645,1.0,0.904028568675,0.7899425067851622,14,21,41
tissuemnist,MobileNetV3,L50_G50,2,heuristic,262,274.83970819083856,12.839708190838564,2400,171,0.11451654507951607,1.0,0.8987851994291668,0.8047100389249706,12,24,51
octmnist,MobileNetV3,L50_G50,4,heuristic,149,148.32816803698506,-0.6718319630149381,1000,250,0.14832816803698506,1.0,0.9491898841299998,0.8097882387591695,6,9,19
octmnist,MobileNetV3,L50_G50,3,heuristic,188,186.25063304860237,-1.7493669513976329,1000,250,0.18625063304860237,1.0,0.95895299486,0.8580025385505236,6,12,22
octmnist,MobileNetV3,L50_G50,1,heuristic,113,110.61967349260337,-2.3803265073966315,1000,250,0.11061967349260336,1.0,0.9572661760599999,0.8202858683500128,5,9,15
octmnist,MobileNetV3,L50_G50,2,heuristic,191,195.64921296841058,4.6492129684105805,1000,250,0.1956492129684106,1.0,0.9530377687,0.8759761762135448,4,7,20
dermmnist,RegNetY400MF,L30_G30,4,heuristic,182,182.85661718438558,0.8566171843855841,2003,223,0.09129137153489046,0.9999975,0.9573423958412381,0.8035138759870321,7,14,32
dermmnist,RegNetY400MF,L30_G30,3,heuristic,153,159.15821968120508,6.1582196812050825,2003,223,0.07945991996066155,0.9999999,0.9586761257264104,0.8067389466288765,7,14,27
dermmnist,RegNetY400MF,L30_G30,1,heuristic,170,172.03816149067018,2.038161490670177,2003,223,0.08589024537726918,0.9999999,0.9641267519221167,0.8420118691423829,6,10,22
dermmnist,RegNetY400MF,L30_G30,2,heuristic,184,184.57666158482658,0.5766615848265815,2003,223,0.09215010563396235,0.9999956,0.9500225014428357,0.7486066814223571,11,18,37
tissuemnist,RegNetY400MF,L30_G30,4,heuristic,148,153.27424671315325,5.2742467131532464,2400,171,0.06386426946381385,0.9999374,0.8878184936000001,0.7460279717119324,5,14,29
tissuemnist,RegNetY400MF,L30_G30,3,heuristic,210,212.076327681137,2.076327681137002,2400,171,0.08836513653380708,0.9999856,0.8935250572708333,0.7635094157964033,11,21,43
tissuemnist,RegNetY400MF,L30_G30,1,heuristic,172,178.7453214397513,6.745321439751308,2400,171,0.07447721726656305,0.9999999,0.8871324457833335,0.7526809162649427,6,14,34
tissuemnist,RegNetY400MF,L30_G30,2,heuristic,142,152.40909340598034,10.409093405980343,2400,171,0.06350378891915848,0.99998283,0.8838679768291665,0.7627284417454014,6,16,30
octmnist,RegNetY400MF,L30_G30,4,heuristic,163,162.0616961641724,-0.938303835827611,1000,250,0.16206169616417238,1.0,0.94739265663,0.8177951073761489,5,8,22
