dataset,model,cap,seed,method,dir,n_log_rows,max_cep,excess_first,excess_last,excess_min,first_sat_cep,n_sat_rows,lam_last,ce_last,hard_first,hard_last,hard_min,soft_first,soft_last,soft_minus_hard_last,lam_max,tracc_last,tracc_first
dermmnist,MobileNetV3,L50_G50,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4,28,28.0,125.0,0.0,0.0,8.0,6,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3,25,25.0,313.0,0.0,0.0,21.0,5,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1,29,29.0,69.0,0.0,0.0,27.0,3,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2,29,29.0,57.0,0.0,0.0,26.0,4,,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4,14,29.0,,,,3.0,7,0.05,0.00765,174.0,130.0,66.0,211.61,131.49,1.490000000000009,0.05,0.9979,0.8191
dermmnist,MobileNetV3,L50_G50,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3,11,29.0,,,,9.0,5,0.06,0.01279,268.0,119.0,82.0,285.26,117.61,-1.3900000000000006,0.06,0.9951,0.8274
dermmnist,MobileNetV3,L50_G50,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1,13,29.0,,,,3.0,7,0.05,0.003776,146.0,101.0,79.0,185.62,101.19,0.18999999999999773,0.05,0.9988,0.8255
dermmnist,MobileNetV3,L50_G50,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2,16,29.0,,,,2.0,10,0.05,0.003582,140.0,86.0,74.0,194.07,83.39,-2.6099999999999994,0.05,0.9989,0.826
dermmnist,MobileNetV3,L50_G50,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4,21,21.0,125.0,0.0,0.0,17.0,5,5.856017,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3,20,20.0,313.0,0.0,0.0,16.0,5,6.142482,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1,24,24.0,69.0,0.0,0.0,14.0,6,6.152846,,,,,,,,,,
dermmnist,MobileNetV3,L50_G50,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2,29,29.0,57.0,1.0,1.0,,0,4.535734,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4,29,29.0,0.0,146.0,0.0,1.0,4,,0.016209,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3,29,29.0,0.0,108.0,0.0,1.0,6,,0.019911,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1,29,29.0,0.0,226.0,0.0,1.0,1,,0.026585,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2,29,29.0,336.0,72.0,2.0,,0,,0.022031,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4,9,29.0,,,,1.0,5,0.05,0.018242,25.0,103.0,25.0,159.77,111.44,8.439999999999998,0.05,0.9942,0.5954
tissuemnist,MobileNetV3,L50_G50,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3,4,4.0,,,,1.0,4,0.05,0.577662,76.0,50.0,50.0,168.82,98.0,48.0,0.05,0.7893,0.5982
tissuemnist,MobileNetV3,L50_G50,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1,7,29.0,,,,1.0,2,0.05,0.01362,35.0,102.0,35.0,196.14,106.41,4.409999999999997,0.05,0.9958,0.5869
tissuemnist,MobileNetV3,L50_G50,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2,8,29.0,,,,4.0,2,0.06,0.020682,254.0,95.0,58.0,329.39,97.96,2.9599999999999937,0.06,0.9926,0.588
tissuemnist,MobileNetV3,L50_G50,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_4,29,29.0,0.0,214.0,0.0,1.0,5,11.050336,0.032918,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_3,29,29.0,0.0,132.0,0.0,1.0,5,11.184887,0.02178,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_1,29,29.0,0.0,46.0,0.0,1.0,1,12.972226,,,,,,,,,,
tissuemnist,MobileNetV3,L50_G50,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/tissuemnist/L50_G50/fioretto_ldf/seed_2,29,29.0,336.0,28.0,0.0,11.0,2,16.706546,0.022989,,,,,,,,,
octmnist,MobileNetV3,L50_G50,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_4,29,29.0,12.0,0.0,0.0,8.0,4,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_3,29,29.0,222.0,0.0,0.0,11.0,4,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_1,29,29.0,236.0,144.0,0.0,2.0,3,,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/hounie_rcl/seed_2,29,29.0,6.0,60.0,0.0,2.0,2,,0.00936,,,,,,,,,
octmnist,MobileNetV3,L50_G50,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_4,9,29.0,,,,4.0,3,0.06,0.016336,131.0,168.0,76.0,148.23,169.97,1.9699999999999989,0.06,0.9939,0.8363
octmnist,MobileNetV3,L50_G50,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_3,11,29.0,,,,7.0,5,0.06,0.00991,236.0,143.0,107.0,209.42,137.74,-5.259999999999991,0.06,0.9962,0.8393
octmnist,MobileNetV3,L50_G50,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_1,11,29.0,,,,2.0,5,0.05,0.029405,243.0,120.0,53.0,208.91,123.07,3.069999999999993,0.05,0.9902,0.8354
octmnist,MobileNetV3,L50_G50,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/tralo/seed_2,12,29.0,,,,1.0,9,0.05,0.013689,105.0,163.0,47.0,151.14,163.92,0.9199999999999875,0.05,0.9951,0.8377
octmnist,MobileNetV3,L50_G50,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_4,29,29.0,12.0,0.0,0.0,5.0,7,5.633906,,,,,,,,,,
octmnist,MobileNetV3,L50_G50,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_3,29,29.0,222.0,88.0,0.0,26.0,1,5.907403,0.015958,,,,,,,,,
octmnist,MobileNetV3,L50_G50,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_1,29,29.0,236.0,120.0,0.0,2.0,6,5.422317,0.009297,,,,,,,,,
octmnist,MobileNetV3,L50_G50,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/octmnist/L50_G50/fioretto_ldf/seed_2,29,29.0,6.0,0.0,0.0,2.0,11,4.564279,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_4,26,26.0,222.0,0.0,0.0,22.0,5,,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_3,21,21.0,480.0,0.0,0.0,17.0,5,,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_1,29,29.0,310.0,0.0,0.0,27.0,3,,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/hounie_rcl/seed_2,25,25.0,210.0,0.0,0.0,21.0,5,,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_4,7,29.0,,,,,0,0.11,0.015794,178.0,90.0,90.0,224.14,91.46,1.4599999999999937,0.11,0.9958,0.8442
dermmnist,RegNetY400MF,L30_G30,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_3,7,29.0,,,,,0,0.11,0.010555,307.0,187.0,143.0,315.23,189.88,2.8799999999999955,0.11,0.9971,0.833
dermmnist,RegNetY400MF,L30_G30,1,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_1,7,29.0,,,,,0,0.11,0.004035,222.0,151.0,151.0,262.32,156.51,5.509999999999991,0.11,0.999,0.8372
dermmnist,RegNetY400MF,L30_G30,2,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/tralo/seed_2,7,29.0,,,,,0,0.11,0.007726,172.0,193.0,152.0,225.1,199.7,6.699999999999989,0.11,0.998,0.826
dermmnist,RegNetY400MF,L30_G30,4,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_4,29,29.0,222.0,2.0,2.0,,0,8.068637,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,3,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_3,20,20.0,480.0,0.0,0.0,16.0,5,9.420796,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,1,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_1,21,21.0,310.0,0.0,0.0,17.0,5,9.217104,,,,,,,,,,
dermmnist,RegNetY400MF,L30_G30,2,fioretto_ldf,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/dermmnist/L30_G30/fioretto_ldf/seed_2,19,19.0,210.0,0.0,0.0,15.0,5,7.436964,,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,4,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_4,29,29.0,328.0,182.0,108.0,,0,,0.031491,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,3,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_3,29,29.0,214.0,210.0,70.0,,0,,0.036393,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,1,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_1,29,29.0,188.0,140.0,104.0,,0,,0.023212,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,2,hounie_rcl,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/hounie_rcl/seed_2,29,29.0,316.0,226.0,100.0,,0,,0.02962,,,,,,,,,
tissuemnist,RegNetY400MF,L30_G30,4,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_4,7,29.0,,,,,0,0.11,0.045378,215.0,194.0,171.0,196.03,195.66,1.6599999999999966,0.11,0.9854,0.6085
tissuemnist,RegNetY400MF,L30_G30,3,tralo,results/headroom/headroom_b30_lrc0.0001_noceskip/lane2/RegNetY400MF/tissuemnist/L30_G30/tralo/seed_3,7,29.0,,,,,0,0.11,0.034039,158.0,176.0,140.0,179.78,177.96,1.960000000000008,0.11,0.9889,0.5814
