Epoch,hard,soft,lam,sat,lg,cep,dataset,model,cap,seed
2,174,211.61,0.05,0,0.133945,1,dermmnist,MobileNetV3,L50_G50,4
4,94,108.63,0.05,1,0.0,3,dermmnist,MobileNetV3,L50_G50,4
5,194,203.73,0.05,0,0.274758,4,dermmnist,MobileNetV3,L50_G50,4
7,92,97.89,0.05,1,0.0,6,dermmnist,MobileNetV3,L50_G50,4
10,124,126.74,0.05,0,0.016906,9,dermmnist,MobileNetV3,L50_G50,4
11,84,82.57,0.05,1,0.0,10,dermmnist,MobileNetV3,L50_G50,4
14,87,90.54,0.05,1,0.0,13,dermmnist,MobileNetV3,L50_G50,4
15,221,219.5,0.05,0,0.325568,14,dermmnist,MobileNetV3,L50_G50,4
19,99,102.53,0.05,1,0.0,18,dermmnist,MobileNetV3,L50_G50,4
20,240,244.95,0.05,0,0.394166,19,dermmnist,MobileNetV3,L50_G50,4
21,103,101.65,0.05,1,0.0,20,dermmnist,MobileNetV3,L50_G50,4
23,66,69.58,0.05,1,0.0,22,dermmnist,MobileNetV3,L50_G50,4
25,144,145.83,0.05,0,0.064667,24,dermmnist,MobileNetV3,L50_G50,4
30,130,131.49,0.05,0,0.026328,29,dermmnist,MobileNetV3,L50_G50,4
2,268,285.26,0.05,0,0.206689,1,dermmnist,MobileNetV3,L50_G50,3
5,281,293.24,0.06,0,0.612799,4,dermmnist,MobileNetV3,L50_G50,3
10,100,103.18,0.06,1,0.0,9,dermmnist,MobileNetV3,L50_G50,3
15,127,125.71,0.06,0,0.034185,14,dermmnist,MobileNetV3,L50_G50,3
16,84,87.88,0.06,1,0.0,15,dermmnist,MobileNetV3,L50_G50,3
19,104,96.59,0.06,1,0.0,18,dermmnist,MobileNetV3,L50_G50,3
20,199,201.29,0.06,0,0.754198,19,dermmnist,MobileNetV3,L50_G50,3
23,87,87.09,0.06,1,0.0,22,dermmnist,MobileNetV3,L50_G50,3
25,118,118.9,0.06,0,0.01057,24,dermmnist,MobileNetV3,L50_G50,3
26,82,88.13,0.06,1,0.0,25,dermmnist,MobileNetV3,L50_G50,3
30,119,117.61,0.06,0,0.007548,29,dermmnist,MobileNetV3,L50_G50,3
2,146,185.62,0.05,0,0.095259,1,dermmnist,MobileNetV3,L50_G50,1
4,87,96.93,0.05,1,0.0,3,dermmnist,MobileNetV3,L50_G50,1
5,146,152.13,0.05,0,0.08523,4,dermmnist,MobileNetV3,L50_G50,1
10,116,113.6,0.05,0,0.000886,9,dermmnist,MobileNetV3,L50_G50,1
11,100,100.04,0.05,1,0.0,10,dermmnist,MobileNetV3,L50_G50,1
15,190,192.4,0.05,0,0.234718,14,dermmnist,MobileNetV3,L50_G50,1
16,79,80.91,0.05,1,0.0,15,dermmnist,MobileNetV3,L50_G50,1
19,100,100.98,0.05,1,0.0,18,dermmnist,MobileNetV3,L50_G50,1
20,199,203.25,0.05,0,0.27313,19,dermmnist,MobileNetV3,L50_G50,1
22,94,91.69,0.05,1,0.0,21,dermmnist,MobileNetV3,L50_G50,1
25,131,129.56,0.05,0,0.022276,24,dermmnist,MobileNetV3,L50_G50,1
26,80,83.13,0.05,1,0.0,25,dermmnist,MobileNetV3,L50_G50,1
30,101,101.19,0.05,1,0.0,29,dermmnist,MobileNetV3,L50_G50,1
2,140,194.07,0.05,0,0.108477,1,dermmnist,MobileNetV3,L50_G50,2
3,90,110.46,0.05,1,0.0,2,dermmnist,MobileNetV3,L50_G50,2
5,136,141.37,0.05,0,0.038491,4,dermmnist,MobileNetV3,L50_G50,2
6,82,86.06,0.05,1,0.0,5,dermmnist,MobileNetV3,L50_G50,2
9,80,80.63,0.05,1,0.0,8,dermmnist,MobileNetV3,L50_G50,2
10,155,155.21,0.05,0,0.070234,9,dermmnist,MobileNetV3,L50_G50,2
13,96,94.38,0.05,1,0.0,12,dermmnist,MobileNetV3,L50_G50,2
15,123,126.34,0.05,0,0.012849,14,dermmnist,MobileNetV3,L50_G50,2
16,74,76.08,0.05,1,0.0,15,dermmnist,MobileNetV3,L50_G50,2
19,93,96.46,0.05,1,0.0,18,dermmnist,MobileNetV3,L50_G50,2
20,262,260.53,0.05,0,0.303994,19,dermmnist,MobileNetV3,L50_G50,2
23,97,100.64,0.05,1,0.0,22,dermmnist,MobileNetV3,L50_G50,2
25,134,136.01,0.05,0,0.028087,24,dermmnist,MobileNetV3,L50_G50,2
26,106,112.04,0.05,1,1.7e-05,25,dermmnist,MobileNetV3,L50_G50,2
27,102,101.93,0.05,1,0.0,26,dermmnist,MobileNetV3,L50_G50,2
30,86,83.39,0.05,1,0.0,29,dermmnist,MobileNetV3,L50_G50,2
2,25,159.77,0.05,1,0.12907,1,tissuemnist,MobileNetV3,L50_G50,4
3,58,128.97,0.05,1,0.066607,2,tissuemnist,MobileNetV3,L50_G50,4
4,47,101.95,0.05,1,0.01614,3,tissuemnist,MobileNetV3,L50_G50,4
5,58,86.58,0.05,1,0.000344,4,tissuemnist,MobileNetV3,L50_G50,4
10,101,109.86,0.05,0,0.02872,9,tissuemnist,MobileNetV3,L50_G50,4
15,68,71.41,0.05,1,0.0,14,tissuemnist,MobileNetV3,L50_G50,4
20,116,121.44,0.05,0,0.050885,19,tissuemnist,MobileNetV3,L50_G50,4
25,123,130.43,0.05,0,0.06969,24,tissuemnist,MobileNetV3,L50_G50,4
30,103,111.44,0.05,0,0.031522,29,tissuemnist,MobileNetV3,L50_G50,4
2,76,168.82,0.05,1,0.144824,1,tissuemnist,MobileNetV3,L50_G50,3
3,72,118.29,0.05,1,0.044528,2,tissuemnist,MobileNetV3,L50_G50,3
4,63,98.54,0.05,1,0.01157,3,tissuemnist,MobileNetV3,L50_G50,3
5,50,98.0,0.05,1,0.0109,4,tissuemnist,MobileNetV3,L50_G50,3
2,35,196.14,0.05,1,0.183388,1,tissuemnist,MobileNetV3,L50_G50,1
5,46,94.07,0.05,1,0.006471,4,tissuemnist,MobileNetV3,L50_G50,1
10,206,205.19,0.05,0,0.193454,9,tissuemnist,MobileNetV3,L50_G50,1
15,139,138.96,0.05,0,0.087795,14,tissuemnist,MobileNetV3,L50_G50,1
20,255,257.27,0.05,0,0.232947,19,tissuemnist,MobileNetV3,L50_G50,1
25,257,250.98,0.05,0,0.229451,24,tissuemnist,MobileNetV3,L50_G50,1
30,102,106.41,0.05,0,0.022926,29,tissuemnist,MobileNetV3,L50_G50,1
2,254,329.39,0.05,0,0.259197,1,tissuemnist,MobileNetV3,L50_G50,2
5,72,98.11,0.06,1,0.023049,4,tissuemnist,MobileNetV3,L50_G50,2
10,119,135.03,0.06,0,0.224051,9,tissuemnist,MobileNetV3,L50_G50,2
15,149,158.82,0.06,0,0.37242,14,tissuemnist,MobileNetV3,L50_G50,2
