dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,u_recursion_maxerr,lam0,lam_max,lam_final,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft0,soft_min,soft_final,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat,cstr_loss_max
dermmnist,MobileNetV3,L30_G30,1,hounie_rcl,67,2003,223,29,29,UNSET->default True,14,16,0.014467,24,6,0,158.0,0.0,0.0,-0.8594840295834308,0.21978021978021978,-0.9739247464587323,16,6.800000000000003e-07,0.000592,0.009394,0.008132,21,8,0.000444,0.0008415200532369981,185.5776,17.6000110000001,17.6000110000001,0.2626867313432851,0.2626867313432851,8,0.016483516483516484,-1.0,44.44221400000019,26.84220300000009,0.003354
dermmnist,MobileNetV3,L30_G30,2,hounie_rcl,67,2003,223,29,29,UNSET->default True,19,11,0.009493,25,5,0,146.0,0.0,0.0,-0.7593555591965501,-0.20237483337080436,-0.9534625892455922,28,8.499999999999936e-07,0.000634,0.011174,0.010493,23,6,0.000531,0.0010136646388229195,193.99020000000002,30.407193000000213,30.407193000000213,0.45383870149254046,0.45383870149254046,6,-0.43859649122807015,-1.0,55.010041999999835,24.602848999999622,0.004445
dermmnist,MobileNetV3,L30_G30,3,hounie_rcl,67,2003,223,29,29,UNSET->default True,11,19,0.01185,18,12,0,402.0,0.0,0.0,-0.9518727319055144,-0.709090909090909,-0.8655188080091292,6,8.100000000000007e-07,0.00109,0.008803,0.005996,16,13,0.00041,0.0008009968788952925,285.327,5.628079999999919,5.628079999999919,0.08400119402984954,0.08400119402984954,13,-0.7939393939393938,-1.0,52.564379000000066,46.93629900000015,0.002744
dermmnist,MobileNetV3,L30_G30,4,hounie_rcl,67,2003,223,29,29,UNSET->default True,15,15,0.014885,23,7,0,214.0,0.0,0.0,-0.7232547034431062,-0.06380641924868087,-0.9486832980505139,19,7.60000000000013e-07,0.000722,0.01171,0.010731,22,7,0.000553,0.0010958060959859641,211.6166,21.63605599999974,21.63605599999974,0.32292620895522,0.32292620895522,7,-0.27472527472527475,-1.0,64.42814799999987,42.792092000000125,0.004767
dermmnist,MobileNetV3,L50_G50,1,hounie_rcl,112,2003,223,29,29,UNSET->default True,12,18,0.013184,27,3,0,69.0,0.0,0.0,-0.433206428438756,0.19090909090909092,-0.8657429635365042,54,8.200000000000023e-07,0.000368,0.007864,0.00722,24,5,0.000367,0.0006115349540296123,185.7104,65.46430099999998,65.46430099999998,0.5845026874999998,0.5845026874999998,5,-0.10000000000000002,-0.8802889576883385,85.48228299999985,20.017981999999876,0.002353
dermmnist,MobileNetV3,L50_G50,2,hounie_rcl,112,2003,223,29,29,UNSET->default True,23,7,0.008803,26,4,0,57.0,0.0,0.0,-0.5807020202375751,-0.054298720703538986,-0.9063269671749657,71,7.300000000000015e-07,0.00041,0.006559,0.006125,25,4,0.000308,0.0005680809801427962,194.123,78.16532400000011,78.16532400000011,0.6979046785714296,0.6979046785714296,4,-0.2907961603613778,-1.0,104.38058800000013,26.21526400000002,0.002589
dermmnist,MobileNetV3,L50_G50,3,hounie_rcl,112,2003,223,29,29,UNSET->default True,15,15,0.01134,21,9,0,313.0,0.0,0.0,-0.8896000856397684,-0.4769230769230769,-0.8864052604279182,24,6.499999999999887e-07,0.000865,0.006752,0.003981,19,11,0.000313,0.0006350425182615728,285.2595,25.214016000000058,25.214016000000058,0.22512514285714338,0.22512514285714338,11,-0.48571428571428577,-1.0,91.18081799999993,65.96680199999987,0.002464
dermmnist,MobileNetV3,L50_G50,4,hounie_rcl,112,2003,223,29,29,UNSET->default True,14,16,0.012651,8,7,1,125.0,0.0,0.0,-0.7351642148548623,-0.20329670329670327,-0.9739247464587323,45,8.100000000000007e-07,0.000497,0.005601,0.004274,21,9,0.000262,0.000490867599256663,211.5491,52.61305300000004,52.61305300000004,0.4697594017857147,0.4697594017857147,9,-0.42857142857142855,-1.0,111.18077299999996,58.567719999999916,0.001655
dermmnist,RegNetY400MF,L30_G30,1,hounie_rcl,67,2003,223,29,29,UNSET->default True,22,8,0.007044,27,3,0,310.0,0.0,0.0,-0.5902650535082202,-0.050016241676569345,-0.9759000729485332,16,8.599999999999884e-07,0.000975,0.015795,0.015408,26,3,0.000744,0.001433651282564906,262.2925,27.21641400000008,27.21641400000008,0.4062151343283594,0.4062151343283594,3,-0.22207792207792207,-1.0,59.813235999999726,32.59682199999965,0.006463
dermmnist,RegNetY400MF,L30_G30,2,hounie_rcl,67,2003,223,29,29,UNSET->default True,16,14,0.013647,21,9,0,210.0,0.0,0.0,-0.8453816303677965,0.0017937400083354376,-0.8580581193973612,0,7.499999999999911e-07,0.000789,0.010066,0.007731,19,10,0.000469,0.000883198165758965,225.0367,2.585523000000009,2.585523000000009,0.038589895522388194,0.038589895522388194,10,-0.38928571428571423,-1.0,46.074659000000054,43.489136000000045,0.004002
