dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,u_recursion_maxerr,lam0,lam_max,lam_final,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft0,soft_min,soft_final,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat,cstr_loss_max
dermmnist,MobileNetV3,L30_G30,1,hounie_rcl,67,2003,223,29,29,UNSET->default True,17.0,13,0.010061,28.0,2,0,332.0,0.0,0.0,-0.7914254575286399,-0.07216502671678424,-0.9986254289035241,41,8.200000000000091e-07,0.001029,0.012965,0.01284,27,2,0.000622,0.001188745557299795,273.1087,51.008048000000144,51.008048000000144,0.7613141492537335,0.7613141492537335,2,-0.3235294117647059,-1.0,60.40812699999983,9.400078999999685,0.00396
dermmnist,MobileNetV3,L30_G30,2,hounie_rcl,67,2003,223,29,29,UNSET->default True,14.0,16,0.01665,25.0,5,0,380.0,0.0,0.0,-0.8123023308007221,-0.4731778891774273,-0.985184366143778,25,6.200000000000042e-07,0.00115,0.013738,0.01321,24,5,0.000657,0.0011753259122473222,297.34499999999997,31.45876799999997,31.45876799999997,0.46953385074626824,0.46953385074626824,5,-0.6153846153846153,-1.0,65.24937800000012,33.79061000000015,0.004652
dermmnist,MobileNetV3,L30_G30,3,hounie_rcl,67,2003,223,28,28,UNSET->default True,15.0,14,0.014716,24.0,5,0,164.0,0.0,0.0,-0.9219195686509629,-0.39780219780219783,-0.9777750027710651,31,6.900000000000086e-07,0.000639,0.009726,0.009182,22,6,0.000468,0.0008346250655234361,194.99169999999998,37.09120399999973,37.09120399999973,0.5536000597014885,0.5536000597014885,6,-0.7010989010989012,-1.0,57.70207399999986,20.610870000000133,0.003181
dermmnist,MobileNetV3,L30_G30,4,hounie_rcl,67,2003,223,29,29,UNSET->default True,15.0,15,0.016062,25.0,5,0,214.0,0.0,0.0,-0.9490092403227129,-0.5692307692307692,-0.9819805060619657,30,7.199999999999524e-07,0.000721,0.010735,0.010198,23,6,0.000517,0.000923036293977653,211.4163,36.187851000000116,36.187851000000116,0.5401171791044793,0.5401171791044793,5,-0.8021978021978022,-1.0,58.998015000000024,22.810163999999908,0.003179
octmnist,MobileNetV3,L30_G30,1,hounie_rcl,75,1000,250,29,29,UNSET->default True,21.0,9,0.013823,26.0,4,0,231.0,0.0,0.0,-0.5752349664722999,-0.11056789048185597,-0.9574271077563381,9,7.399999999999421e-07,0.001049,0.019675,0.018054,25,4,0.000915,0.0015716484975973478,179.89999999999998,15.615000000000059,15.615000000000059,0.20820000000000077,0.20820000000000077,4,-0.24511278195488717,-1.0,59.07999999999985,43.46499999999979,0.01136
octmnist,MobileNetV3,L30_G30,2,hounie_rcl,75,1000,250,29,29,UNSET->default True,25.0,5,0.008155,29.0,1,0,73.0,0.0,0.0,-0.042872985557279995,0.43366685268221594,-0.9999999999999999,37,8.100000000000143e-07,0.00081,0.020811,0.020637,28,1,0.00095,0.0016424067705656843,156.0,58.52899999999995,58.52899999999995,0.780386666666666,0.780386666666666,1,0.1660869565217391,-0.9999999999999999,58.52899999999995,0.0,0.011918
octmnist,MobileNetV3,L30_G30,3,hounie_rcl,75,1000,250,29,29,UNSET->default True,23.0,7,0.011092,27.0,3,0,223.0,0.0,0.0,-0.5330377345554078,-0.04013569552103983,-0.9636241116594316,9,6.699999999999783e-07,0.001126,0.024517,0.023543,26,3,0.001146,0.001971467473736252,187.60000000000002,20.938000000000308,20.938000000000308,0.27917333333333744,0.27917333333333744,3,-0.07171089779785433,-1.0,67.59599999999983,46.657999999999525,0.013704
octmnist,MobileNetV3,L30_G30,4,hounie_rcl,75,1000,250,27,27,UNSET->default True,18.0,10,0.008154,23.0,5,0,89.0,0.0,0.0,-0.5831579803576311,0.17780506101041962,-0.937436866561092,7,7.199999999999999e-07,0.000768,0.016026,0.013944,22,5,0.000737,0.0012535832640873919,151.8,15.03500000000001,15.03500000000001,0.20046666666666682,0.20046666666666682,5,0.03431372549019608,-0.9999999999999999,61.00300000000022,45.96800000000021,0.008595
tissuemnist,MobileNetV3,L30_G30,1,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.020407,,0,0,36.0,36.0,496.0,0.5318389004498995,0.5318389004498995,,69,8.699999999999968e-07,0.000667,0.015292,0.015292,29,0,0.000638,0.0008904807690231159,211.07999999999998,121.49039999999997,312.61679999999996,2.382164705882352,6.129741176470588,0,0.0502463054187192,,,,0.005666
tissuemnist,MobileNetV3,L30_G30,2,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.015619,,0,0,458.0,78.0,172.0,-0.14141414570579602,-0.14141414570579602,,90,8.599999999999884e-07,0.000984,0.017132,0.017132,29,0,0.000757,0.0010615794835997915,287.15999999999997,118.00800000000008,137.2368000000004,2.313882352941178,2.690917647058831,0,-0.33645320197044326,,,,0.003576
