campaign,dataset,model,cap,method,n_seeds,K,n_pool,n_true_cls,K_frac_pool,clip_raw,clip_raw_min,clip_raw_max,natural_rate,K_over_clip_raw,binds,ccF1eq,AP,macroEq,count_raw,count_adj,sat,n_collapsed,d_vs_bestdual,d_vs_clip,constraint_epochs_run,last_epoch,warmup,cepochs,ce_skip,lr,lr_constraint,stable_thr
fixsel_derm,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,4,67,2003,223,0.03344982526210684,178.25,164,198,0.08899151273090364,0.3758765778401122,yes,0.3741379310344828,0.5639389090149303,0.6822875227550087,38.25,67.0,0.0,0,0.03103448275862071,0.0034482758620689585,23.5,22.5,1,29,,0.0001,0.0001,
fixsel_derm,dermmnist,MobileNetV3,L30_G30,hounie_rcl,4,67,2003,223,0.03344982526210684,178.25,164,198,0.08899151273090364,0.3758765778401122,yes,0.3413793103448276,0.48341862033682964,0.6576080557983035,21.75,67.0,0.0,2,0.03103448275862071,0.0034482758620689585,26.5,25.5,1,29,,0.0001,0.0001,
fixsel_derm,dermmnist,MobileNetV3,L30_G30,tralo,4,67,2003,223,0.03344982526210684,178.25,164,198,0.08899151273090364,0.3758765778401122,yes,0.41379310344827586,0.6227738468823363,0.696907410617804,56.5,67.0,0.0,0,0.03103448275862071,0.0034482758620689585,22.75,23.75,1,29,True,0.0001,0.0001,
fixsel_derm,dermmnist,MobileNetV3,L50_G50,fioretto_ldf,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.5299401197604791,0.6387188014072227,0.7187703953697688,90.25,111.0,0.0,0,0.010479041916167664,-0.026946107784431156,23.5,22.5,1,29,,0.0001,0.0001,
fixsel_derm,dermmnist,MobileNetV3,L50_G50,hounie_rcl,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.4610778443113772,0.5452224206984859,0.657986107730482,53.75,111.0,0.0,0,0.010479041916167664,-0.026946107784431156,27.75,26.75,1,29,,0.0001,0.0001,
fixsel_derm,dermmnist,MobileNetV3,L50_G50,tralo,4,112,2003,223,0.05591612581128307,178.25,164,198,0.08899151273090364,0.6283309957924264,yes,0.5404191616766467,0.6608735912528669,0.7203506895722223,102.5,111.0,0.0,0,0.010479041916167664,-0.026946107784431156,26.0,27.0,1,29,True,0.0001,0.0001,
fixsel_derm,dermmnist,RegNetY400MF,L30_G30,fioretto_ldf,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.37586206896551727,0.5578012248129538,0.6569420049561274,43.75,67.0,0.0,1,-0.08793103448275864,-0.11206896551724138,22.25,21.25,1,29,,0.0001,0.0001,
fixsel_derm,dermmnist,RegNetY400MF,L30_G30,hounie_rcl,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.28793103448275864,0.39789374621910445,0.613725514919429,9.5,67.0,0.0,4,-0.08793103448275864,-0.11206896551724138,25.25,24.25,1,29,,0.0001,0.0001,
fixsel_derm,dermmnist,RegNetY400MF,L30_G30,tralo,4,67,2003,223,0.03344982526210684,172.25,153,184,0.08599600599101348,0.3889695210449927,yes,0.2879310344827586,0.45342527861901366,0.5475638318386489,42.0,67.0,0.0,1,-0.08793103448275864,-0.11206896551724138,26.75,27.75,1,29,True,0.0001,0.0001,
fixsel_derm,dermmnist,RegNetY400MF,L50_G50,fioretto_ldf,4,112,2003,223,0.05591612581128307,172.25,153,184,0.08599600599101348,0.6502177068214804,yes,0.4925149700598802,0.6098098391647924,0.6787701577079998,76.75,111.0,0.0,0,0.026946107784431128,-0.02694610778443117,20.5,19.5,1,29,,0.0001,0.0001,
fixsel_derm,dermmnist,RegNetY400MF,L50_G50,hounie_rcl,4,112,2003,223,0.05591612581128307,172.25,153,184,0.08599600599101348,0.6502177068214804,yes,0.46107784431137727,0.5168904709414258,0.6549303638487416,30.0,111.0,0.0,3,0.026946107784431128,-0.02694610778443117,26.25,25.25,1,29,,0.0001,0.0001,
fixsel_derm,dermmnist,RegNetY400MF,L50_G50,tralo,4,112,2003,223,0.05591612581128307,172.25,153,184,0.08599600599101348,0.6502177068214804,yes,0.5194610778443114,0.6390235851962939,0.681945454186075,84.25,111.0,0.0,0,0.026946107784431128,-0.02694610778443117,27.0,28.0,1,29,True,0.0001,0.0001,
