dataset,cap,model,seed,method,warmup,cepochs,K,count,count_raw,sat,AP,ccF1eq,macroEq,cls,n_pool,n_true_cls,last_epoch,ce_skip,lr,lr_constraint,stable_thr,campaign,collapsed,constraint_epochs_run
dermmnist,L50_G50,MobileNetV3,4,hounie_rcl,1,29,112,111,146,0,0.5608211311755842,0.47305389221556887,0.3921696527391641,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,3,hounie_rcl,1,29,112,111,126,0,0.5163201087274673,0.4311377245508982,0.36155341178223804,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,1,hounie_rcl,1,29,112,111,147,0,0.5432105794103793,0.4491017964071856,0.3705056670046706,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,2,hounie_rcl,1,29,112,111,142,0,0.5516735419208363,0.4550898203592814,0.3849372192615969,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,4,tralo,1,29,112,111,138,0,0.5609166120489655,0.47305389221556887,0.3921830134663356,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,3,tralo,1,29,112,111,126,0,0.5163201087274673,0.4311377245508982,0.36155341178223804,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,1,tralo,1,29,112,111,143,0,0.5788164986398014,0.4550898203592814,0.4385498116166723,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,2,tralo,1,29,112,111,138,0,0.5520523186718963,0.46706586826347307,0.3829526885709034,4,2003,223,30.0,True,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,4,danits_lp,30,0,112,111,164,0,0.679767880298651,0.562874251497006,0.7346920200907782,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,MobileNetV3,3,danits_lp,30,0,112,111,167,0,0.7056520413443165,0.592814371257485,0.7570039873382617,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,MobileNetV3,1,danits_lp,30,0,112,111,184,0,0.6994360828307511,0.5808383233532934,0.7234773854630517,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,MobileNetV3,2,danits_lp,30,0,112,111,198,0,0.6850627078056499,0.5329341317365269,0.7306011249175335,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,MobileNetV3,4,fioretto_ldf,1,29,112,111,146,0,0.5613145102806214,0.47305389221556887,0.3921696527391641,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,3,fioretto_ldf,1,29,112,111,126,0,0.5163201087274673,0.4311377245508982,0.36155341178223804,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,1,fioretto_ldf,1,29,112,111,147,0,0.5432105794103793,0.4491017964071856,0.3705056670046706,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,2,fioretto_ldf,1,29,112,111,142,0,0.5517097200216945,0.4550898203592814,0.38902043801676955,4,2003,223,28.0,,0.0001,5e-06,,headroom_b30,False,29.0
dermmnist,L50_G50,MobileNetV3,4,heuristic,30,0,112,111,164,0,0.679767880298651,0.562874251497006,0.7346920200907782,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,MobileNetV3,3,heuristic,30,0,112,111,167,0,0.7056520413443165,0.592814371257485,0.7570039873382617,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
dermmnist,L50_G50,MobileNetV3,1,heuristic,30,0,112,111,184,0,0.6994360828307511,0.5808383233532934,0.7234773854630517,4,2003,223,,,0.0001,5e-06,,headroom_b30,False,0.0
