campaign,dataset,cap,model,seed,method,sweep,arm,warmup,cepochs,lr,lr_c,ce_skip,K,count_raw,count_adj,sat,AP,ccF1adj,ccF1eq,macroAdj,macroEq,path
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,4,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,112,146,111,0,0.5608211311755842,0.47305389221556887,0.47305389221556887,0.3921696527391641,0.3921696527391641,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,3,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,112,126,111,0,0.5163201087274673,0.41317365269461076,0.4311377245508982,0.35868667117294784,0.36155341178223804,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,1,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,112,147,111,0,0.5432105794103793,0.4431137724550898,0.4491017964071856,0.369865408597168,0.3705056670046706,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,2,hounie_rcl,,hounie_rcl,1,29,0.0001,5e-06,,112,142,111,0,0.5516735419208363,0.4550898203592814,0.4550898203592814,0.3849372192615969,0.3849372192615969,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,4,tralo,,tralo,1,29,0.0001,5e-06,True,112,138,111,0,0.5609166120489655,0.46706586826347307,0.47305389221556887,0.39132758147317903,0.3921830134663356,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,3,tralo,,tralo,1,29,0.0001,5e-06,True,112,126,111,0,0.5163201087274673,0.41317365269461076,0.4311377245508982,0.35868667117294784,0.36155341178223804,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,1,tralo,,tralo,1,29,0.0001,5e-06,True,112,143,111,0,0.5788164986398014,0.4550898203592814,0.4550898203592814,0.43865077072823205,0.4385498116166723,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,2,tralo,,tralo,1,29,0.0001,5e-06,True,112,138,111,0,0.5520523186718963,0.46706586826347307,0.46706586826347307,0.3829526885709034,0.3829526885709034,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,4,danits_lp,,danits_lp,30,0,0.0001,5e-06,,112,164,111,0,0.679767880298651,0.5688622754491018,0.562874251497006,0.7361281721768499,0.7346920200907782,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_4
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,3,danits_lp,,danits_lp,30,0,0.0001,5e-06,,112,167,111,0,0.7056520413443165,0.592814371257485,0.592814371257485,0.7570039873382617,0.7570039873382617,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_3
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,1,danits_lp,,danits_lp,30,0,0.0001,5e-06,,112,184,111,0,0.6994360828307511,0.5868263473053892,0.5808383233532934,0.7250163444555248,0.7234773854630517,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_1
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,2,danits_lp,,danits_lp,30,0,0.0001,5e-06,,112,198,111,0,0.6850627078056499,0.5329341317365269,0.5329341317365269,0.7306011249175335,0.7306011249175335,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_2
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,4,fioretto_ldf,,fioretto_ldf,1,29,0.0001,5e-06,,112,146,111,0,0.5613145102806214,0.47305389221556887,0.47305389221556887,0.3921696527391641,0.3921696527391641,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4
results/headroom/headroom_b30,dermmnist,L50_G50,MobileNetV3,3,fioretto_ldf,,fioretto_ldf,1,29,0.0001,5e-06,,112,126,111,0,0.5163201087274673,0.41317365269461076,0.4311377245508982,0.35868667117294784,0.36155341178223804,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3
