dataset,model,cap,seed,method,K,N,ntrue,epochs,last_epoch,ce_skip_cfg,ce_off_ep,n_ce_off,ce_min,first_sat,n_sat,sat_flips,exc0,exc_min,exc_final,exc_trend_all,exc_trend_ce_on,exc_trend_ce_off,raw_count,lam0,lam_max,lam_final,soft0,soft_min,soft_final,n_ep_lam_frozen,cstr_loss_max,u_recursion_maxerr,lam_peak_ep,lam_decaying_eps,u_max,Uloc_max,soft_min_over_K,soft_final_over_K,n_ep_soft_below_K,soft_trend_ce_on,soft_trend_ce_off,soft_at_sat,soft_drop_after_sat
dermmnist,MobileNetV3,L30_G30,1,fioretto_ldf,67,2003,223,26,26,UNSET->default True,20.0,7,0.009897,22.0,5,0,158.0,0.0,0.0,-0.7639839123134909,-0.41754385964912283,-0.8017837257372733,39,0.593101,10.463698,10.463698,185.6202,67.82920000000009,,5.0,2595.545212,,,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,2,fioretto_ldf,67,2003,223,23,23,UNSET->default True,15.0,9,0.010974,19.0,5,0,146.0,0.0,0.0,-0.6540938205644299,0.23956043956043957,-0.9128709291752769,23,0.635326,8.564764,8.564764,194.0652,68.42500000000005,,5.0,1762.232788,,,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,3,fioretto_ldf,67,2003,223,22,22,UNSET->default True,15.0,8,0.012603,18.0,5,0,402.0,0.0,0.0,-0.9181997519458597,-0.7665216832332593,-0.8728715609439694,34,1.091293,10.408058,10.408058,285.2586,79.91119999999992,,5.0,2213.618164,,,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,4,fioretto_ldf,67,2003,223,23,23,UNSET->default True,17.0,7,0.008278,19.0,5,0,214.0,0.0,0.0,-0.7544865803975574,-0.332597588203472,-0.8017837257372733,57,0.723038,9.962893,9.962893,211.6076,93.23459999999973,,5.0,2278.165039,,,,,,,,,,,,
dermmnist,MobileNetV3,L30_G30,1,hounie_rcl,67,2003,223,28,28,UNSET->default True,14.0,15,0.014467,24.0,5,0,158.0,0.0,0.0,-0.846167916091372,0.21978021978021978,-0.9819805060619657,16,0.000592,0.009394,0.008383,185.5776,21.013123000000036,21.013123000000036,,0.003354,6.800000000000003e-07,21.0,7.0,0.000444,0.0008415200532369981,0.31362870149253785,0.31362870149253785,7.0,0.016483516483516484,-1.0,44.44221400000019,23.429091000000156
dermmnist,MobileNetV3,L30_G30,2,hounie_rcl,67,2003,223,29,29,UNSET->default True,19.0,11,0.009493,25.0,5,0,146.0,0.0,0.0,-0.7593555591965501,-0.20237483337080436,-0.9534625892455922,28,0.000634,0.011174,0.010493,193.99020000000002,30.407193000000213,30.407193000000213,,0.004445,8.499999999999936e-07,23.0,6.0,0.000531,0.0010136646388229195,0.45383870149254046,0.45383870149254046,6.0,-0.43859649122807015,-1.0,55.010041999999835,24.602848999999622
dermmnist,MobileNetV3,L30_G30,3,hounie_rcl,67,2003,223,22,22,UNSET->default True,11.0,12,0.01185,18.0,5,0,402.0,0.0,0.0,-0.9670797606342508,-0.709090909090909,-0.9644013324700096,18,0.00109,0.008803,0.008004,285.327,23.354630000000007,23.354630000000007,,0.002744,8.100000000000007e-07,16.0,6.0,0.00041,0.0007994992182610312,0.34857656716417923,0.34857656716417923,6.0,-0.7939393939393938,-1.0,52.564379000000066,29.20974900000006
dermmnist,MobileNetV3,L30_G30,4,hounie_rcl,67,2003,223,27,27,UNSET->default True,15.0,13,0.014885,23.0,5,0,214.0,0.0,0.0,-0.6638117463831124,-0.06380641924868087,-0.9721393650372074,25,0.000722,0.01171,0.011174,211.6166,30.847852999999915,30.847852999999915,,0.004767,7.60000000000013e-07,22.0,5.0,0.000553,0.0010958060959859641,0.4604157164179092,0.4604157164179092,5.0,-0.27472527472527475,-1.0,64.42814799999987,33.58029499999995
octmnist,MobileNetV3,L30_G30,1,fioretto_ldf,75,1000,250,29,29,UNSET->default True,29.0,1,0.010556,,0,0,335.0,2.0,93.0,-0.1098792839456185,-0.06679441805157574,,67,0.66953,13.142254,13.142254,208.90599999999998,93.16940000000002,124.12959999999984,2.0,4994.487549,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,2,fioretto_ldf,75,1000,250,29,29,UNSET->default True,26.0,4,0.012371,28.0,2,0,59.0,0.0,0.0,-0.2730409400121302,-0.07966135635511115,-0.9486832980505139,67,0.380697,9.593503,9.593503,151.1394,100.62499999999997,,2.0,1928.826935,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,3,fioretto_ldf,75,1000,250,29,29,UNSET->default True,,0,0.008959,,0,0,321.0,53.0,193.0,-0.34433497536945806,-0.34433497536945806,,102,0.672124,13.152993,13.152993,209.4248,103.81900000000002,172.7088000000002,0.0,2707.203369,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,4,fioretto_ldf,75,1000,250,29,29,UNSET->default True,25.0,5,0.009952,29.0,1,0,111.0,0.0,0.0,-0.23377263387075248,0.1034782608695652,-0.9999999999999999,42,0.366157,12.819699,12.819699,148.2314,75.86060000000003,,1.0,2861.670288,,,,,,,,,,,,
octmnist,MobileNetV3,L30_G30,1,hounie_rcl,75,1000,250,29,29,UNSET->default True,29.0,1,0.010153,,0,0,335.0,5.0,207.0,0.10746860221926138,0.07559575271835975,,78,0.001339,0.025465,0.025465,208.89999999999998,108.81300000000002,180.04400000000027,,0.017408,7.300000000000015e-07,29.0,0.0,0.00109,0.0018740064034042147,1.4508400000000001,2.4005866666666704,0.0,0.04980842911877395,,,
octmnist,MobileNetV3,L30_G30,2,hounie_rcl,75,1000,250,29,29,UNSET->default True,29.0,1,0.006107,,0,0,59.0,15.0,123.0,0.10247567512142575,0.12645408630805277,,83,0.000761,0.022407,0.022407,151.1,103.37799999999974,141.7459999999999,,0.013575,8.300000000000039e-07,29.0,0.0,0.000981,0.0016845293111133447,1.37837333333333,1.8899466666666653,0.0,0.0240831964969896,,,
octmnist,MobileNetV3,L30_G30,3,hounie_rcl,75,1000,250,29,29,UNSET->default True,,0,0.012929,,0,0,321.0,33.0,209.0,-0.13747228798577382,-0.13747228798577382,,92,0.001344,0.024806,0.024806,209.4,91.94299999999996,182.6490000000001,,0.018011,8.000000000000194e-07,29.0,0.0,0.001087,0.001875748117418754,1.225906666666666,2.4353200000000013,0.0,-0.16059113300492608,,,
octmnist,MobileNetV3,L30_G30,4,hounie_rcl,75,1000,250,29,29,UNSET->default True,28.0,2,0.008975,,0,0,111.0,41.0,139.0,0.2808227635539072,0.33155243860563016,,92,0.000732,0.027011,0.027011,148.2,106.43799999999983,144.2060000000001,,0.019859,7.199999999999524e-07,29.0,0.0,0.001155,0.0019662082799133973,1.4191733333333312,1.922746666666668,0.0,0.21855921855921853,,,
tissuemnist,MobileNetV3,L30_G30,1,fioretto_ldf,51,2400,171,29,29,UNSET->default True,,0,0.013441,1.0,1,1,0.0,0.0,186.0,-0.0014781966450083206,-0.0014781966450083206,,35,0.725705,16.668755,16.668755,196.14100000000002,62.88280000000006,147.99060000000017,0.0,3888.58548,,,,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,2,fioretto_ldf,51,2400,171,29,29,UNSET->default True,,0,0.016797,,0,0,406.0,9.0,260.0,-0.2505234653809855,-0.2505234653809855,,55,1.391942,20.279484,20.279484,329.3884,64.77560000000031,192.82339999999982,0.0,5427.998703,,,,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,3,fioretto_ldf,51,2400,171,29,29,UNSET->default True,,0,0.019214,24.0,1,1,50.0,0.0,44.0,0.16849365813234427,0.16849365813234427,,20,0.589106,15.221057,15.221057,168.8212,66.48860000000012,76.63640000000014,1.0,4592.770599,,,,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,4,fioretto_ldf,51,2400,171,29,29,UNSET->default True,,0,0.016836,1.0,3,1,0.0,0.0,280.0,0.3638606062865432,0.3638606062865432,,44,0.543874,15.939243,15.939243,159.77479999999997,66.67100000000003,189.00159999999977,0.0,4409.708923,,,,,,,,,,,,
tissuemnist,MobileNetV3,L30_G30,1,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.017452,1.0,1,1,0.0,0.0,226.0,0.3039408866995073,0.3039408866995073,,35,0.000605,0.018077,0.018077,196.2,83.24399999999991,163.4591999999999,,0.00556,4.39999999999989e-07,29.0,0.0,0.000787,0.001131649680775813,1.6322352941176455,3.2050823529411745,0.0,0.05763546798029554,,196.2,32.74080000000009
tissuemnist,MobileNetV3,L30_G30,2,hounie_rcl,51,2400,171,29,29,UNSET->default True,,0,0.017067,,0,0,406.0,58.0,184.0,-0.3308289223271028,-0.3308289223271028,,80,0.00116,0.017967,0.017967,329.4,78.69839999999999,146.47920000000033,,0.005656,7.699999999999808e-07,29.0,0.0,0.000806,0.0011620516339646877,1.543105882352941,2.8721411764705946,0.0,-0.42167487684729055,,,
