root,campaign,sweep,arm,dataset,model,cap,method,warmup,cepochs,lr,lr_c,ce_skip,seed,has_raw,has_fin,path
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,hounie_rh,50,300.0,0.0001,5e-06,,4,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/hounie_rh/seed_4
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,hounie_rh,50,300.0,0.0001,5e-06,,3,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/hounie_rh/seed_3
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,hounie_rh,50,300.0,0.0001,5e-06,,1,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/hounie_rh/seed_1
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,hounie_rh,50,300.0,0.0001,5e-06,,2,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/hounie_rh/seed_2
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,fioretto_ldf,50,300.0,0.0001,5e-06,,4,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,fioretto_ldf,50,300.0,0.0001,5e-06,,3,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,fioretto_ldf,50,300.0,0.0001,5e-06,,1,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,fioretto_ldf,50,300.0,0.0001,5e-06,,2,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,fioretto_restart,50,300.0,0.0001,5e-06,,4,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/fioretto_restart/seed_4
results,results/review_graft_2026-07/gpu2,,,octmnist,MobileNetV3,L30_G30,fioretto_restart,50,300.0,0.0001,5e-06,,3,True,True,results/review_graft_2026-07/gpu2/MobileNetV3/octmnist/L30_G30/fioretto_restart/seed_3
