path,dataset,model,cap,method,seed,cls,n_pool,K_cfg,count_raw,E,max_e,inferred,nrows,n_sat,first_sat,n_down,s,sat_epoch_csv,restore_kind,gp_raw,K,key,klass
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,1,4,2003,,39,26,26,False,26,5,22.0,0,00000000000000000000011111,22.0,,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,2,4,2003,,23,23,23,False,23,5,19.0,0,00000000000000000011111,19.0,,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,3,4,2003,,34,22,22,False,22,5,18.0,0,0000000000000000011111,18.0,,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,dermmnist,MobileNetV3,L30_G30,fioretto_ldf,4,4,2003,,57,23,23,False,23,5,19.0,0,00000000000000000011111,19.0,,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,dermmnist,MobileNetV3,L30_G30,hounie_rcl,1,4,2003,,16,28,28,False,28,5,24.0,0,0000000000000000000000011111,24.0,,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,COLLAPSE
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,dermmnist,MobileNetV3,L30_G30,hounie_rcl,2,4,2003,,28,29,29,False,29,5,25.0,0,00000000000000000000000011111,25.0,,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,dermmnist,MobileNetV3,L30_G30,hounie_rcl,3,4,2003,,18,22,22,False,22,5,18.0,0,0000000000000000011111,18.0,,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,COLLAPSE
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,dermmnist,MobileNetV3,L30_G30,hounie_rcl,4,4,2003,,25,27,27,False,27,5,23.0,0,000000000000000000000011111,23.0,,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,LOCK_AND_HOLD
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,dermmnist,MobileNetV3,L30_G30,tralo,1,4,2003,,68,29,29,False,7,0,,0,00000000000000000000000000000,,min_excess,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,dermmnist,MobileNetV3,L30_G30,tralo,2,4,2003,,63,29,29,False,8,1,5.0,1,00001000000000000000000000000,6.0,fully_satisfied,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,dermmnist,MobileNetV3,L30_G30,tralo,3,4,2003,,49,29,29,False,8,1,12.0,1,00000000000100000000000000000,13.0,fully_satisfied,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_3,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,dermmnist,MobileNetV3,L30_G30,tralo,4,4,2003,,72,29,29,False,7,0,,0,00000000000000000000000000000,,min_excess,0.3,67,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_4,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,octmnist,MobileNetV3,L30_G30,fioretto_ldf,1,2,1000,,67,29,29,False,29,0,,0,00000000000000000000000000000,,min_excess,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_1,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,octmnist,MobileNetV3,L30_G30,fioretto_ldf,2,2,1000,,67,29,29,False,29,2,28.0,0,00000000000000000000000000011,28.0,,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_2,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,octmnist,MobileNetV3,L30_G30,fioretto_ldf,3,2,1000,,102,29,29,False,29,0,,0,00000000000000000000000000000,,min_excess,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_3,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,octmnist,MobileNetV3,L30_G30,fioretto_ldf,4,2,1000,,42,29,29,False,29,1,29.0,0,00000000000000000000000000001,29.0,,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/fioretto_ldf/seed_4,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,octmnist,MobileNetV3,L30_G30,hounie_rcl,1,2,1000,,78,29,29,False,29,0,,0,00000000000000000000000000000,,min_excess,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_1,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,octmnist,MobileNetV3,L30_G30,hounie_rcl,2,2,1000,,83,29,29,False,29,0,,0,00000000000000000000000000000,,min_excess,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_2,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,octmnist,MobileNetV3,L30_G30,hounie_rcl,3,2,1000,,92,29,29,False,29,0,,0,00000000000000000000000000000,,min_excess,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_3,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,octmnist,MobileNetV3,L30_G30,hounie_rcl,4,2,1000,,92,29,29,False,29,0,,0,00000000000000000000000000000,,,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/hounie_rcl/seed_4,NEVER_SAT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,octmnist,MobileNetV3,L30_G30,tralo,1,2,1000,,42,29,29,False,8,1,2.0,1,01000000000000000000000000000,3.0,fully_satisfied,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_1,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,octmnist,MobileNetV3,L30_G30,tralo,2,2,1000,,55,29,29,False,8,1,2.0,1,01000000000000000000000000000,3.0,fully_satisfied,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_2,SAT_THEN_DRIFT
results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,octmnist,MobileNetV3,L30_G30,tralo,3,2,1000,,77,29,29,False,7,0,,0,00000000000000000000000000000,,min_excess,0.3,75,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/octmnist/L30_G30/tralo/seed_3,NEVER_SAT
