dataset,cap,model,seed,method,ep_max,warmup,cep,K,taken,count_raw,AP,ccF1adj,ccF1eq,macroEq,placeboF1,placeboAcc,path
aider,L20_G20,MobileNetV2,4,hounie_rcl,44.0,50,300,20,20,0,0.5658821390098887,0.29508196721311475,0.29508196721311475,0.7721868615095587,0.9499694323542561,0.9761029411764706,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/hounie_rcl/seed_4
aider,L20_G20,MobileNetV2,3,hounie_rcl,40.0,50,300,20,20,1,0.34068277117187246,0.2459016393442623,0.2459016393442623,0.7660981092877276,0.9589535265209812,0.9797794117647058,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/hounie_rcl/seed_3
aider,L20_G20,MobileNetV2,1,hounie_rcl,38.0,50,300,20,20,0,0.22598823113575833,0.16393442622950818,0.16393442622950818,0.7076925642035821,0.9178400509400663,0.9623161764705882,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/hounie_rcl/seed_1
aider,L20_G20,MobileNetV2,2,hounie_rcl,43.0,50,300,20,20,0,0.5353603184440169,0.3114754098360656,0.3114754098360656,0.7850832605280457,0.9630745184262827,0.9816176470588235,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/hounie_rcl/seed_2
aider,L20_G20,MobileNetV2,4,tralo,79.0,50,300,20,20,18,0.8919284558614164,0.32786885245901637,0.32786885245901637,0.7896897439663992,0.9609702239364566,0.9806985294117647,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/tralo/seed_4
aider,L20_G20,MobileNetV2,3,tralo,69.0,50,300,20,20,14,0.8179947983893261,0.32786885245901637,0.32786885245901637,0.7944844362202125,0.9688206558929613,0.984375,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/tralo/seed_3
aider,L20_G20,MobileNetV2,1,tralo,89.0,50,300,20,20,18,0.8079118402931407,0.32786885245901637,0.32786885245901637,0.7741452237259226,0.9414954160495072,0.9724264705882353,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/tralo/seed_1
aider,L20_G20,MobileNetV2,2,tralo,69.0,50,300,20,20,17,0.8478228965682602,0.32786885245901637,0.32786885245901637,0.7942237931108946,0.9725901104222019,0.9862132352941176,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/tralo/seed_2
aider,L20_G20,MobileNetV2,4,danits_lp,0.0,50,300,20,20,100,0.9912407856859365,0.32786885245901637,0.32786885245901637,0.7997505028434703,0.9893370223478847,0.9944852941176471,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/danits_lp/seed_4
aider,L20_G20,MobileNetV2,3,danits_lp,0.0,50,300,20,20,98,0.9938725234734405,0.32786885245901637,0.32786885245901637,0.7846396999435479,0.9710866007675993,0.9852941176470589,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/danits_lp/seed_3
aider,L20_G20,MobileNetV2,1,danits_lp,0.0,50,300,20,20,103,0.9992353832892197,0.32786885245901637,0.32786885245901637,0.7786016749177305,0.9874632077775312,0.9935661764705882,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/danits_lp/seed_1
aider,L20_G20,MobileNetV2,2,danits_lp,0.0,50,300,20,20,100,0.9981963654465621,0.32786885245901637,0.32786885245901637,0.7872087594436867,0.9857236620035255,0.9926470588235294,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/danits_lp/seed_2
aider,L20_G20,MobileNetV2,4,fioretto_ldf,27.0,50,300,20,20,8,0.8418513104463456,0.32786885245901637,0.32786885245901637,0.7894930837309798,0.9607065745230657,0.9806985294117647,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/fioretto_ldf/seed_4
aider,L20_G20,MobileNetV2,3,fioretto_ldf,27.0,50,300,20,20,6,0.7656288194318209,0.32786885245901637,0.32786885245901637,0.7965823793702945,0.9688206558929613,0.984375,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/fioretto_ldf/seed_3
aider,L20_G20,MobileNetV2,1,fioretto_ldf,299.0,50,300,20,20,16,0.7906955217502579,0.32786885245901637,0.32786885245901637,0.7718639425575193,0.9370385289682721,0.9705882352941176,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/fioretto_ldf/seed_1
aider,L20_G20,MobileNetV2,2,fioretto_ldf,28.0,50,300,20,20,14,0.7970754071857266,0.32786885245901637,0.32786885245901637,0.790613506260079,0.9650008766818546,0.9825367647058824,results/pending_runs/paper_backbones/MobileNetV2/aider/L20_G20/fioretto_ldf/seed_2
