dataset,cap,model,seed,method,ep_max,warmup,cep,K,taken,count_raw,AP,ccF1adj,ccF1eq,macroEq,placeboF1,placeboAcc,path
dermmnist,L50_G50,MobileNetV3,4,hounie_rcl,28.0,1,29,112,111,146,0.5608211311755842,0.47305389221556887,0.47305389221556887,0.3921696527391641,0.39756927519100266,0.8522471910112359,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4
dermmnist,L50_G50,MobileNetV3,3,hounie_rcl,28.0,1,29,112,111,126,0.5163201087274673,0.41317365269461076,0.4311377245508982,0.36155341178223804,0.3646669897837383,0.8382022471910112,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3
dermmnist,L50_G50,MobileNetV3,1,hounie_rcl,28.0,1,29,112,111,147,0.5432105794103793,0.4431137724550898,0.4491017964071856,0.3705056670046706,0.3717318312192554,0.8393258426966292,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1
dermmnist,L50_G50,MobileNetV3,2,hounie_rcl,28.0,1,29,112,111,142,0.5516735419208363,0.4550898203592814,0.4550898203592814,0.3849372192615969,0.3912577862671888,0.8567415730337079,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2
dermmnist,L50_G50,MobileNetV3,4,tralo,30.0,1,29,112,111,138,0.5609166120489655,0.46706586826347307,0.47305389221556887,0.3921830134663356,0.39749933694195927,0.8522471910112359,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4
dermmnist,L50_G50,MobileNetV3,3,tralo,30.0,1,29,112,111,126,0.5163201087274673,0.41317365269461076,0.4311377245508982,0.36155341178223804,0.3646669897837383,0.8382022471910112,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3
dermmnist,L50_G50,MobileNetV3,1,tralo,30.0,1,29,112,111,143,0.5788164986398014,0.4550898203592814,0.4550898203592814,0.4385498116166723,0.4574747331407634,0.8601123595505618,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1
dermmnist,L50_G50,MobileNetV3,2,tralo,30.0,1,29,112,111,138,0.5520523186718963,0.46706586826347307,0.46706586826347307,0.3829526885709034,0.3857821368841295,0.8550561797752809,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2
dermmnist,L50_G50,MobileNetV3,4,danits_lp,,30,0,112,111,164,0.679767880298651,0.5688622754491018,0.562874251497006,0.7346920200907782,0.8075067865652478,0.9162921348314607,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_4
dermmnist,L50_G50,MobileNetV3,3,danits_lp,,30,0,112,111,167,0.7056520413443165,0.592814371257485,0.592814371257485,0.7570039873382617,0.8106518674932937,0.9162921348314607,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_3
dermmnist,L50_G50,MobileNetV3,1,danits_lp,,30,0,112,111,184,0.6994360828307511,0.5868263473053892,0.5808383233532934,0.7234773854630517,0.773197049088103,0.9078651685393259,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_1
dermmnist,L50_G50,MobileNetV3,2,danits_lp,,30,0,112,111,198,0.6850627078056499,0.5329341317365269,0.5329341317365269,0.7306011249175335,0.8093338868090147,0.9123595505617977,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/danits_lp/seed_2
dermmnist,L50_G50,MobileNetV3,4,fioretto_ldf,28.0,1,29,112,111,146,0.5613145102806214,0.47305389221556887,0.47305389221556887,0.3921696527391641,0.39756927519100266,0.8522471910112359,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4
dermmnist,L50_G50,MobileNetV3,3,fioretto_ldf,28.0,1,29,112,111,126,0.5163201087274673,0.41317365269461076,0.4311377245508982,0.36155341178223804,0.3646669897837383,0.8382022471910112,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3
dermmnist,L50_G50,MobileNetV3,1,fioretto_ldf,28.0,1,29,112,111,147,0.5432105794103793,0.4431137724550898,0.4491017964071856,0.3705056670046706,0.3717318312192554,0.8393258426966292,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_1
dermmnist,L50_G50,MobileNetV3,2,fioretto_ldf,28.0,1,29,112,111,142,0.5517097200216945,0.4550898203592814,0.4550898203592814,0.38902043801676955,0.3960313918752023,0.8573033707865169,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_2
dermmnist,L50_G50,MobileNetV3,4,heuristic,0.0,30,0,112,111,164,0.679767880298651,0.562874251497006,0.562874251497006,0.7346920200907782,0.8075067865652478,0.9162921348314607,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/heuristic/seed_4
dermmnist,L50_G50,MobileNetV3,3,heuristic,0.0,30,0,112,111,167,0.7056520413443165,0.592814371257485,0.592814371257485,0.7570039873382617,0.8106518674932937,0.9162921348314607,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/heuristic/seed_3
dermmnist,L50_G50,MobileNetV3,1,heuristic,0.0,30,0,112,111,184,0.6994360828307511,0.5808383233532934,0.5808383233532934,0.7234773854630517,0.773197049088103,0.9078651685393259,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/heuristic/seed_1
dermmnist,L50_G50,MobileNetV3,2,heuristic,0.0,30,0,112,111,198,0.6850627078056499,0.5329341317365269,0.5329341317365269,0.7306011249175335,0.8093338868090147,0.9123595505617977,results/headroom/headroom_b30/lane1/MobileNetV3/dermmnist/L50_G50/heuristic/seed_2
tissuemnist,L50_G50,MobileNetV3,4,hounie_rcl,28.0,1,29,86,86,75,0.3665665373895031,0.311284046692607,0.3424124513618677,0.32052155518912634,0.3453244111343348,0.5522655899506506,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_4
tissuemnist,L50_G50,MobileNetV3,3,hounie_rcl,28.0,1,29,86,86,70,0.35384278086159765,0.3035019455252918,0.3035019455252918,0.3039216854719509,0.3191171519856152,0.5199641094661283,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_3
tissuemnist,L50_G50,MobileNetV3,1,hounie_rcl,28.0,1,29,86,86,74,0.31931487639729955,0.28793774319066145,0.28793774319066145,0.37963290064063226,0.4240080078162109,0.5787348586810229,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_1
tissuemnist,L50_G50,MobileNetV3,2,hounie_rcl,28.0,1,29,86,86,137,0.3855648910870522,0.32684824902723736,0.35019455252918286,0.38428146604282676,0.41263344344212854,0.5868102288021534,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/hounie_rcl/seed_2
tissuemnist,L50_G50,MobileNetV3,4,tralo,30.0,1,29,86,86,74,0.36257279636828216,0.32684824902723736,0.3424124513618677,0.3215943035067486,0.34170006684317605,0.5509196949304621,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_4
tissuemnist,L50_G50,MobileNetV3,3,tralo,30.0,1,29,86,86,70,0.3557233348511057,0.3035019455252918,0.3035019455252918,0.308413780978731,0.3245512758699897,0.5177209510991476,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_3
tissuemnist,L50_G50,MobileNetV3,1,tralo,30.0,1,29,86,86,69,0.31831840230482195,0.29571984435797666,0.28793774319066145,0.380394023444981,0.42516743064390194,0.5764917003140422,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_1
tissuemnist,L50_G50,MobileNetV3,2,tralo,30.0,1,29,86,86,128,0.3866102454582963,0.311284046692607,0.35019455252918286,0.38657072118877783,0.41337366183660673,0.5881561238223418,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/tralo/seed_2
tissuemnist,L50_G50,MobileNetV3,4,danits_lp,,30,0,86,86,157,0.38274006452985887,0.3035019455252918,0.311284046692607,0.3683546409143605,0.40048730220241985,0.5195154777927322,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/danits_lp/seed_4
tissuemnist,L50_G50,MobileNetV3,3,danits_lp,,30,0,86,86,218,0.411828463207173,0.3657587548638132,0.3657587548638132,0.4391614076110588,0.47274853280865964,0.582323912068192,results/headroom/headroom_b30/lane1/MobileNetV3/tissuemnist/L50_G50/danits_lp/seed_3
