dataset,cap,model,seed,method,ep_max,warmup,cep,K,taken,count_raw,AP,ccF1adj,ccF1eq,macroEq,placeboF1,placeboAcc,path
dermmnist,L50_G50,MobileNetV3,4,hounie_rcl,27.0,1,29,112,111,52,0.5235007484841816,0.4491017964071856,0.4491017964071856,0.6120485289437388,0.6673605621363837,0.8539325842696629,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_4
dermmnist,L50_G50,MobileNetV3,3,hounie_rcl,24.0,1,29,112,111,38,0.564949066665863,0.48502994011976047,0.48502994011976047,0.6918938892402204,0.7565375195311813,0.8977528089887641,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_3
dermmnist,L50_G50,MobileNetV3,1,hounie_rcl,28.0,1,29,112,111,54,0.48416291677517437,0.40119760479041916,0.40119760479041916,0.6167989363569445,0.6724730698331297,0.854494382022472,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_1
dermmnist,L50_G50,MobileNetV3,2,hounie_rcl,28.0,1,29,112,111,71,0.6082769508687245,0.5089820359281437,0.5089820359281437,0.7112030763810243,0.7878686347410749,0.9101123595505618,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/hounie_rcl/seed_2
dermmnist,L50_G50,MobileNetV3,4,tralo,30.0,1,29,112,111,66,0.6431543255398516,0.5389221556886228,0.5389221556886228,0.7340865626018778,0.7927613619943797,0.9117977528089888,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_4
dermmnist,L50_G50,MobileNetV3,3,tralo,30.0,1,29,112,111,99,0.6558994453298156,0.5508982035928144,0.5508982035928144,0.7224192154795624,0.7764753144124752,0.9067415730337078,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_3
dermmnist,L50_G50,MobileNetV3,1,tralo,30.0,1,29,112,111,80,0.6335067813669428,0.5568862275449101,0.5568862275449101,0.7356062435619075,0.7901037997608,0.9168539325842696,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_1
dermmnist,L50_G50,MobileNetV3,2,tralo,30.0,1,29,112,111,95,0.6591550666068976,0.5449101796407185,0.5449101796407185,0.7296964057088103,0.7951598492596248,0.9134831460674158,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/tralo/seed_2
dermmnist,L50_G50,MobileNetV3,4,fioretto_ldf,20.0,1,29,112,111,97,0.635610149084322,0.5389221556886228,0.5389221556886228,0.7095523572121492,0.7681399688509988,0.9117977528089888,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_4
dermmnist,L50_G50,MobileNetV3,3,fioretto_ldf,19.0,1,29,112,111,76,0.6254235776780518,0.5029940119760479,0.5029940119760479,0.6990448327160275,0.7533139418154501,0.8994382022471911,results/headroom/headroom_b30_lrc0.0001_noceskip/lane1/MobileNetV3/dermmnist/L50_G50/fioretto_ldf/seed_3
