dataset,cap,model,seed,method,ep_max,warmup,cep,K,taken,count_raw,AP,ccF1adj,ccF1eq,macroEq,placeboF1,placeboAcc,path
dermmnist,L20_G20,MobileNetV3,4,hounie_rcl,68.0,50,300,45,45,25,0.5521051625423758,0.31343283582089554,0.31343283582089554,0.7008094775465479,0.7990249241864532,0.8977528089887641,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_4
dermmnist,L20_G20,MobileNetV3,3,hounie_rcl,54.0,50,300,45,45,26,0.6207728334537665,0.29850746268656714,0.29850746268656714,0.7149109837669986,0.817981337132098,0.9202247191011236,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_3
dermmnist,L20_G20,MobileNetV3,1,hounie_rcl,64.0,50,300,45,45,29,0.5946224405992215,0.31343283582089554,0.31343283582089554,0.6837355722904295,0.7782745716548871,0.9039325842696629,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_1
dermmnist,L20_G20,MobileNetV3,2,hounie_rcl,53.0,50,300,45,45,21,0.6257599407514949,0.29850746268656714,0.29850746268656714,0.7092442065215414,0.808651232732661,0.9162921348314607,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_2
dermmnist,L20_G20,MobileNetV3,4,tralo,263.0,50,300,45,45,45,0.6159801153727561,0.3208955223880597,0.3208955223880597,0.70160120820516,0.8033187694270412,0.9095505617977528,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_4
dermmnist,L20_G20,MobileNetV3,3,tralo,185.0,50,300,45,45,45,0.6315501131198151,0.30597014925373134,0.30597014925373134,0.7186102317402542,0.8196642663889658,0.9219101123595506,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_3
dermmnist,L20_G20,MobileNetV3,1,tralo,80.0,50,300,45,45,43,0.6256865237047761,0.31343283582089554,0.31343283582089554,0.682944491466042,0.7781669047406169,0.903370786516854,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_1
dermmnist,L20_G20,MobileNetV3,2,tralo,85.0,50,300,45,45,42,0.6240320430804793,0.30597014925373134,0.30597014925373134,0.7028674615623709,0.7995361326236522,0.9084269662921348,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_2
dermmnist,L20_G20,MobileNetV3,4,danits_lp,0.0,50,300,45,45,212,0.7127348346679947,0.29850746268656714,0.29850746268656714,0.6864967978043637,0.7924055521806399,0.9179775280898876,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_4
dermmnist,L20_G20,MobileNetV3,3,danits_lp,0.0,50,300,45,45,209,0.7139584333260884,0.30597014925373134,0.30597014925373134,0.7221542185427765,0.8265189148497494,0.9286516853932584,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_3
dermmnist,L20_G20,MobileNetV3,1,danits_lp,0.0,50,300,45,45,195,0.7063806810584813,0.31343283582089554,0.31343283582089554,0.7136931126709979,0.8196422767821024,0.9162921348314607,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_1
dermmnist,L20_G20,MobileNetV3,2,danits_lp,0.0,50,300,45,45,198,0.6871747460319677,0.291044776119403,0.291044776119403,0.6867110757562817,0.8025543701105549,0.9179775280898876,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_2
