dataset,cap,model,seed,method,ep_max,K,taken,n_pos,N,count_raw,AP,ccF1adj,ccF1eq,macroEq,macroOffRaw,accOffRaw,path
dermmnist,L20_G20,MobileNetV3,4,hounie_rcl,68.0,45,45,223,2003,25,0.5521051625423758,0.31343283582089554,0.31343283582089554,0.7008094775465479,0.7625402509622113,0.897191011235955,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_4
dermmnist,L20_G20,MobileNetV3,3,hounie_rcl,54.0,45,45,223,2003,26,0.6207728334537665,0.29850746268656714,0.29850746268656714,0.7149109837669986,0.7811915154096485,0.9202247191011236,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_3
dermmnist,L20_G20,MobileNetV3,1,hounie_rcl,64.0,45,45,223,2003,29,0.5946224405992215,0.31343283582089554,0.31343283582089554,0.6837355722904295,0.7422023542063519,0.9028089887640449,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_1
dermmnist,L20_G20,MobileNetV3,2,hounie_rcl,53.0,45,45,223,2003,21,0.6257599407514949,0.29850746268656714,0.29850746268656714,0.7092442065215414,0.7741144691545032,0.9157303370786517,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/hounie_rcl/seed_2
dermmnist,L20_G20,MobileNetV3,4,tralo,263.0,45,45,223,2003,45,0.6159801153727561,0.3208955223880597,0.3208955223880597,0.70160120820516,0.7650521558413436,0.9089887640449438,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_4
dermmnist,L20_G20,MobileNetV3,3,tralo,185.0,45,45,223,2003,45,0.6315501131198151,0.30597014925373134,0.30597014925373134,0.7186102317402542,0.7873835788213412,0.9213483146067416,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_3
dermmnist,L20_G20,MobileNetV3,1,tralo,80.0,45,45,223,2003,43,0.6256865237047761,0.31343283582089554,0.31343283582089554,0.682944491466042,0.744425382481972,0.9028089887640449,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_1
dermmnist,L20_G20,MobileNetV3,2,tralo,85.0,45,45,223,2003,42,0.6240320430804793,0.30597014925373134,0.30597014925373134,0.7028674615623709,0.768861369081922,0.9073033707865169,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/tralo/seed_2
dermmnist,L20_G20,MobileNetV3,4,danits_lp,0.0,45,45,223,2003,212,0.7127348346679947,0.29850746268656714,0.29850746268656714,0.6864967978043637,0.7716163713047287,0.8893258426966292,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_4
dermmnist,L20_G20,MobileNetV3,3,danits_lp,0.0,45,45,223,2003,209,0.7139584333260884,0.30597014925373134,0.30597014925373134,0.7221542185427765,0.8015523709522144,0.901685393258427,results/pending_runs/paper_final/lane1/MobileNetV3/dermmnist/L20_G20/danits_lp/seed_3
