dataset,model,cap,hard_cep1,cep1_min,cep1_max,hard_max,hard_last,nseed,K,edge,clip_raw,n_pool,os_clip,os_start,os_max,win
dermmnist,MobileNetV3,L30_G30,182.0,140.0,268.0,184.5,99.25,4,67.0,0.0189655172413793,178.25,2003,2.66044776119403,2.716417910447761,2.753731343283582,W
dermmnist,MobileNetV3,L50_G50,182.0,140.0,268.0,245.5,109.0,4,112.0,0.0179640718562874,178.25,2003,1.5915178571428572,1.625,2.1919642857142856,W
dermmnist,RegNetY400MF,L30_G30,219.75,172.0,307.0,238.5,155.25,4,67.0,0.0293103448275861,172.25,2003,2.5708955223880596,3.279850746268657,3.5597014925373136,W
dermmnist,RegNetY400MF,L50_G50,219.75,172.0,307.0,246.75,188.75,4,112.0,0.0314371257485029,172.25,2003,1.5379464285714286,1.9620535714285714,2.203125,W
octmnist,MobileNetV3,L30_G30,178.75,105.0,243.0,236.0,151.0,4,75.0,-0.0184615384615384,160.25,1000,2.1366666666666667,2.3833333333333333,3.1466666666666665,L
octmnist,MobileNetV3,L50_G50,178.75,105.0,243.0,234.75,148.5,4,125.0,-0.02,160.25,1000,1.282,1.43,1.878,L
octmnist,RegNetY400MF,L30_G30,182.25,142.0,216.0,218.75,161.75,4,75.0,-0.0092307692307692,154.5,1000,2.06,2.43,2.9166666666666665,L
octmnist,RegNetY400MF,L50_G50,182.25,142.0,216.0,247.25,163.5,4,125.0,-0.0106666666666666,154.5,1000,1.236,1.458,1.978,L
tissuemnist,MobileNetV3,L30_G30,97.5,25.0,254.0,226.5,144.5,4,51.0,0.0202702702702702,231.25,2400,4.534313725490196,1.911764705882353,4.4411764705882355,W
tissuemnist,MobileNetV3,L50_G50,97.5,25.0,254.0,189.0,87.5,4,86.0,0.0175097276264591,231.25,2400,2.688953488372093,1.1337209302325582,2.197674418604651,W
tissuemnist,RegNetY400MF,L30_G30,181.75,145.0,215.0,268.25,203.5,4,51.0,-0.0225225225225225,168.0,2400,3.2941176470588234,3.5637254901960786,5.259803921568627,L
tissuemnist,RegNetY400MF,L50_G50,181.75,145.0,215.0,252.75,207.0,4,86.0,-0.0097276264591439,168.0,2400,1.9534883720930232,2.113372093023256,2.938953488372093,L
