dataset,model,cap,method,seed,nrows,max_ep0,ce_skip_in_cfg,path,epochs_run,dense,n_ce_off,ce_off_ep,nan_suffix,frac_ce_off,first_sat,train_acc_max,train_acc_final,tralo_would_gate
dermmnist,MobileNetV3,L30_G30,fioretto_ldf,1,26,25,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_1,26,True,7,20.0,True,0.2692307692307692,22.0,,,
dermmnist,MobileNetV3,L30_G30,fioretto_ldf,2,23,22,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_2,23,True,9,15.0,True,0.391304347826087,19.0,,,
dermmnist,MobileNetV3,L30_G30,fioretto_ldf,3,22,21,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_3,22,True,8,15.0,True,0.36363636363636365,18.0,,,
dermmnist,MobileNetV3,L30_G30,fioretto_ldf,4,23,22,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/fioretto_ldf/seed_4,23,True,7,17.0,True,0.30434782608695654,19.0,,,
dermmnist,MobileNetV3,L30_G30,hounie_rcl,1,28,27,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_1,28,True,15,14.0,True,0.5357142857142857,24.0,,,
dermmnist,MobileNetV3,L30_G30,hounie_rcl,2,29,28,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_2,29,True,11,19.0,True,0.3793103448275862,25.0,,,
dermmnist,MobileNetV3,L30_G30,hounie_rcl,3,22,21,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_3,22,True,12,11.0,True,0.5454545454545454,18.0,,,
dermmnist,MobileNetV3,L30_G30,hounie_rcl,4,27,26,ABSENT->trainer default True,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/hounie_rcl/seed_4,27,True,13,15.0,True,0.48148148148148145,23.0,,,
dermmnist,MobileNetV3,L30_G30,tralo,1,7,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_1,30,False,0,,False,0.0,,0.9985,0.996,True
dermmnist,MobileNetV3,L30_G30,tralo,2,8,30,False,results/headroom/headroom_b30_lrc0.0001_noceskip/lane0/MobileNetV3/dermmnist/L30_G30/tralo/seed_2,30,False,0,,False,0.0,6.0,0.9968,0.9968,True
